,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00, >> JEFF PROBST: Previously on
2,00:00:02.03,00:00:02.03, Survivor... The tribes were switched up
3,00:00:03.57,00:00:03.57,"at random, making it a brand-new game for everyone."
4,00:00:05.27,00:00:05.27,"Number of tribe members in each tribe hasn't changed, just the"
5,00:00:08.27,00:00:08.27,"members within the tribe. While Paschal, Neleh and Kathy"
6,00:00:11.43,00:00:11.43,discovered Maraamu's beautiful beach...
7,00:00:13.93,00:00:13.93,>> I feel like we're at a four-star hotel.
8,00:00:15.93,00:00:15.93,>> To our new little family. >> PROBST: ...Rob Mariano and
9,00:00:18.60,00:00:18.60,Sean didn't like their new Rotu environment.
10,00:00:20.50,00:00:20.50,>> Life over here is about two degrees shy of hell.
11,00:00:23.70,00:00:23.70,>> We're not going to walk around here like slaves to prove
12,00:00:26.40,00:00:26.40,anything to anybody. >> PROBST: And Vecepia avoided
13,00:00:29.03,00:00:29.03,"all conflict. >> As far as the drama, bump"
14,00:00:31.40,00:00:31.40,that. I ain't with it.
15,00:00:32.63,00:00:32.63,>> PROBST: New faces couldn't break Maraamu's losing streak.
16,00:00:35.70,00:00:35.70,Rotu! >> Yes!
17,00:00:37.77,00:00:37.77,">> PROBST: At their fourth consecutive Tribal Council,"
18,00:00:41.00,00:00:41.00,Sarah was voted off the island. The tribe has spoken.
19,00:00:44.77,00:00:44.77,12 are left. Who will be voted out tonight?
20,00:02:16.63,00:02:16.63,">> Three days ago, we switched tribes."
21,00:02:20.37,00:02:20.37,And now I'm over here at the Rotu tribe.
22,00:02:23.37,00:02:23.37,"Kind of gross, huh? I'm not really too happy about"
23,00:02:27.67,00:02:27.67,it. I had pretty much everything
24,00:02:29.73,00:02:29.73,"under control at Maraamu. Over here, we're five against"
25,00:02:33.43,00:02:33.43,three. And we're in the minority.
26,00:02:35.70,00:02:35.70,>> Like it? >> Nectar of the gods.
27,00:02:38.00,00:02:38.00,I love it. >> Sean definitely is done with
28,00:02:41.90,00:02:41.90,"the game. He's just laying around, he"
29,00:02:43.90,00:02:43.90,doesn't want to try to fit in at all.
30,00:02:45.90,00:02:45.90,I'm definitely almost positive he's going to be the first to
31,00:02:49.63,00:02:49.63,"go, then it's probably going to be a tossup between myself"
32,00:02:53.27,00:02:53.27,and V. And they'll probably take me out
33,00:02:55.43,00:02:55.43,"second, because V's a lot better at... (smooching sound)"
34,00:02:58.53,00:02:58.53,You know what I'm saying? >> It's cool to finally get a
35,00:03:02.43,00:03:02.43,"chance to talk with all of you, get to know you all."
36,00:03:05.10,00:03:05.10,">> Myself, I wanted to try to get in with their tribe, make"
37,00:03:08.60,00:03:08.60,some kind of agreement or an alliance.
38,00:03:10.87,00:03:10.87,You consider us Rotu more than you consider the other people
39,00:03:14.10,00:03:14.10,"that were originally on Rotu? >> As far as I'm concerned, you"
40,00:03:17.17,00:03:17.17,"guys are Rotu. Right now, that's what we deal"
41,00:03:19.30,00:03:19.30,"with. >> I couldn't tell you that,"
42,00:03:21.10,00:03:21.10,"honestly, you know, you're more Rotu than them, or them more"
43,00:03:24.37,00:03:24.37,"than you. Right now, you're here."
44,00:03:26.07,00:03:26.07,"You're Rotu, man. >> That's the way I feel, for"
45,00:03:29.57,00:03:29.57,sure. >> People are worried about how
46,00:03:31.33,00:03:31.33,long they're going to be here. These guys brought the game in
47,00:03:34.60,00:03:34.60,with them. They brought the game with them.
48,00:03:36.23,00:03:36.23,It started here in our camp now. >> Ready?
49,00:03:38.53,00:03:38.53,We're off. >> I came here to try to build a
50,00:03:41.90,00:03:41.90,"society with seven strangers, but the switch sort of turned my"
51,00:03:46.13,00:03:46.13,initial experience around. >> Sounds like their game has
52,00:03:49.57,00:03:49.57,"been so different than ours, really interesting."
53,00:03:51.80,00:03:51.80,>> It's like it was cutthroat from the beginning in their
54,00:03:54.27,00:03:54.27,"group, though. >> Especially if you start"
55,00:03:55.93,00:03:55.93,getting the thing where you're actually lying to people.
56,00:03:58.13,00:03:58.13,">> Yeah, that's weird. >> They were lying from day one."
57,00:04:00.87,00:04:00.87,"I mean, these were like real relationships."
58,00:04:02.97,00:04:02.97,"Granted, we are in a game format..."
59,00:04:04.63,00:04:04.63,">> Not ""like,"" they are real relationships."
60,00:04:06.70,00:04:06.70,">> Be honest, stick to your, you know, stick to your ethics,"
61,00:04:10.00,00:04:10.00,and... >> What are the ethics in this
62,00:04:12.40,00:04:12.40,"game? >> To me, it's tell the truth."
63,00:04:15.20,00:04:15.20,Be honest. >> Maybe.
64,00:04:17.87,00:04:17.87,>> Are you saying that you would lie to win this game?
65,00:04:19.60,00:04:19.60,">> Oh, I'm not even here to play the game, man."
66,00:04:21.60,00:04:21.60,I'm here for what we had. I'm here for that society
67,00:04:24.03,00:04:24.03,that we had of eight people. I'm here to see if eight people
68,00:04:27.60,00:04:27.60,"from all over the country, from eight different kinds of"
69,00:04:31.70,00:04:31.70,"lives can come here and do this, and live and be happy."
70,00:04:35.60,00:04:35.60,And build something amazing. >> But would you lie to win the
71,00:04:38.60,00:04:38.60,game? >> I'm not here to play the
72,00:04:39.83,00:04:39.83,game. >> But you are playing the game.
73,00:04:41.37,00:04:41.37,"You are here. >> No, that's not what I'm here"
74,00:04:43.20,00:04:43.20,for. >> Gabriel says he's not playing
75,00:04:45.40,00:04:45.40,"the game. I mean, you are here to play"
76,00:04:47.80,00:04:47.80,"this game, you're not here on a commune."
77,00:04:50.33,00:04:50.33,"You know, this is not the '60s, and free love and all that"
78,00:04:52.67,00:04:52.67,"kind of stuff. >> Once the swap happened, it"
79,00:05:02.30,00:05:02.30,"really should have been game on for everybody, but I could just"
80,00:05:05.63,00:05:05.63,"sense that something wasn't, you know, right."
81,00:05:07.53,00:05:07.53,"So I'm like, ""Okay fine, I'll just, you know, watch him"
82,00:05:10.80,00:05:10.80,"carefully, watch who he's talking to, and then I'll deal"
83,00:05:14.30,00:05:14.30,"with him accordingly. >> Heavenly Father, we're very"
84,00:05:29.63,00:05:29.63,"grateful for this wonderful day that we have ahead of us, and we"
85,00:05:32.80,00:05:32.80,ask Thee if Thou would please help us find all the things we
86,00:05:36.03,00:05:36.03,"need today, that we may be able to work hard together as a team."
87,00:05:38.90,00:05:38.90,">> The vibe, the morning after Sarah left, was actually very"
88,00:05:43.03,00:05:43.03,good. >> All right.
89,00:05:44.43,00:05:44.43,"Okay, guys. >> I think they wanted her out"
90,00:05:46.83,00:05:46.83,just as much as I did. I think we all just bonded.
91,00:05:49.23,00:05:49.23,We knew our team was pretty much complete at that point.
92,00:05:52.33,00:05:52.33,>> This is so nice to be over here.
93,00:05:54.53,00:05:54.53,It's like so peaceful today. >> It reminds me of living in
94,00:05:58.03,00:05:58.03,"Atlanta, which I did most of my life, and living in a little old"
95,00:06:01.73,00:06:01.73,"country town, which I do right now."
96,00:06:03.73,00:06:03.73,">> I think the point is that all four of us, are, like, we just"
97,00:06:06.87,00:06:06.87,all have this energy about us. We just have this spirit that we
98,00:06:09.93,00:06:09.93,just all want to win. >> I have a feeling that we're
99,00:06:12.70,00:06:12.70,"going to win our next challenges, too."
100,00:06:14.87,00:06:14.87,">> I keep hearing crabs over in the corner, what I thought were"
101,00:06:18.80,00:06:18.80,crabs in the back. The only thing I can think is
102,00:06:21.03,00:06:21.03,that they're eating our basket. >> Kathy and Paschal wanted to
103,00:06:23.67,00:06:23.67,"go get crab, and then Neleh and I are like, ""No, we'll all go."
104,00:06:26.67,00:06:26.67,"Let's go as a group."" I think that was really the"
105,00:06:29.53,00:06:29.53,first thing that we had done as a tribe that meant something.
106,00:06:34.27,00:06:34.27,>> So before you know it we were under these acacia trees and all
107,00:06:38.47,00:06:38.47,"of a sudden, these dudes, these androids were just going back"
108,00:06:41.97,00:06:41.97,and forth... And they were so easy to catch.
109,00:06:50.77,00:06:50.77,>> I've got three here. >> I've got two here.
110,00:06:52.10,00:06:52.10,">> It's really hilarious to see them, because they're all"
111,00:06:53.77,00:06:53.77,screwing around thinking they're hiding.
112,00:06:58.67,00:06:58.67,>> Yow! He got me.
113,00:07:02.07,00:07:02.07,"Whoa! >> Oh, look, here's one right"
114,00:07:04.47,00:07:04.47,"here, too. >> Oh, my God, look at the size"
115,00:07:06.53,00:07:06.53,of this puppy. >> We pocketed probably about
116,00:07:09.57,00:07:09.57,12 crab. Good job.
117,00:07:11.03,00:07:11.03,>> The crabs then came back to camp.
118,00:07:14.33,00:07:14.33,>> Oh! Oh! So we put them in one big pot of
119,00:07:18.50,00:07:18.50,"salt water and started boiling them until they change color,"
120,00:07:23.13,00:07:23.13,"and, unfortunately, it does take a lot to get the meat out..."
121,00:07:29.97,00:07:29.97,but the reward is so huge. Because it's fresh plumpy crab
122,00:07:35.13,00:07:35.13,"meat. So we were just picking away,"
123,00:07:36.87,00:07:36.87,and every little thing went in that was edible.
124,00:07:44.20,00:07:44.20,Then we just ate the biggest spoonfuls.
125,00:07:47.33,00:07:47.33,We weren't dainty at all. >> You couldn't ask for
126,00:07:50.73,00:07:50.73,anything better. >> Maybe little crackers.
127,00:07:53.33,00:07:53.33,">> Boy, that's delicious. >> If that isn't a morale"
128,00:07:57.07,00:07:57.07,"booster, I didn't know what is. >> Whoo-wee."
129,00:07:59.57,00:07:59.57,">> I think we all have the spirit, and it's here, this is"
130,00:08:02.90,00:08:02.90,"our time now. >> We're going to win today,"
131,00:08:05.33,00:08:05.33,"that's a promise. >> PROBST: Come on in, guys."
132,00:08:17.57,00:08:17.57,"Maraamu, lost another member at the last Tribal Council."
133,00:08:20.73,00:08:20.73,Sarah is out of the game. They're now down to four.
134,00:08:23.27,00:08:23.27,Rotu still a full tribe at eight.
135,00:08:25.13,00:08:25.13,"Today's reward challenge requires teamwork, but most"
136,00:08:28.80,00:08:28.80,"importantly, trust. When the challenge begins, four"
137,00:08:31.87,00:08:31.87,tikis for each tribe will have been deconstructed and the 14
138,00:08:35.13,00:08:35.13,pieces separated and scattered out into the surrounding area.
139,00:08:38.67,00:08:38.67,Four members of each tribe will participate.
140,00:08:40.93,00:08:40.93,Three will be blindfolded. One person will be your set of
141,00:08:44.10,00:08:44.10,eyes. This caller will direct the
142,00:08:45.77,00:08:45.77,blindfolded members to the various pieces scattered in the
143,00:08:48.70,00:08:48.70,field. First tribe to get all 14 pieces
144,00:08:51.03,00:08:51.03,back may remove their blindfolds and then begin constructing
145,00:08:54.77,00:08:54.77,their tikis. First tribe to get their tikis
146,00:08:57.63,00:08:57.63,constructed properly wins reward.
147,00:09:00.10,00:09:00.10,And this reward is a big one. The winning tribe gets to visit
148,00:09:04.23,00:09:04.23,the losing tribe's beach and then gets to basically raid the
149,00:09:08.77,00:09:08.77,"camp. >> Oh, my gosh!"
150,00:09:11.97,00:09:11.97,">> PROBST: So for Maraamu, a chance to get in this game."
151,00:09:15.77,00:09:15.77,"For Rotu, potentially a chance to put the nail in the coffin of"
152,00:09:19.43,00:09:19.43,Maraamu. A very big reward.
153,00:09:21.27,00:09:21.27,>> Wow. >> PROBST: Rotu because you have
154,00:09:22.77,00:09:22.77,"eight, you have to sit four out, keeping in mind you cannot sit"
155,00:09:24.73,00:09:24.73,the same people out in back-to- back challenges.
156,00:09:26.50,00:09:26.50,"Who's sitting out? All right, V, Sean, Rob and Zoe,"
157,00:09:29.60,00:09:29.60,you four will hang back with me. You guys will get blindfolded.
158,00:09:33.37,00:09:33.37,"Let's do this, begin. >> Let's go, guys."
159,00:09:35.63,00:09:35.63,>> Let's do it. >> PROBST: Okay.
160,00:09:41.43,00:09:41.43,">> This is going to be fun, you guys, just remember that."
161,00:09:43.73,00:09:43.73,">> Yeah, this is fun. >> PROBST: Survivors ready!"
162,00:09:47.00,00:09:47.00,"Go! >> John, move to your 2:00."
163,00:09:49.30,00:09:49.30,">> John, keep going straight. >> Gabe."
164,00:09:50.77,00:09:50.77,">> All right, John, move a little to your left."
