,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00,  >> PROBST: Previously on
2,00:00:02.21,00:00:02.21,Survivor: at the newly merged Forza tribe...
3,00:00:08.75,00:00:08.75,...former Timbira members Coach and Tyson put together
4,00:00:12.17,00:00:12.17,an alliance. >> That's what I'm talking
5,00:00:16.17,00:00:16.17,"about, man. >> All right."
6,00:00:17.21,00:00:17.21,>> PROBST: And they targeted one of their own.
7,00:00:21.54,00:00:21.54,While Sierra and Brendan also tried to pull in the Jalapao
8,00:00:24.67,00:00:24.67,Three. >> I think we go after Coach.
9,00:00:28.71,00:00:28.71,>> Okay. >> PROBST: Setting the stage for
10,00:00:30.71,00:00:30.71,a showdown between Brendan and Coach.
11,00:00:33.12,00:00:33.12,>> We're cutting the head off the dragon and sending Brendan
12,00:00:35.50,00:00:35.50,"home. When it comes head-to-head,"
13,00:00:37.50,00:00:37.50,we'll see who really was the Chosen One.
14,00:00:40.00,00:00:40.00,>> PROBST: And the old Jalapao tribe found themselves in an
15,00:00:42.71,00:00:42.71,unlikely position. At the immunity challenge:
16,00:00:50.21,00:00:50.21,"Getting down to it, it is Brendan and Tyson."
17,00:00:52.79,00:00:52.79,Tyson won his second immunity in a row.
18,00:00:57.12,00:00:57.12,"And at Tribal Council, Brendan thought his plan was in the bag."
19,00:01:01.71,00:01:01.71,"If anybody has the hidden immunity idol, and you want to"
20,00:01:04.04,00:01:04.04,"play it, now would be the time to do so."
21,00:01:07.29,00:01:07.29,And didn't play his idol. Brendan.
22,00:01:12.25,00:01:12.25,The old Jalapao tribe sided with Coach's alliance.
23,00:01:15.67,00:01:15.67,Eighth person voted out and the first member of our jury:
24,00:01:18.71,00:01:18.71,"Brendan. Blindsiding Brendan, and leaving"
25,00:01:22.62,00:01:22.62,"Sierra in an alliance of one. Brendan, the tribe has spoken."
26,00:01:29.04,00:01:29.04,Eight are left. Who will be voted out tonight?
27,00:01:38.50,00:01:38.50,>> So how awesome was that? >> Awesome!
28,00:01:41.88,00:01:41.88,">> Sierra, you got to admit. >> Yeah, you guys are..."
29,00:01:45.25,00:01:45.25,">> Pretty badass. >> I mean, obviously, I know"
30,00:01:47.50,00:01:47.50,"I'm the next one to go, so let's just try to make these next"
31,00:01:52.25,00:01:52.25,"couple days congenial, I guess. I mean..."
32,00:01:57.25,00:01:57.25,Whatever. That sucked.
33,00:01:59.12,00:01:59.12,It was probably the worst night I've ever had out here.
34,00:02:02.21,00:02:02.21,"And right now I'm just tired and kind of hurt, and I kind of just"
35,00:02:08.25,00:02:08.25,want to disappear. Can I please have a conversation
36,00:02:10.75,00:02:10.75,"with you, Coach? >> Yes."
37,00:02:12.79,00:02:12.79,>> Thank you. I don't think I'm a bad person
38,00:02:16.54,00:02:16.54,"for writing Coach's name down. Although, it was a very hard"
39,00:02:19.79,00:02:19.79,choice to make. I have never planned on ever
40,00:02:22.79,00:02:22.79,voting for you. And I'm being 100% honest with
41,00:02:26.88,00:02:26.88,you. >> Every decision you made was
42,00:02:28.67,00:02:28.67,bad. You could have written down
43,00:02:30.38,00:02:30.38,anybody else's in this game that doesn't have the character like
44,00:02:33.08,00:02:33.08,I have. >> You're right.
45,00:02:34.29,00:02:34.29,>> Everybody out here has lied except for me.
46,00:02:36.50,00:02:36.50,"Um, I knew that Sierra would want to assuage her guilt,"
47,00:02:39.08,00:02:39.08,massage it. Make herself feel rationalized
48,00:02:43.17,00:02:43.17,and justified inside. That's what we do when we make
49,00:02:45.29,00:02:45.29,poor decisions in life. But you have to realize
50,00:02:47.46,00:02:47.46,"something. In war, and love and war..."
51,00:02:51.71,00:02:51.71,>> Mm-hmm. >> ...it's kill or be killed.
52,00:02:54.62,00:02:54.62,So you pitted yourself against me.
53,00:02:57.21,00:02:57.21,Brendan pitted himself against me.
54,00:02:59.83,00:02:59.83,Who deserves to go next?  Captioning sponsored by
55,00:03:04.62,00:03:04.62, CBS PARAMOUNT  NETWORK TELEVISION
56,00:03:09.62,00:03:09.62,(theme song playing) \xe2\x99\xaa \xe2\x99\xaa
57,00:04:12.00,00:04:12.00,>> I came down to the water early this morning to celebrate
58,00:04:14.38,00:04:14.38,the victory over Brendan. Throughout the entire
59,00:04:19.79,00:04:19.79,"meditation, there was this feeling of peace that just kind"
60,00:04:24.46,00:04:24.46,of settled over me and permeated my every fiber.
61,00:04:29.75,00:04:29.75,"For me to pit myself against somebody who is younger, that"
62,00:04:32.92,00:04:32.92,"is faster than me, and maybe stronger than me, although I"
63,00:04:37.29,00:04:37.29,bench-press 300 pounds. And we were talking two days ago
64,00:04:40.12,00:04:40.12,"and he was like, ""Really?"" 'Cause he doesn't do that."
65,00:04:45.00,00:04:45.00,"To defeat a worthy opponent like that, at this stage in the"
66,00:04:48.67,00:04:48.67,game-- the piece de r\xc3\xa9sistance. The dragonslayer has vanquished
67,00:04:56.58,00:04:56.58,the dragon once and for all. (shouts)
68,00:05:03.38,00:05:03.38,Over! The battle has already been won.
69,00:05:06.08,00:05:06.08,"Victory is mine. >> Well, it just all started"
70,00:05:17.79,00:05:17.79,with the way that I started off as a rocky start and I latched
71,00:05:20.67,00:05:20.67,"on to someone else. I guess I was blinded, so I'm"
72,00:05:22.96,00:05:22.96,not even going to say that I wasn't.
73,00:05:25.04,00:05:25.04,>> Tribal Council went as planned.
74,00:05:26.67,00:05:26.67,Brendan didn't have a clue it was coming.
75,00:05:28.62,00:05:28.62,"And, uh, Sierra was really shocked."
76,00:05:30.67,00:05:30.67,Stephen and I-- we've actually put ourselves in a really
77,00:05:32.83,00:05:32.83,"good position. And actually, Stephen and I"
78,00:05:34.54,00:05:34.54,"could've decided who went home last night, and we decided to"
79,00:05:37.42,00:05:37.42,stick through with the warrior alliance.
80,00:05:39.92,00:05:39.92,"And Stephen and I, we're happy with the way things are going."
81,00:05:42.54,00:05:42.54,We're happy to see Sierra go next.
82,00:05:45.00,00:05:45.00,>> I guess the unfortunate part is I didn't make any choices
83,00:05:47.54,00:05:47.54,"in it, and I followed along. >> But that's out of your"
84,00:05:50.12,00:05:50.12,character. >> Right.
85,00:05:51.17,00:05:51.17,">> You say stuff, you know what I mean?"
86,00:05:53.12,00:05:53.12,You jump into any conversation about anything.
87,00:05:57.29,00:05:57.29,">> He was holding the idol, so, therefore, I was playing..."
88,00:06:00.75,00:06:00.75,>> The most powerful thing is friends.
89,00:06:04.46,00:06:04.46,">> After last night at Tribal Council, I guess I'm kind of"
90,00:06:07.17,00:06:07.17,pleading for my life. What sucks the most is that I
91,00:06:10.83,00:06:10.83,was on top of the game yesterday.
92,00:06:14.17,00:06:14.17,"And then today, I'm, like, at the bottom of the food chain."
93,00:06:16.88,00:06:16.88,But I'm not going to just roll over and die.
94,00:06:19.25,00:06:19.25,I'm sorry that I made bad choices.
95,00:06:21.25,00:06:21.25,>> Okay. >> Everyone's had moments of
96,00:06:22.88,00:06:22.88,"betrayal, but I wasn't about to go on some massacre against"
97,00:06:26.08,00:06:26.08,you. And I wasn't about to go on some
98,00:06:28.25,00:06:28.25,"massacre against Coach, and... >> I like to see Sierra scramble"
