,begin,end,subtitles_text
1,00:00:00.10,00:00:00.10,
2,00:00:01.33,00:00:01.33,Jeff: PREVIOUSLY ON
3,00:00:02.03,00:00:02.03,"""SURVIVOR"": BY DAY 14, THE TWO"
4,00:00:05.23,00:00:05.23,"RETURN PLAYERS, OZZY AND COACH"
5,00:00:07.27,00:00:07.27,WERE HEADING IN OPPOSITE
6,00:00:08.90,00:00:08.90,DIRECTIONS.
7,00:00:09.60,00:00:09.60,"AT UPOLU, COACH'S CONTROL OVER"
8,00:00:10.37,00:00:10.37,THE TRIBE WAS GROWING.
9,00:00:11.53,00:00:11.53,"BACK IN THE DRIVER'S SEAT,"
10,00:00:13.67,00:00:13.67,BABY.
11,00:00:14.30,00:00:14.30,Jeff: HE WAS AT THE TOP OF
12,00:00:15.13,00:00:15.13,AN ALLIANCE OF FIVE AND HAD
13,00:00:17.87,00:00:17.87,BEFRIENDED EDNA AND ADDED HEAR
14,00:00:20.33,00:00:20.33,AS HIS PERSONAL SIX.
15,00:00:21.30,00:00:21.30,"WHEN IT COMES TO FRIEND, CAN"
16,00:00:24.33,00:00:24.33,NEVER HAVE TOO MANY.
17,00:00:25.53,00:00:25.53,"AT SAVAII, OZZY'S CONTROL WAS"
18,00:00:29.33,00:00:29.33,ERODING.
19,00:00:29.97,00:00:29.97,HE FEELS HE IS ENTITLED TO
20,00:00:32.73,00:00:32.73,OUR DEFERENCE.
21,00:00:33.27,00:00:33.27,Jeff: JIM APPROACHED
22,00:00:34.83,00:00:34.83,COCHRAN WITH A PLAN TO UNDERMINE
23,00:00:36.70,00:00:36.70,OZZY BY GETTING RID OF HIS
24,00:00:38.77,00:00:38.77,CLOSEST ALLY.
25,00:00:39.50,00:00:39.50,AT THE IMMUNITY CHALLENGE--
26,00:00:42.13,00:00:42.13,BRANDON NEEDS TO FLOSS.
27,00:00:46.37,00:00:46.37,UPOLU NARROWLY CHEWED OUT A WIN.
28,00:00:49.17,00:00:49.17,UPOLU WINS IMMUNITY AND REWARD!
29,00:00:53.60,00:00:53.60,SENDING SAVAII TO TRIBAL
30,00:00:55.03,00:00:55.03,COUNCIL.
31,00:00:55.70,00:00:55.70,IT'S ALL ABOUT KEEPING US AS
32,00:00:56.53,00:00:56.53,STRONG AS POSSIBLE.
33,00:00:58.27,00:00:58.27,Jeff: OZZY WANTED TO
34,00:00:59.70,00:00:59.70,STRENGTHEN THE TRIBE BY GETTING
35,00:01:00.87,00:01:00.87,RID OF COCHRAN.
36,00:01:01.67,00:01:01.67,"SORRY, MAN, HOPE YOU FET THE"
37,00:01:04.20,00:01:04.20,SECOND CHANCE.
38,00:01:04.80,00:01:04.80,Jeff: BUT THE REST OF THE
39,00:01:06.03,00:01:06.03,TRIBE CONSPIRED TO KEEP COCHRAN
40,00:01:08.00,00:01:08.00,AND OZZY WAS COMPLETELY
41,00:01:10.30,00:01:10.30,SURPRISED BY THE RESULT.
42,00:01:13.00,00:01:13.00,ELYSE HEADS TOY REDEMPTION
43,00:01:21.23,00:01:21.23,ISLAND.
44,00:01:35.47,00:01:35.47,WHEN YOU'RE ON THE WRONG SIDE
45,00:01:36.17,00:01:36.17,OF A BLINDSIDE YOU REALIZE WHERE
46,00:01:37.77,00:01:37.77,THE OTHER PEOPLE ARE.
47,00:01:43.87,00:01:43.87,I'M PRETTY PISSED OFF.
48,00:01:45.97,00:01:45.97,"KEITH AND WHITNEY AND MYSELF, WE"
49,00:01:47.33,00:01:47.33,"HAD A GOOD THING GOING, AND THEY"
50,00:01:50.30,00:01:50.30,JUST WENT BEHIND MY BACK AND
51,00:01:51.93,00:01:51.93,VOTED SOMEONE OUT WITHOUT
52,00:01:53.17,00:01:53.17,TELLING ME AND MADE ME LOOK LIKE
53,00:01:54.73,00:01:54.73,AN IDIOL.
54,00:01:55.97,00:01:55.97,HOW YOU CAN TRUST SOMEBODY WHEN
55,00:01:57.13,00:01:57.13,THEY GO BEHIND YOUR BACK?
56,00:02:00.90,00:02:00.90,IT GOES AGAINST EVERYTHING AN
57,00:02:02.53,00:02:02.53,ALLIANCE IS SUPPOSED TO BE.
58,00:02:03.80,00:02:03.80,"WHATEVER, IT DOESN'T REALLY"
59,00:02:04.90,00:02:04.90,MATTER.
60,00:02:05.60,00:02:05.60,I'M DONE PLAYING THE ALLIANCE
61,00:02:07.33,00:02:07.33,"WAY, SO I AM NOW WHAT'S CALLED A"
62,00:02:09.23,00:02:09.23,FREE AGENT.
63,00:02:10.77,00:02:10.77,AND I'M PLAYING FOR MYSELF.
64,00:02:12.70,00:02:12.70,AND YOU GUYS CAN PLAY FOR
65,00:02:15.83,00:02:15.83,YOURSELVES.
66,00:02:18.27,00:02:18.27,IT'S YOU VERSUS US?
67,00:02:19.73,00:02:19.73,THE HAND WAS PLAYED.
68,00:02:20.60,00:02:20.60,"NO, IT WASN'T."
69,00:02:21.70,00:02:21.70,"IT WAS, TOTALLY."
70,00:02:23.13,00:02:23.13,THE HAND HAS BEEN PLAYED.
71,00:02:24.03,00:02:24.03,I DON'T UNDERSTAND WHY YOU'RE
72,00:02:25.50,00:02:25.50,TAKING THIS SO PERSONAL.
73,00:02:26.87,00:02:26.87,IT WAS 97 AGAINST YOU.
74,00:02:29.50,00:02:29.50,IT'S AGAINST ME WHEN YOU
75,00:02:30.60,00:02:30.60,DON'T TELL ME SOMETHING VERY
76,00:02:33.53,00:02:33.53,CRUCIAL LIKE THAT.
77,00:02:34.57,00:02:34.57,IT'S OBVIOUSLY AGAINST ME.
78,00:02:35.40,00:02:35.40,"GIVE ME A BREAK, OZZY."
79,00:02:37.97,00:02:37.97,THERE'S STUFF THAT YOU'RE
80,00:02:39.67,00:02:39.67,WITHHOLDING AND YOU KNOW THAT.
81,00:02:40.57,00:02:40.57,I'VE GOT THE IDOL.
82,00:02:41.80,00:02:41.80,HOW ABOUT THAT?
83,00:02:43.83,00:02:43.83,YOU GUYS PLAYED YOUR HAND.
84,00:02:45.37,00:02:45.37,I JUST PLAYED MINE.
85,00:02:46.37,00:02:46.37,I HAVE THE IDOL.
86,00:02:48.47,00:02:48.47,AND THERE'S A WHOLE OTHER SIDE
87,00:02:50.53,00:02:50.53,OF THIS GAME WHICH YOU GUYS ARE
88,00:02:52.40,00:02:52.40,FORGETTING ABOUT AND THAT'S
89,00:02:53.90,00:02:53.90,CALLED REDEMPTION.
90,00:02:55.20,00:02:55.20,"IF YOU WANT TO GO THERE, JUST"
91,00:02:56.37,00:02:56.37,"LET US KNOW, MAN."
92,00:02:57.80,00:02:57.80,NOW EVERY LITTLE DIRTY
93,00:03:00.17,00:03:00.17,LAUNDRY AND EVERY LITTLE ASPECT
94,00:03:01.30,00:03:01.30,OF THE GAME IS STARTING TO COME
95,00:03:02.57,00:03:02.57,OUT.
96,00:03:03.23,00:03:03.23,I TOLD EVERYONE I'VE GOT THE
97,00:03:05.13,00:03:05.13,IDOL.
98,00:03:05.83,00:03:05.83,"SO FROM THIS POINT ON, I'VE JUST"
99,00:03:07.73,00:03:07.73,DECIDED SCREW IT.
100,00:03:08.50,00:03:08.50,I'M JUST GOING TO LET EVERYTHING
101,00:03:10.20,00:03:10.20,"HANG OUT THERE, TRY TO GO AS FAR"
102,00:03:12.63,00:03:12.63,AS POSSIBLE AND IF IT DOESN'T
103,00:03:14.93,00:03:14.93,WORK I'VE ALWAYS GOT REDEMPTION.
104,00:03:18.90,00:03:18.90,Captioning brought to you by
105,00:03:19.53,00:03:19.53,"Survivor Productions, CBS,"
106,00:03:48.50,00:03:48.50,I WAS PRETTY SURPRISED THAT
107,00:03:49.90,00:03:49.90,"THEY VOTED ELYSE OUT, THE FACT"
108,00:03:51.63,00:03:51.63,THAT THEY FELT LIKE THEY NEEDED
109,00:03:53.03,00:03:53.03,TO GO BEHIND MY BACK JUST
110,00:03:54.37,00:03:54.37,DOESN'T MAKE ANY SENSE.
111,00:03:55.73,00:03:55.73,ESPECIALLY WHEN YOU TRY TO BUILD
112,00:03:58.13,00:03:58.13,TRIBE UNITY.
113,00:03:59.13,00:03:59.13,I'M JUST TRYING TO BE THE
114,00:04:00.33,00:04:00.33,PROVIDER.
115,00:04:00.97,00:04:00.97,I'M JUST TRYING TO LEAD BY
116,00:04:03.87,00:04:03.87,"EXAMPLE, BUT THEY'VE GOT TO BE"
117,00:04:05.50,00:04:05.50,FORTHCOMING IF THEY WANT ME TO
118,00:04:06.50,00:04:06.50,BE PARENT OF THIS TRIBE.
119,00:04:08.60,00:04:08.60,AND I'M A BIG PART OF THIS
120,00:04:11.23,00:04:11.23,TRIBE.
121,00:04:11.97,00:04:11.97,THEY WANT TO WIN CHALLENGES AND
122,00:04:13.10,00:04:13.10,"GET FATHER, THEY'VE GOT TO TRUST"
123,00:04:15.33,00:04:15.33,ME.
124,00:04:15.93,00:04:15.93,THAT'S THE BOTTOM LINE.
125,00:04:20.83,00:04:20.83,"HE JUST WALKED UP AND SAID,"
126,00:04:22.53,00:04:22.53,"""SEE YOU LATER."""
127,00:04:23.70,00:04:23.70,HE SHOULD BE APOLOGIZES
128,00:04:25.60,00:04:25.60,TODAY.
129,00:04:26.17,00:04:26.17,"SERIOUSLY, WHAT A CHILD."
130,00:04:27.33,00:04:27.33,THIS IS JUST NOT-- I'VE KNOWN
131,00:04:29.23,00:04:29.23,HIM FOR 14 DAYS.
132,00:04:30.83,00:04:30.83,I'M DISAPPOINTED.
133,00:04:31.87,00:04:31.87,HE NEEDS TO MAN UP AND GET
134,00:04:33.57,00:04:33.57,OVER IT.
135,00:04:34.57,00:04:34.57,THE PLAN'S COMING TOGETHER
136,00:04:36.50,00:04:36.50,BETTER THAN I COULD HAVE EVER
137,00:04:37.60,00:04:37.60,DRAWN IT UP.
138,00:04:38.63,00:04:38.63,"NOW, AS OPPOSED TO OZZY BEING"
139,00:04:40.50,00:04:40.50,"THE LEADER, HE TWHREEZ CAN ONLY"
140,00:04:42.87,00:04:42.87,BE DESCRIBED AS A HISSEY FIT.
141,00:04:44.63,00:04:44.63,I KIND OF THOUGHT OZZY WOULD
142,00:04:46.87,00:04:46.87,MAKE UP THIS MORNING REALIZING
143,00:04:48.53,00:04:48.53,HE NEEDS TO APOLOGIZE TO
144,00:04:50.40,00:04:50.40,EVERYBODY.
145,00:04:50.97,00:04:50.97,THAT WASN'T THE CASE.
146,00:04:51.80,00:04:51.80,HE'S TAKING HIS BALL AND GOING
147,00:04:53.50,00:04:53.50,"TO THE OTHER SIDE OF THE ISLAND,"
148,00:04:55.50,00:04:55.50,STILL HUFFING AND PUFFING NOT
149,00:04:57.90,00:04:57.90,TALKING TO ANYBODY.
150,00:04:58.90,00:04:58.90,WE'RE 12 HOURS AFTER THE FACT
151,00:05:00.00,00:05:00.00,AND HE'S STILL THIS PISSY?
152,00:05:01.47,00:05:01.47,COME ON.
153,00:05:02.17,00:05:02.17,"AND NOT ONLY THAT, HE REVEALED"
154,00:05:03.33,00:05:03.33,HE HAS THE IDOL AND SAYS HE'S A
155,00:05:05.97,00:05:05.97,FREE AGENT.
156,00:05:06.67,00:05:06.67,"I MEAN, THE GUY COULDN'T HAVE"
157,00:05:08.23,00:05:08.23,MADE ANY WORSE MOVES THAN HE
158,00:05:09.60,00:05:09.60,DID.
159,00:05:10.27,00:05:10.27,IF HE WOULD HAVE NOT REACTED
160,00:05:12.07,00:05:12.07,SO QUICKLY AND GOT EMOTIONAL HE
161,00:05:13.50,00:05:13.50,WOULD HAVE REALIZED IF WE WERE
162,00:05:14.87,00:05:14.87,"TRYING TO BLINDED SIDE HIM, THEN"
163,00:05:16.53,00:05:16.53,HE WOULD HAVE BEEN OUT.
164,00:05:17.57,00:05:17.57,ABSOLUTE.
165,00:05:18.63,00:05:18.63,HE DOESN'T REALIZE THAT.
166,00:05:19.60,00:05:19.60,I DON'T KNOW IF OZZY'S TEMPER
167,00:05:22.53,00:05:22.53,TANTRUM IS GOING TO CONTINUE
168,00:05:23.57,00:05:23.57,"WELL SPOT FUTURE, BUT THE LESS"
169,00:05:25.87,00:05:25.87,"PLEASANT HE IS, THE BETTER IT IS"
170,00:05:27.40,00:05:27.40,FOR ME.
171,00:05:28.50,00:05:28.50,I HOPE HE CONTINUES BOOING A CRY
172,00:05:31.37,00:05:31.37,BABY BECAUSE IT'S GREAT FOR ME.
173,00:05:33.13,00:05:33.13,"IN ALL SERIOUSNESS, HE'S"
174,00:05:35.13,00:05:35.13,BEHAVING LIKE A STUPID BITCH.
175,00:05:42.90,00:05:42.90,WOW!
176,00:05:44.33,00:05:44.33,THAT LOOKS COOL!
177,00:05:45.10,00:05:45.10,IT LOOKS AWESOME.
178,00:05:47.17,00:05:47.17,THAT'S GOOD.
179,00:05:48.23,00:05:48.23,IT'S A BEAUTIFUL DAY.
180,00:05:50.30,00:05:50.30,THERE'S PLENTY OF STUFF TO EAT.
181,00:05:52.40,00:05:52.40,"I'M GOT THE IMMUNITY IDOL, SOY"
182,00:05:54.87,00:05:54.87,I'M IN A GOOD SPOT IN THIS
183,00:05:56.57,00:05:56.57,TRIBE.
184,00:05:57.27,00:05:57.27,THE PEOPLE THAT KNOW ABOUT THE
185,00:05:58.70,00:05:58.70,"HIDDEN IMMUNITY IDOL ARE,"
186,00:06:00.10,00:06:00.10,"OBVIOUSLY, MYSELF, SOPHIE, AND"
187,00:06:02.50,00:06:02.50,ALBERT.
188,00:06:03.20,00:06:03.20,IT'S SOMETHING I STRUGGLE WITH
189,00:06:04.13,00:06:04.13,BECAUSE I LIKE TO HAVE ALL THE
190,00:06:05.40,00:06:05.40,CARDS ON THE TABLE.
191,00:06:06.40,00:06:06.40,"UNFORTUNATELY, BRANDON IS A"
192,00:06:08.60,00:06:08.60,LOOSE CANNON AND HE MIGHT TELL
193,00:06:10.07,00:06:10.07,ANYBODY.
194,00:06:10.80,00:06:10.80,I KNOW HE WILL FEEL BETRAYED AT
195,00:06:11.93,00:06:11.93,SOME POINT IN TIME BUT THAT'S
196,00:06:13.17,00:06:13.17,DOWN THE ROAD.
197,00:06:15.57,00:06:15.57,JEFF TOLD US THAT THERE WAS
198,00:06:16.67,00:06:16.67,GOING TO BE A CLUE TO THE HIDDEN
199,00:06:19.53,00:06:19.53,IMMUNITY IDOL IN OUR CAMP BUT
200,00:06:20.80,00:06:20.80,NOBODY FOUND IT.
201,00:06:21.67,00:06:21.67,IT IS VERY IMPORTANT FOR TO US
