,begin,end,subtitles_text
0,00:00:00.00,00:00:07.13,">> JEFF PROBST: 36 days ago, 16"
1,00:00:07.13,00:00:10.23,Americans began the adventure ofa lifetime.
2,00:00:10.23,00:00:12.73,"Wearing only their streetclothes, they journeyed"
3,00:00:12.73,00:00:15.90,"south off the coast of Panamato the Pearl Islands,"
4,00:00:15.90,00:00:18.03,where they were metwith a big surprise.
5,00:00:18.03,00:00:20.80,You're going into this gamewith the clothes you have
6,00:00:20.80,00:00:23.67,"on your back,just like if you"
7,00:00:23.67,00:00:30.53,really were shipwrecked.They were given
8,00:00:30.53,00:00:33.33,100 Panamanian dollarsand abandoned
9,00:00:33.33,00:00:35.70,"near a small fishing village,where they bargained"
10,00:00:35.70,00:00:37.70,for supplies.>> Rice? Rice?
11,00:00:37.70,00:00:39.57,>> Rice.>> PROBST: Right from the
12,00:00:39.57,00:00:42.73,"beginning, the Morgan Tribewas scattered and frantic."
13,00:00:42.73,00:00:46.07,>> Give me my money back.Money. I need my money back.
14,00:00:46.07,00:00:48.33,I don't want it.>> PROBST: While the Drake Tribe
15,00:00:48.33,00:00:50.80,pulled togetherand worked every advantage.
16,00:00:50.80,00:00:54.70,(speaking Spanish)>> Sandra was so amazing
17,00:00:54.70,00:00:58.33,"in the town, because she spokethe language."
18,00:00:58.33,00:01:01.53,>> Pirates steal.Pirates take advantage.
19,00:01:01.53,00:01:04.50,"All their trade goods,all the little women's shoes,"
20,00:01:04.50,00:01:09.07,"everything that I could findin theirs, I took."
21,00:01:09.07,00:01:12.33,">> PROBST: Once at camp, theDrakes continued to prosper,"
22,00:01:12.33,00:01:15.33,and Rupert emergedas their natural provider.
23,00:01:15.33,00:01:20.73,>> I got lunch!>> Yeah!
24,00:01:20.73,00:01:23.17,>> PROBST: The Morgan Tribestruggled and faced setback
25,00:01:23.17,00:01:26.47,"after setback.>> Oh, my God."
26,00:01:26.47,00:01:30.17,I just lost the hook.>> We are absolutely devastated.
27,00:01:30.17,00:01:34.07,I think it's us againsteverything else out here.
28,00:01:34.07,00:01:37.70,">> PROBST: In the first 11 days,the Drakes won six challenges"
29,00:01:37.70,00:01:40.23,in a row.Drake wins immunity!
30,00:01:40.23,00:01:42.37,>> Yeah!>> PROBST: And the already weak
31,00:01:42.37,00:01:49.23,Morgan Tribe lost three members.Morale at the Morgan camp
32,00:01:49.23,00:01:52.07,was so low that Ostencontemplated quitting.
33,00:01:52.07,00:01:54.60,">> Vote me right off,'cause I don't deserve to win."
34,00:01:54.60,00:01:56.90,">> PROBST: Eventually,disharmony set in at Drake as"
35,00:01:56.90,00:01:59.70,well and they deliberatelythrew a challenge
36,00:01:59.70,00:02:02.97,to get rid of one of their own.Morgan wins immunity!
37,00:02:02.97,00:02:05.27,But it was a decisionthat changed the game.
38,00:02:05.27,00:02:08.10,The defeat sent the Drakesinto a tailspin
39,00:02:08.10,00:02:11.30,"and, over the next nine days,they lost three members,"
40,00:02:11.30,00:02:14.63,making the tribes evenat five each.
41,00:02:14.63,00:02:20.47,"On day 19, both Drake and Morganwere blindsided by a twist."
42,00:02:20.47,00:02:23.10,Your past has comeback to haunt you.
43,00:02:23.10,00:02:25.50,The six castawayswho had been voted out
44,00:02:25.50,00:02:27.87,returned as a tribeof Outcasts to compete
45,00:02:27.87,00:02:30.43,against Drake and Morganfor a chance
46,00:02:30.43,00:02:33.27,"to return to the game.>> Revenge, baby."
47,00:02:33.27,00:02:36.73,All about revenge.>> PROBST: If you really are
48,00:02:36.73,00:02:40.77,"the ten most worthy Survivors,this should be no trouble."
49,00:02:40.77,00:02:43.07,Everybody's gotto cross the finish line.
50,00:02:43.07,00:02:45.93,Got to have the tribe flag.(screaming and cheering)
51,00:02:45.93,00:02:48.50,The Outcasts defeatMorgan and Drake!
52,00:02:48.50,00:02:52.20,"The Outcasts beat both tribes,forcing Drake and Morgan"
53,00:02:52.20,00:02:55.10,to separate Tribal Councils.Shawn was voted
54,00:02:55.10,00:03:00.27,out of the Drake Tribe.And Osten became the first
55,00:03:00.27,00:03:03.40,"Survivor ever to quit the game.>> Yeah, I'm quitting."
56,00:03:03.40,00:03:05.70,My health to meis more important
57,00:03:05.70,00:03:07.30,"than a million dollars,I guess, right now."
58,00:03:07.30,00:03:10.27,">> PROBST: Osten, per yourwishes..."
59,00:03:10.27,00:03:18.37,"go home.All due respect to Osten,"
60,00:03:18.37,00:03:21.13,people work too damn hardto get in this game
61,00:03:21.13,00:03:23.50,and fight to stay alive.If he wants to lay his torch
62,00:03:23.50,00:03:28.03,"down, so it shall be.The Outcasts voted"
63,00:03:28.03,00:03:31.20,Lill and Burton back inand they both returned
64,00:03:31.20,00:03:34.20,"to their former camps.On day 21, the game changed"
65,00:03:34.20,00:03:37.47,again when the two tribesmerged.
66,00:03:37.47,00:03:40.70,They became the Balboas.>> Balboa!
67,00:03:40.70,00:03:42.97,>> Balboa!(cheering)
68,00:03:42.97,00:03:48.10,>> I knew that here iswhere the true game starts.
69,00:03:48.10,00:03:50.83,>> PROBST: Old alliances brokedown when Lill jumped ship
70,00:03:50.83,00:03:55.40,"and helped vote outher former tribe mate, Andrew."
71,00:03:55.40,00:04:03.23,"Ryno was the next to go.>> I'll be back, guys."
72,00:04:03.23,00:04:06.70,> PROBST: Former Outcasts Lilland Burton made a pact to stay
73,00:04:06.70,00:04:08.67,together.>> To the Outcasts.
74,00:04:08.67,00:04:10.53,>> To the Outcasts.>> Taking it home.
75,00:04:10.53,00:04:13.07,">> Uh-huh.>> PROBST: And Rupert, Christa"
76,00:04:13.07,00:04:15.77,and Sandra continued theirfriendly bond.
77,00:04:15.77,00:04:19.00,">> They are so power-ridden,they know it."
78,00:04:19.00,00:04:21.73,">> PROBST: Uneasy with the powerthat Rupert seemed to have,"
79,00:04:21.73,00:04:24.33,Jon and Burton formeda tight alliance of two.
80,00:04:24.33,00:04:26.90,>> You and I will go all theway.
81,00:04:26.90,00:04:28.53,">>I know.>> PROBST: Together, they"
82,00:04:28.53,00:04:31.63,"launched a plot with Darrah,Tijuana and Lill to eliminate"
83,00:04:31.63,00:04:35.40,"their biggest threat.And on day 27,"
84,00:04:35.40,00:04:38.60,"Rupert was voted out,leaving Sandra and Christa"
85,00:04:38.60,00:04:41.70,to fend for themselves.>> I cannot believe that.
86,00:04:41.70,00:04:45.50,">> PROBST: Rupert, the tribe hasspoken."
87,00:04:45.50,00:04:48.63,"T, here's your high schoolsweetheart."
88,00:04:48.63,00:04:51.80,"On day 28, the Survivors'loved ones showed up"
89,00:04:51.80,00:04:54.30,to participatein a reward challenge.
90,00:04:54.30,00:04:57.43,(sobbing)And Jon got some devastating
91,00:04:57.43,00:05:05.50,"news from his friend, Dan.In a show of sympathy,"
92,00:05:05.50,00:05:08.40,the tribe let Jon winso that he could spend time
93,00:05:08.40,00:05:10.40,"with his friend.>> Thank you, everyone."
94,00:05:10.40,00:05:12.97,>> Of course. Of course.>> PROBST: But it was all a big
95,00:05:12.97,00:05:15.03,lie.>> That was a brilliant
96,00:05:15.03,00:05:17.13,"performance, sir.My grandmother's sitting home"
97,00:05:17.13,00:05:19.40,watching Jerry Springerright now.
98,00:05:19.40,00:05:21.43,"I haven't even come closeto being voted off, dude."
99,00:05:21.43,00:05:24.07,">> Jon called me before he leftand was like,"
100,00:05:24.07,00:05:27.00,"""If you come down here,tell me my grandma died."""
101,00:05:27.00,00:05:30.00,>> The fake dead grandmothercould easily go down
102,00:05:30.00,00:05:34.27,as the dirtiest thingever to be done in this game.
103,00:05:34.27,00:05:36.97,>> PROBST: Jon continuedto plot with Burton.
104,00:05:36.97,00:05:38.93,"And, even thoughSandra and Tijuana"
105,00:05:38.93,00:05:41.37,"secretly listened inon their conversation,"
106,00:05:41.37,00:05:43.70,"the men continuedto dominate the game,"
107,00:05:43.70,00:05:46.57,as Jon convinced his enemiesto vote out Tijuana.
108,00:05:46.57,00:05:50.73,The tribe has spoken.The women considered
109,00:05:50.73,00:05:53.97,forming their own allianceto overthrow Jon and Burton.
110,00:05:53.97,00:05:56.27,">> I want the guys to go.>> Yeah, yeah."
111,00:05:56.27,00:06:00.10,>> You think that'll work?>> PROBST: But when Jon left the
112,00:06:00.10,00:06:02.90,"camp with Lill and Darrahfor a reward, he again"
113,00:06:02.90,00:06:10.70,worked his deception.He convinced Lill and Darrah
114,00:06:10.70,00:06:16.77,"to vote out Christa.Last week, Burton won the"
115,00:06:16.77,00:06:20.07,reward and chose to take Jonto the old Panama ruins
116,00:06:20.07,00:06:23.37,"for an overnight feast,where he and Jon celebrated"
117,00:06:23.37,00:06:26.10,their control of the game.>> To the girls eating mussels.
118,00:06:26.10,00:06:30.27,">> To the girls eating mussels.>> PROBST: But back at camp,"
119,00:06:30.27,00:06:33.33,the women rekindledtalk of an alliance.
120,00:06:33.33,00:06:36.83,">> So, if Burton wins immunity,Jon's going."
121,00:06:36.83,00:06:38.33,Right?>> Right.
122,00:06:38.33,00:06:40.77,">> PROBST: When Jon and Burtonreturned, they were immediately"
123,00:06:40.77,00:06:43.23,suspicious.>> I can't believe you three
124,00:06:43.23,00:06:45.87,didn't try to figure outa girl alliance to go
125,00:06:45.87,00:06:47.60,against Jon and me.>> Nope.
126,00:06:47.60,00:06:50.50,>> PROBST: And Sandra used Jon'sstrategy against him when she
127,00:06:50.50,00:06:52.93,told her own lie.>> I swear on my grandmother.
128,00:06:52.93,00:06:55.80,I swear. I swear. I swear.Now you guys have a plan or not?
129,00:06:55.80,00:06:58.57,>> I swear on my two kidsthat I'm with you guys.
130,00:06:58.57,00:07:01.07,"In my head, I was like,""I swear on my kids that I'm"
131,00:07:01.07,00:07:04.97,"going to screw you and Burton."">> PROBST: At the challenge,"
132,00:07:04.97,00:07:08.20,Darrah took homeher third straight immunity.
133,00:07:08.20,00:07:11.10,"And at Tribal Council, theall-girl alliance finally held"
134,00:07:11.10,00:07:15.70,"and Burton was voted out.Burton, for the second time,"
135,00:07:15.70,00:07:23.47,"the tribe has spoken.Now, only four remain."
136,00:07:23.47,00:07:25.50,"Tonight, they will competein their final"
137,00:07:25.50,00:07:28.17,immunity challenges.Two will continue on
138,00:07:28.17,00:07:31.80,to face the jury.One will outlast all the rest
139,00:07:31.80,00:07:37.13,and become the Sole Survivor.(theme song playing)
140,00:07:37.13,00:07:39.13,Captioning sponsored by CBS PARAMOUNT
141,00:07:39.13,00:08:51.90,NETWORK TELEVISION(boat engine rumbling)
142,00:09:07.00,00:09:16.47,">> You guys, get up.>> PROBST: Rise and shine."
143,00:09:16.47,00:09:21.40,"Day 37 is here.Jon and three women in bed,"
144,00:09:21.40,00:09:25.83,"another first.>> Actually, not really."
145,00:09:25.83,00:09:28.87,">> PROBST: Good morning, guys.>> Wow."
146,00:09:28.87,00:09:31.90,">> PROBST: Well, I figured 37days and the final four"
147,00:09:31.90,00:09:34.40,"is cause for celebration, so...Oh, my God."
148,00:09:34.40,00:09:37.07,Some pastries and we'llmake some mimosas.
149,00:09:37.07,00:09:39.57,"Oh, Lill. Lill.>> I'm sorry."
150,00:09:39.57,00:09:41.57,>> PROBST: Thank you.>> I'm sorry.
151,00:09:41.57,00:09:46.67,"Oh, I'm so hungry.>> PROBST: Here we go-- Day 37"
152,00:09:46.67,00:09:49.80,and the final four.Congratulations to the final
153,00:09:49.80,00:09:52.13,four.>> Final four.
154,00:09:52.13,00:09:55.50,>> PROBST: Cheers.>> Cheers.
155,00:09:55.50,00:09:57.77,">> Man, that's good.>> PROBST: I have one more"
156,00:09:57.77,00:10:00.03,"thing, before I leave, for youguys-- I'll go grab it."
157,00:10:00.03,00:10:02.57,">> You rule.>> God, I love that man."
158,00:10:02.57,00:10:05.80,>> He goes from good to bad.>> I wonder if he'd like to join
159,00:10:05.80,00:10:09.60,"a troop.>> Oh, our letters."
160,00:10:09.60,00:10:11.97,>> Don't say that.>> Or a challenge.
161,00:10:11.97,00:10:13.33,>> It's our letters.>> It's our challenge.
162,00:10:13.33,00:10:14.53,">> No, it's not.It's four letters."
163,00:10:14.53,00:10:19.67,>> It's four somethings.Do we get something good?
164,00:10:19.67,00:10:22.03,">> PROBST: Well, home isonly three days away,"
165,00:10:22.03,00:10:26.57,"so, hopefully, a little lovefrom home will tide you over."
166,00:10:26.57,00:10:29.80,Letters from home.I'll leave and let you guys sit
167,00:10:29.80,00:10:31.67,down.Share these if you want
168,00:10:31.67,00:10:34.40,or keep them private.Have a good last three days.
169,00:10:34.40,00:10:36.53,">> Thank you. Thank you.>> PROBST: All right, Lill."
170,00:10:36.53,00:10:38.47,>> Thank you.You want to join
171,00:10:38.47,00:10:40.40,a Boy Scout troop?(laughs)
172,00:10:40.40,00:10:42.97,>> PROBST: Someday.I'll leave you guys in private.
173,00:10:42.97,00:10:45.90,See you later.>> Thank you.
174,00:10:45.90,00:10:51.90,Oh.This is to Jeff.
175,00:10:51.90,00:11:02.00,(Lillian gasps)>> Jeff brought back four
176,00:11:02.00,00:11:06.27,envelopes and they had ourletters in them from home.
177,00:11:06.27,00:11:10.10,"So, we just all sat downand started reading our letters."
178,00:11:10.10,00:11:15.60,It's hard because you haven'ttalked to anybody in 37 days.
179,00:11:15.60,00:11:19.03,"I was just mainly worried aboutif my dog was okay and,"
180,00:11:19.03,00:11:27.27,"you know, my family.>> I got four letters from home:"
181,00:11:27.27,00:11:31.17,"one from my husband,my two girls and my mom."
182,00:11:31.17,00:11:34.93,"So, I started crying becauseyou can't help but to cry."
183,00:11:34.93,00:11:36.83,It really felt goodat a time like this
184,00:11:36.83,00:11:39.60,"when you got so manyother things on your mind,"
185,00:11:39.60,00:11:41.20,and you do worryabout your family.
186,00:11:41.20,00:11:43.47,"And then, to get a letter andknow that everything's okay--"
187,00:11:43.47,00:11:45.77,"okay, fine, then I don't haveto worry about them anymore."
188,00:11:45.77,00:11:48.37,"Now, it's time to focuson the end of the game."
189,00:11:48.37,00:11:51.50,">> ""Hey, Mom...""everything is fine here at"
190,00:11:51.50,00:11:55.77,"home.""I think about you every day..."
191,00:11:55.77,00:11:59.17,"and pray for your safeand happy return."""
192,00:11:59.17,00:12:05.10,"(Lillian sobbing)""Win or lose, I love you."""
193,00:12:05.10,00:12:08.23,Having those lettersfrom my three family members
194,00:12:08.23,00:12:11.63,made me realizethat I have to keep going.
195,00:12:11.63,00:12:14.43,"I have to be strong for them.""'Someone has to win"
196,00:12:14.43,00:12:18.80,"and someone has to lose.""I believe in letting"
197,00:12:18.80,00:12:24.80,"someone else lose.'That's by Pete Rose."""
198,00:12:24.80,00:12:28.33,"This is my son.>> Oh, my God."
199,00:12:28.33,00:12:32.70,(sobbing)>> Lill went into such theatrics
200,00:12:32.70,00:12:35.17,"over her letter,that it pretty much overshadowed"
201,00:12:35.17,00:12:39.20,anyone else's letter.(moans)
202,00:12:39.20,00:12:41.60,That's been her M.O. from thebeginning.
203,00:12:41.60,00:12:43.80,"Of course, Lillwill break down into hysterics"
204,00:12:43.80,00:12:46.67,"and I hope to use that againsther, hopefully, to show D."
205,00:12:46.67,00:12:49.83,"and Sandra, if she does thisin front of a final jury,"
206,00:12:49.83,00:12:54.77,"you're screwed.So, have you guys made"
207,00:12:54.77,00:12:59.30,a deal amongst yourselvesfor final three?
208,00:12:59.30,00:13:05.23,"You can be honest.I take that as a ""yes."""
209,00:13:05.23,00:13:07.50,It is my head on the choppingblock.
210,00:13:07.50,00:13:10.03,It seems pretty obvious that...that the three of them have
211,00:13:10.03,00:13:12.30,"formed some kind of bondbecause, you know, all three"
212,00:13:12.30,00:13:15.80,share inferiority complexesto that of a man.
213,00:13:15.80,00:13:19.50,The fact that Sandra jumpedahead of me on the food chain
214,00:13:19.50,00:13:22.63,pisses me off to no end.>> I don't want to be third.
215,00:13:22.63,00:13:25.80,I want to be first or second.>> Of course you want to be
216,00:13:25.80,00:13:27.63,"first or second, 'cause ifyou're anywhere near that"
217,00:13:27.63,00:13:29.90,"freakin' jury, you're going towin and you know it."
218,00:13:29.90,00:13:31.87,">> I am not going to win.>> Y-you can say, ""I don't know,"
219,00:13:31.87,00:13:33.77,"I don't know, I don't know,""but everyone here knows."
220,00:13:33.77,00:13:35.70,">> That is not true.> Yes, it is-- you're going to"
221,00:13:35.70,00:13:37.50,pull hearts and flowerslike you did this morning.
222,00:13:37.50,00:13:39.03,That was just rehearsalfor later.
223,00:13:39.03,00:13:41.00,">> What do you mean""hearts and flowers""?"
224,00:13:41.00,00:13:42.30,>> Okay.>> You don't think
225,00:13:42.30,00:13:44.67,that they won't go by skills...>> Nope. Nope.
226,00:13:44.67,00:13:46.93,>> ... by strategy?>> They're going to go by
227,00:13:46.93,00:13:49.03,"you sitting there crying, that'swhat they're going to go by."
228,00:13:49.03,00:13:51.57,"And D. and Sandra arebanking on that, because I think"
229,00:13:51.57,00:13:54.37,they're smart enough to know notto take you to the final.
230,00:13:54.37,00:13:56.93,">> Is that true, D.?>> I'm not getting in"
231,00:13:56.93,00:13:58.80,"the middle of this.>> I'm asking you,"
232,00:13:58.80,00:14:01.37,do I have your vote?>> It's going to be
233,00:14:01.37,00:14:03.43,"a lot to think about.I mean, you'll get"
234,00:14:03.43,00:14:05.57,more votes than I will.But I'm fine with
235,00:14:05.57,00:14:07.23,first or second.>> But would you
236,00:14:07.23,00:14:09.60,"take me to the end?>> I don't know, Lill."
237,00:14:09.60,00:14:11.60,"There's a lot to think about.You know, I can't sit here"
238,00:14:11.60,00:14:13.70,"and tell you that I will takeyou, and I can't sit here"
239,00:14:13.70,00:14:16.60,"and tell you I won't take you.And if I do take you, I'm"
240,00:14:16.60,00:14:20.30,"going to get my butt kicked.>> So, you're planning"
241,00:14:20.30,00:14:22.47,on taking Sandra.>> I don't know what
242,00:14:22.47,00:14:26.00,"I'm going to do.>> Darrah told me,"
243,00:14:26.00,00:14:29.57,"""You're a nice person, Lill,but I'm not going to take you"
