,begin,end,subtitles_text
1,00:00:00.03,00:00:00.03,
2,00:00:01.77,00:00:01.77,"Jeff: PREVIOUSLY ON ""SURVIVOR""."
3,00:00:05.97,00:00:05.97,18 AMERICANS WERE
4,00:00:07.57,00:00:07.57,ABANDONED ON A REMOTE POLYNESIAN
5,00:00:09.87,00:00:09.87,ISLAND.
6,00:00:10.27,00:00:10.27,ALL WITH ONE GOAL IN MIND.
7,00:00:10.97,00:00:10.97,I JUST WANT TO BE THE
8,00:00:12.87,00:00:12.87,GREATEST SURVIVOR OF ALL TIME.
9,00:00:15.63,00:00:15.63,Jeff: THEY WERE QUICKLY
10,00:00:17.13,00:00:17.13,DIVIDED INTO TWO TRIBES-- THE
11,00:00:18.60,00:00:18.60,MEN VERSUS THE WOMEN.
12,00:00:19.77,00:00:19.77,"MEN, YOUR TRIBE NAME IS MANONO."
13,00:00:22.60,00:00:22.60,"WOMEN, YOUR TRIBE NAME IS"
14,00:00:24.20,00:00:24.20,SALANI.
15,00:00:24.60,00:00:24.60,Jeff: BUT NOT EVERYONE WAS
16,00:00:25.63,00:00:25.63,THRILLED.
17,00:00:26.10,00:00:26.10,I'M THE GIRL WITHIN THE GUY
18,00:00:29.13,00:00:29.13,TRIBE.
19,00:00:29.57,00:00:29.57,Jeff: AND FOR THE FIRST
20,00:00:30.10,00:00:30.10,"TIME IN ""SURVIVOR"" HISTORY, TWO"
21,00:00:32.03,00:00:32.03,TRIBES FOUND THEMSELVES
22,00:00:33.77,00:00:33.77,COEXISTING ON ONE BEACH IN A
23,00:00:35.40,00:00:35.40,BATTLE OF THE SEXES.
24,00:00:36.60,00:00:36.60,SEEMS LIKE TOTAL CHAOS.
25,00:00:39.30,00:00:39.30,"Jeff: ON THE SALANI TRIBE,"
26,00:00:40.80,00:00:40.80,A GROUP OF YOUNG WOMEN WERE
27,00:00:41.80,00:00:41.80,RUNNING THE SHOW.
28,00:00:42.77,00:00:42.77,"IT'S KIM, CHELSEA, KITTY KAT,"
29,00:00:47.07,00:00:47.07,MYSELF AND A BRIE THAT AND IT
30,00:00:48.43,00:00:48.43,WAS DONE IN A MATTER OF SECONDS.
31,00:00:52.87,00:00:52.87,"Jeff: AND AT MANONO, THE"
32,00:00:54.57,00:00:54.57,MUSCLE TOOK CONTROL.
33,00:00:55.40,00:00:55.40,"BIG MIKE, JAY-BIRD AND BILL."
34,00:00:57.90,00:00:57.90,I'M SITTING PRETTY AS FAR AS I'M
35,00:01:00.40,00:01:00.40,CONCERNED.
