,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00, >> PROBST: Previously on
2,00:00:02.50,00:00:02.50, Survivor: The Boran and Samburu tribes merged into one.
3,00:00:05.67,00:00:05.67,The ten of you have now merged into one tribe.
4,00:00:09.53,00:00:09.53,The first individual immunity challenge was an arm's length
5,00:00:13.87,00:00:13.87,"test of endurance. After more than six hours,"
6,00:00:18.07,00:00:18.07,Clarence and Teresa were the last two standing.
7,00:00:21.17,00:00:21.17,"A game of rock, paper, scissors finally determined the outcome."
8,00:00:28.40,00:00:28.40,"The new tribe bonded over wine, and named themselves Motomaji."
9,00:00:33.83,00:00:33.83,"At Tribal Council, Teresa secretly honored her word and"
10,00:00:37.47,00:00:37.47,voted with Clarence against Lex. Two votes Lex.
11,00:00:40.53,00:00:40.53,But Clarence received the majority and was voted out of
12,00:00:43.80,00:00:43.80,the tribe. The tribe has spoken.
13,00:00:46.47,00:00:46.47,Nine are left. Tonight one more will go.
14,00:02:03.40,00:02:03.40,">> I'm telling you, a dirty chicken."
15,00:02:05.17,00:02:05.17,">> When we went to Tribal Council last night, we seemed to"
16,00:02:08.03,00:02:08.03,have kind of a unanimous consensus.
17,00:02:09.77,00:02:09.77,Everyone was going to be voting for Clarence and then there were
18,00:02:12.10,00:02:12.10,"two votes that came in with my name and them, and I was, you"
19,00:02:14.27,00:02:14.27,"know, I was really surprised. I kind of figured that Clarence"
20,00:02:16.70,00:02:16.70,"would vote for me, but when the second vote came in, I was"
21,00:02:18.87,00:02:18.87,pissed off. I was furious.
22,00:02:20.27,00:02:20.27,>> I know it's not me. It's not you.
23,00:02:22.87,00:02:22.87,It's not Tom for sure. >> Nope.
24,00:02:25.13,00:02:25.13,>> It's not Ethan. >> It's not Ethan.
25,00:02:27.83,00:02:27.83,The person that threw that vote at me and that now chooses to
26,00:02:31.07,00:02:31.07,"hide, torques me and it pisses me off that I can't figure it"
27,00:02:34.27,00:02:34.27,out and smoke him out right away.
28,00:02:36.17,00:02:36.17,I will not live with a snake. >> Yeah.
29,00:02:38.10,00:02:38.10,">> I will cut the head off of whoever it is that did this, and"
30,00:02:41.50,00:02:41.50,whoever it is that has poisoned this with scheming and lying is
31,00:02:44.97,00:02:44.97,going to go down next. >> Mm-hmm.
32,00:02:46.77,00:02:46.77,">> That is just the way it is, and I'm going to take him out."
33,00:02:50.23,00:02:50.23,I'm going to slit their throats. >> This morning Lex was just a
34,00:02:55.13,00:02:55.13,total jerk. I mean what do you expect in
35,00:02:57.50,00:02:57.50,this game? I mean I'm sorry.
36,00:02:59.27,00:02:59.27,"Someone voted against you, Mr. Ego."
37,00:03:00.93,00:03:00.93,Deal with it. >> It was not me.
38,00:03:02.33,00:03:02.33,>> You swear on your brother? You'd swear on your brother's
39,00:03:05.03,00:03:05.03,name? >> I'd swear on my brother's
40,00:03:06.90,00:03:06.90,name. I'd swear on both my parents.
41,00:03:09.07,00:03:09.07,I really would. I'll look you in the eye.
42,00:03:11.17,00:03:11.17,">> You are? >> I am, I am."
43,00:03:12.73,00:03:12.73,"I promise you. >> Okay, it really wasn't me,"
44,00:03:14.93,00:03:14.93,"but screw you, Lex, if you're going to sit here and yell at me"
45,00:03:18.10,00:03:18.10,like you're my dad and I'm five and I just stole cookies for
46,00:03:21.17,00:03:21.17,something I didn't do. >> Did you sleep well?
47,00:03:24.27,00:03:24.27,>> I did. I'm a pretty happy camper.
48,00:03:27.40,00:03:27.40,">> This one little vote is so inconsequential to the game, and"
49,00:03:30.80,00:03:30.80,it has so much to do with Lex's ego that I really could care
50,00:03:34.13,00:03:34.13,less what happens with it. Somebody was just screwing with
51,00:03:37.47,00:03:37.47,"his head, and it worked. It makes me wish I had done it."
52,00:03:41.83,00:03:41.83,>> Is there anything I can help you with for breakfast?
53,00:03:44.13,00:03:44.13,>> I was going to try that soup. What would you think of that?
54,00:03:46.63,00:03:46.63,">> Sure. At this point in the game, I'm"
55,00:03:48.60,00:03:48.60,worried about the fact that there's a snake amongst us and I
56,00:03:51.27,00:03:51.27,don't know who it is. That person could act like
57,00:03:54.07,00:03:54.07,"cancer and start rotting, rotting our plans from the"
58,00:03:57.27,00:03:57.27,inside out. And that's why we need to smoke
59,00:03:59.93,00:03:59.93,them out. >> Lex was just distraught.
60,00:04:05.00,00:04:05.00,"I mean it was just terrible. He said, ""All I could think"
61,00:04:07.70,00:04:07.70,"about was who was the one that voted"" for him, and, I mean, I"
62,00:04:10.30,00:04:10.30,didn't think it would be that much of an impact.
63,00:04:12.37,00:04:12.37,"I thought, shoot, ten votes: he got two, didn't get eight."
64,00:04:15.23,00:04:15.23,"Well, what's the big deal? He's here."
65,00:04:17.03,00:04:17.03,But it wasn't like that a bit. >> I'm just not even going to...
66,00:04:20.60,00:04:20.60,I'm not even going to think about it anymore.
67,00:04:23.43,00:04:23.43,It was because somebody around here is claiming to be something
68,00:04:27.40,00:04:27.40,that they're not. >> Right.
69,00:04:29.00,00:04:29.00,">> Of course they figure that Clarence had voted him, but they"
70,00:04:32.27,00:04:32.27,had to figure out who the other person was.
71,00:04:35.20,00:04:35.20,It was me. I mean I did it.
72,00:04:39.13,00:04:39.13,"I'm sick that I did it now, but like I said, I didn't think it"
73,00:04:42.80,00:04:42.80,"would be such an ordeal. >> You know, I want, I want you"
74,00:04:45.23,00:04:45.23,"to know that I have, I have no suspicion at all as far as"
75,00:04:48.00,00:04:48.00,you're concerned and I'm just going to let this thing go now
76,00:04:50.90,00:04:50.90,"that whoever it is, is probably going to hang themselves, and"
77,00:04:53.87,00:04:53.87,"that's the way it is, you know. And I wish I knew definitively"
78,00:04:58.70,00:04:58.70,"for sure, because then I would just take care of it, who to"
79,00:05:02.63,00:05:02.63,"give it next. >> Yeah, right."
80,00:05:04.50,00:05:04.50,Mama didn't raise no fool. I'm going to keep quiet for a
81,00:05:08.13,00:05:08.13,"while longer, just because, well, I'm not really ready"
82,00:05:11.50,00:05:11.50,"to go. >> From the moment I met you,"
83,00:05:13.87,00:05:13.87,"I knew that I could trust you, and I trust my gut over my, over"
84,00:05:17.73,00:05:17.73,"my eyes any day and my gut told me that you're, you're the real"
85,00:05:21.63,00:05:21.63,"deal, so... >> Thanks, Lex."
86,00:05:23.60,00:05:23.60,>> Thank you. So...
87,00:05:26.50,00:05:26.50,">> All along I played with being straight up with everybody, and"
88,00:05:29.93,00:05:29.93,"now I'm not straight up with them for obvious reasons, and I"
89,00:05:32.93,00:05:32.93,don't know where to go with it now.
90,00:05:34.67,00:05:34.67,"It bothers me. It bothers me a lot, actually."
91,00:05:37.40,00:05:37.40,"I hate this game. >> Oh, one of these little,"
92,00:05:45.63,00:05:45.63,weird music-makers. \xe2\x99\xaa\xe2\x99\xaa
93,00:05:48.97,00:05:48.97,Okay. >> What is it?
94,00:05:52.87,00:05:52.87,>> This is like an African music-making device.
95,00:05:55.50,00:05:55.50,>> All right. >> Cool.
96,00:05:57.03,00:05:57.03,"You play with your thumbs, and it says, ""Coordination and"
97,00:06:00.53,00:06:00.53,persistence it'll take to win this one.
98,00:06:03.47,00:06:03.47,"You may run out of breath, but I guarantee you'll have some fun."
99,00:06:06.43,00:06:06.43,"You best use all your leverage, focus you don't want to miss,"
100,00:06:09.27,00:06:09.27,"because you haven't seen a reward quite as cool as this."""
101,00:06:11.93,00:06:11.93,Persistence and leverage. >> Focus.
102,00:06:13.90,00:06:13.90,">> But see, leverage is kind of like, you know, like you have to"
103,00:06:17.43,00:06:17.43,push these... I don't know. >> Lex is getting good at that
104,00:06:20.23,00:06:20.23,thing. >> This is fun.
105,00:06:21.73,00:06:21.73,I like having this around. You guys are going to get really
106,00:06:25.00,00:06:25.00,"sick of this. >> PROBST: All right, guys,"
107,00:06:44.93,00:06:44.93,today's reward challenge is going to require a bit of
108,00:06:47.43,00:06:47.43,"coordination, a whole lot of persistence."
109,00:06:49.37,00:06:49.37,You will each have nine items. Your goal: Get the nine items
110,00:06:52.83,00:06:52.83,"into the basket on top of your tower, using your plank as a"
111,00:06:56.67,00:06:56.67,springboard. So you'll take one item at a
