,begin,end,subtitles_text
1,00:00:00.10,00:00:00.10,
2,00:00:01.50,00:00:01.50,Captioning brought to you by
3,00:00:02.13,00:00:02.13,"Survivor Productions, CBS,"
4,00:00:10.00,00:00:10.00,"Jeff: 37 DAYS AGO, NINE MEN"
5,00:00:11.50,00:00:11.50,AND NINE WOMEN WERE GIVEN ONE
6,00:00:14.23,00:00:14.23,"WORLD, AND ALL 18 CASTAWAYS"
7,00:00:16.50,00:00:16.50,LIVED TOGETHER ON THE SAME BEACH
8,00:00:17.50,00:00:17.50,FOR THE FIRST TIME EVER.
9,00:00:18.80,00:00:18.80,YOU GUYS READY TO BEGIN AN
10,00:00:20.07,00:00:20.07,ADVENTURE THAT WILL CHANGE YOUR
11,00:00:21.83,00:00:21.83,LIVES?
12,00:00:22.40,00:00:22.40,THIS IS WHAT THEY DID.
13,00:00:26.77,00:00:26.77,THE MEN CAME INTO THE WORLD WITH
14,00:00:29.07,00:00:29.07,"BLUSTER AND ARROGANCE, EACH OF"
15,00:00:30.60,00:00:30.60,THEM OBSESSED WITH BECOMING THE
16,00:00:32.13,00:00:32.13,ALPHA MALE.
17,00:00:32.73,00:00:32.73,"ALL OF US WERE ROSTERS,"
18,00:00:34.60,00:00:34.60,"RIGHT, AND WE DON'T WANT ANY"
19,00:00:36.53,00:00:36.53,OTHER ROOSTS ARE AROUND.
20,00:00:37.70,00:00:37.70,THESE GUYS ARE SO COCKY AND
21,00:00:40.10,00:00:40.10,ARROGANT IT'S RIDICULOUS.
22,00:00:40.93,00:00:40.93,THEY'RE LIKE EHUD BARAKIANS.
23,00:00:42.63,00:00:42.63,Jeff: THE WOMEN DEFENDED
24,00:00:43.83,00:00:43.83,THEMSELVES AGAINST THE ONSLAUGHT
25,00:00:45.87,00:00:45.87,OF TESTOSTERONE BY WORKING
26,00:00:47.23,00:00:47.23,TOGETHER COOPERATION AND
27,00:00:48.03,00:00:48.03,UNDERSTANDING.
28,00:00:48.73,00:00:48.73,"IF WE ALL JUST STAY TOGETHER,"
29,00:00:50.10,00:00:50.10,"THEN WE'LL JUST BE ONE, HUGE"
30,00:00:52.23,00:00:52.23,BALL OF BAD-ASSNESS.
31,00:00:55.53,00:00:55.53,"Jeff: A GREAT PLAN, BUT"
32,00:00:57.53,00:00:57.53,"INITIALLY, UNSUCCESSFUL."
33,00:01:00.63,00:01:00.63,THE WOMEN LOST EVERY CHALLENGE
34,00:01:02.23,00:01:02.23,IN THE FIRST SIX DAYS.
35,00:01:04.83,00:01:04.83,MEN WIN IMMUNITY!
36,00:01:07.20,00:01:07.20,THEY ALSO SUFFERED AT CAMP.
37,00:01:11.70,00:01:11.70,"I'M SORRY, I'M A REPUBLICAN."
38,00:01:13.50,00:01:13.50,I DO NOT BELIEVE IN HANDOUTS.
39,00:01:15.97,00:01:15.97,Jeff: BUT THEY STUCK
40,00:01:17.03,00:01:17.03,TOGETHER AND CHIPPED AWAY AT THE
41,00:01:19.00,00:01:19.00,"MEN'S DOMINANCE, ROARING BACK"
42,00:01:20.70,00:01:20.70,WITH THREE CHALLENGE VICTORIES
43,00:01:21.63,00:01:21.63,IN A ROW.
44,00:01:22.73,00:01:22.73,THE WOMEN WIN IMMUNITY!
45,00:01:26.03,00:01:26.03,THINGS ARE STARTING TO FEEL
46,00:01:30.03,00:01:30.03,DIFFERENT.
47,00:01:31.23,00:01:31.23,Jeff: FACING THEIR FIRST
48,00:01:32.40,00:01:32.40,"SERIOUS THREAT, THE MEN REACTED REACTED"
49,00:01:34.33,00:01:34.33,"WITH IN-FIGHT, LEADING TO TOTAL"
50,00:01:37.07,00:01:37.07,PAND KNOWNIUM.
51,00:01:37.60,00:01:37.60,"NO, NO."
52,00:01:39.60,00:01:39.60,YOU'RE GHETTO TRASH.
53,00:01:40.90,00:01:40.90,THAT'S ALL YOU ARE.
54,00:01:41.93,00:01:41.93,I CAN'T STAND HIM.
55,00:01:42.90,00:01:42.90,"Jeff: EVEN AFTER A VICTORY,"
56,00:01:45.23,00:01:45.23,MEN COULDN'T STOP THEIR DOWNWARD
57,00:01:47.93,00:01:47.93,SPIRAL.
58,00:01:48.63,00:01:48.63,COLTON CONVINCED THEM TO GIVE UP
59,00:01:50.07,00:01:50.07,THEIR IMMUNITY AND HEAD TO
60,00:01:51.33,00:01:51.33,TRIBAL COUNCIL JUST SO HE COULD
61,00:01:52.87,00:01:52.87,SETTLE A PERSONAL VENDETTA.
62,00:01:54.93,00:01:54.93,WE CAN GIVE THE GIRLS
63,00:01:57.50,00:01:57.50,IMMUNITY AND GO TO TRIBAL
64,00:01:58.17,00:01:58.17,COUNCIL AND VOTE OUT BILL.
65,00:01:59.30,00:01:59.30,I'LL HAVE YOU GUYS KNOW I'M
66,00:02:02.93,00:02:02.93,COMPLETELY BAFFLED RIGHT NOW.
67,00:02:04.37,00:02:04.37,Jeff: 40% VOTED OUR THE
68,00:02:09.03,00:02:09.03,"""SURVIVOR: ONE WORLD,"" BILL."
69,00:02:10.93,00:02:10.93,YOU CAN DROP YOUR BUFFS BECAUSE
70,00:02:12.17,00:02:12.17,WE ARE SWITCHING TRIBES.
71,00:02:13.20,00:02:13.20,"OH, MY GOD."
72,00:02:14.83,00:02:14.83,"Jeff: AFTER A TRIBE SWITCH,"
73,00:02:17.53,00:02:17.53,COLTON'S REIN OF TERROR
74,00:02:20.17,00:02:20.17,CONTINUED.
75,00:02:20.73,00:02:20.73,ALL HAIL TO THE QUEEN.
76,00:02:21.77,00:02:21.77,Jeff: AND HE ROUTINELY
77,00:02:23.80,00:02:23.80,BERATED HIS SUBJECT.
78,00:02:24.80,00:02:24.80,YOU CAN QUIT OR YOU CAN JUMP
79,00:02:26.07,00:02:26.07,IN THAT FIRE.
80,00:02:27.60,00:02:27.60,WHICHEVER IS MORE CONVENIENT FOR
81,00:02:29.20,00:02:29.20,YOU.
82,00:02:29.90,00:02:29.90,I'M RUNNING THIS ERR TINE SHOW
83,00:02:31.07,00:02:31.07,RIGHT NOW.
84,00:02:31.77,00:02:31.77,"IF YOU CAN'T SEE THAT, YOU ARE"
85,00:02:35.63,00:02:35.63,HELEN KELLER.
86,00:02:36.23,00:02:36.23,Jeff: COLTON WE HAVE TOUL
87,00:02:37.87,00:02:37.87,YOU FROM THE GAME.
88,00:02:38.80,00:02:38.80,"PLEASE, DON'T."
89,00:02:41.87,00:02:41.87,Jeff: FATE INTERVENED AND
90,00:02:43.63,00:02:43.63,COLTON WAS MEDICALLY EVACUATED
91,00:02:45.07,00:02:45.07,FROM THE GAME.
92,00:02:45.90,00:02:45.90,AT TRIBAL COUNCIL-- YOU CAN DROP
93,00:02:47.63,00:02:47.63,YOUR BUFFS.
94,00:02:48.40,00:02:48.40,WE ARE MERGED.
95,00:02:49.67,00:02:49.67,A MERGE SENT EVERYTHING BACK TO
96,00:02:50.87,00:02:50.87,SQUARE ONE AS THE MEN AND WOMEN
97,00:02:52.10,00:02:52.10,WERE AT EQUAL NUMBERS.
98,00:02:54.57,00:02:54.57,BUT--
99,00:02:55.27,00:02:55.27,WHEN DID IT CHANGE AND WHY AM
100,00:02:56.27,00:02:56.27,I THE LAST GUY TO KNOW?
101,00:02:57.73,00:02:57.73,Jeff: THE MEN.
102,00:02:58.57,00:02:58.57,ED TO BATTLE EACH OTHER FOR THE
103,00:03:00.17,00:03:00.17,MANTLE OF LEADERSHIP.
104,00:03:00.77,00:03:00.77,I'M OUT OF IT.
105,00:03:02.30,00:03:02.30,Jeff: AND THEY FAILED TO
106,00:03:03.50,00:03:03.50,SEE THAT THEIR REAL ADVERSARY
107,00:03:05.17,00:03:05.17,WAS THE WOMEN'S UNBREAKABLE
108,00:03:06.80,00:03:06.80,BOND.
109,00:03:07.50,00:03:07.50,THIS IS NEVER GOING TO BE THE
110,00:03:09.07,00:03:09.07,SAME.
111,00:03:09.77,00:03:09.77,IT'S TIME FOR THE GUYS TO KNOW
112,00:03:10.60,00:03:10.60,WHERE THE WOMEN STAND.
113,00:03:11.53,00:03:11.53,Jeff: THE WOMAN IS
114,00:03:13.50,00:03:13.50,THEICALLY ELIMINATED EVERY
115,00:03:14.90,00:03:14.90,"SINGLE MAN, COMPLETING ONE OF"
116,00:03:16.60,00:03:16.60,THE MOST SUCCESSFUL CALIFORNIA
117,00:03:18.30,00:03:18.30,"BACKS IN ""SURVIVOR"" HISTORY."
118,00:03:20.37,00:03:20.37,THE TRIBE HAS SPOKEN.
119,00:03:21.87,00:03:21.87,"AND NOW, FOR THE FIRST TIME"
120,00:03:23.73,00:03:23.73,"EVER, THERE IS AN ALL-FEMALE"
121,00:03:26.03,00:03:26.03,FINAL FIVE.
122,00:03:27.23,00:03:27.23,YOU'VE DONE IT.
123,00:03:28.67,00:03:28.67,ALL THE MEN ARE GONE.
124,00:03:31.23,00:03:31.23,CHRISTINA AND ALICIA ARE
125,00:03:33.13,00:03:33.13,ALIGNED.
126,00:03:33.83,00:03:33.83,"SABRINA AND CHELSEA ARE ALIGNED,"
127,00:03:35.10,00:03:35.10,AND EVERYONE THINKS KIM IS ON
128,00:03:36.53,00:03:36.53,THEIR SIDE.
129,00:03:37.23,00:03:37.23,MAY THE BEST WOMAN WIN.
130,00:03:38.77,00:03:38.77,EACH ONE OF THEM HAS AN EQUALLY
131,00:03:40.97,00:03:40.97,POWERFUL STORY.
