,begin,end,subtitles_text
1,00:00:00.12,00:00:00.12,
2,00:00:01.46,00:00:01.46,>> Jeff: PREVIOUSLY ON  SURVIVOR...
3,00:00:02.58,00:00:02.58,WELCOME TO SURVIVOR: NICARAGUA.
4,00:00:04.58,00:00:04.58,"SINCE THE BEGINNING OF THE GAME,"
5,00:00:06.62,00:00:06.62,CHASE HAS BEEN A PORTRAIT OF INDECISION.
6,00:00:09.04,00:00:09.04,"ON DAY ONE, HE WAS SHANNON'S CLOSEST ALLY."
7,00:00:11.25,00:00:11.25,"WITHOUT ME OR YOU, I THINK THEY'RE SCREWED."
8,00:00:13.29,00:00:13.29,>> Jeff: BUT LATER VOTED HIM OUT.
9,00:00:14.54,00:00:14.54,">> I'M SORRY, DUDE. I OWE A LOT TO YOU."
10,00:00:16.25,00:00:16.25,">> Jeff: SHANNON, THE TRIBE HAS SPOKEN."
11,00:00:17.62,00:00:17.62,HE HAD A PUPPY DOG CRUSH ON BRENDA.
12,00:00:20.25,00:00:20.25,>> THERE'S NO REASON FOR ME TO BACKSTAB YOU.
13,00:00:22.38,00:00:22.38,>> Jeff: AND EVENTUALLY VOTED HER OUT.
14,00:00:24.25,00:00:24.25,>> YOU KNOW THIS ISN'T WHAT I WANTED AT ALL.
15,00:00:25.88,00:00:25.88,>> WHAT THE... IS WRONG WITH CHASE?
16,00:00:27.17,00:00:27.17,">> Jeff: DESPITE CHASE'S INDECISIVENESS,"
17,00:00:29.25,00:00:29.25,NAONKA LIKED HIM ENOUGH
18,00:00:31.00,00:00:31.00,TO GIVE HIM HER HIDDEN IMMUNITY IDOL...
19,00:00:32.29,00:00:32.29,>> YOU MY BOY. I WOULDN'T GIVE IT TO NOBODY ELSE.
20,00:00:34.25,00:00:34.25,>> Jeff: ...RIGHT BEFORE SHE QUIT.
21,00:00:35.25,00:00:35.25,YOU WANT TO GO?
22,00:00:36.25,00:00:36.25,>> YES.
23,00:00:37.25,00:00:37.25,>> Jeff: GO.
24,00:00:38.25,00:00:38.25,WHICH BRINGS US TO DAY 30.
25,00:00:40.75,00:00:40.75,CHASE WAS IN AN ALLIANCE
26,00:00:42.29,00:00:42.29,"WITH HOLLY, JANE, AND SASH,"
27,00:00:44.12,00:00:44.12,WHO HAD THE OTHER HIDDEN IMMUNITY IDOL.
28,00:00:45.96,00:00:45.96,>> I GOT THE REASSURANCE FROM CHASE
29,00:00:47.71,00:00:47.71,THAT WE'RE DEFINITELY TOGETHER
30,00:00:50.08,00:00:50.08,ALL THE WAY TO THE END.
31,00:00:51.12,00:00:51.12,">> SHAKE ON IT, LOOK ME IN THE EYE."
32,00:00:53.00,00:00:53.00,>> Jeff: BUT BENRY ALSO THOUGHT HE WAS IN WITH CHASE.
33,00:00:55.54,00:00:55.54,>> WE'RE TALKING FABIO.
34,00:00:56.67,00:00:56.67,>> Jeff: SO CHASE CONSPIRED WITH BENRY
35,00:00:58.38,00:00:58.38,AND THE REST OF HIS CREW TO VOTE OUT FABIO.
36,00:01:00.58,00:01:00.58,"BUT AT TRIBAL COUNCIL,"
37,00:01:02.88,00:01:02.88,CHASE DECIDED THAT BENRY
38,00:01:05.71,00:01:05.71,WAS A BIGGER THREAT.
39,00:01:06.96,00:01:06.96,">> NOTHING PERSONAL AT ALL, MAN."
40,00:01:08.08,00:01:08.08,I LOVE YOU TO DEATH.
41,00:01:09.67,00:01:09.67,>> Jeff: BENRY WAS VOTED OUT.
42,00:01:10.79,00:01:10.79,"BENRY, THE TRIBE HAS SPOKEN."
43,00:01:13.50,00:01:13.50,SIX ARE LEFT.
44,00:01:15.96,00:01:15.96,WHO WILL BE VOTED OUT TONIGHT?
45,00:01:51.08,00:01:51.08,>> FABIO IS JUST HAPPY TO BE ALIVE.
46,00:01:53.00,00:01:53.00,HE SAW HIS NAME WAS PUT DOWN TWICE.
47,00:01:54.79,00:01:54.79,HE REALLY THOUGHT HE WAS GOING HOME.
48,00:01:57.00,00:01:57.00,"HE KNOWS THAT I'M IN CONTROL OF THIS GAME RIGHT NOW,"
49,00:02:00.04,00:02:00.04,"AND AS LONG AS FABIO DOESN'T WIN A CHALLENGE,"
50,00:02:04.08,00:02:04.08,HE WILL DEFINITELY BE THE NEXT TO GO.
51,00:02:08.33,00:02:08.33,>> THEY SAID I WAS TRYING TO GET HOLLY OFF?
52,00:02:18.33,00:02:18.33,"YOU KNOW, THE NEXT COUPLE OF DAYS"
53,00:02:21.29,00:02:21.29,ARE GOING TO BE REALLY TRICKY.
54,00:02:22.71,00:02:22.71,I THINK THEY BELIEVE I'M MORE GULLIBLE
55,00:02:24.83,00:02:24.83,"AND NAIVE THAN I AM, YOU KNOW."
56,00:02:26.33,00:02:26.33,"BUT IT'S TO THE POINT WHERE I'M ON, LIKE, HIGH ALERT RIGHT NOW."
57,00:02:28.96,00:02:28.96,IT WOULD BE PRETTY FUNNY TO WATCH THEM
58,00:02:31.54,00:02:31.54,"UNDERESTIMATE ME AND THEY'RE KIND OF LIKE,"
59,00:02:34.25,00:02:34.25,"""WHAT? I DIDN'T KNOW FABIO WAS THAT SMART."""
60,00:03:28.83,00:03:28.83,>> WE'VE GOT A CELL PHONE!
61,00:03:30.75,00:03:30.75,>> OH!
62,00:03:32.21,00:03:32.21,>> IT'S TREE MAIL.
63,00:03:33.83,00:03:33.83,">> OKAY, READ IT."
64,00:03:35.29,00:03:35.29,">> ""TO FILL YOUR BELLY AND QUENCH YOUR THIRST,"
65,00:03:37.50,00:03:37.50,TODAY YOU'LL HAVE TO BE THE FIRST.
66,00:03:40.38,00:03:40.38,THIS REWARD TODAY IS A MAJOR SCORE.
67,00:03:43.25,00:03:43.25,IT WILL TAKE YOU PLACES YOU'VE NEVER SEEN BEFORE.
68,00:03:45.62,00:03:45.62,"GO TO VIDEOS, A SURPRISE AWAITS."""
69,00:03:48.25,00:03:48.25,>> WOW.
70,00:03:49.17,00:03:49.17,">> OH, WOW."
71,00:03:50.17,00:03:50.17,>> WHAT?
72,00:03:51.21,00:03:51.21,">> OKAY, SO HOW DO YOU GO TO VIDEO?"
73,00:03:52.54,00:03:52.54,>> LET'S GO TO VIDEOS.
74,00:03:53.67,00:03:53.67,">> OH, MY GOD!"
75,00:03:55.46,00:03:55.46,>> I GOTTA GET MY GLASSES.
76,00:03:56.75,00:03:56.75,>> IT'S MY MOM AND MY BROTHER.
77,00:03:59.12,00:03:59.12,">> HONEY, I CAN'T WAIT TO SEE YOU."
78,00:04:01.50,00:04:01.50,I TOLD YOU BEFORE YOU WENT
79,00:04:03.92,00:04:03.92,THAT I'VE NEVER GONE THIS LONG
80,00:04:06.08,00:04:06.08,"WITHOUT TALKING TO YOU,"
81,00:04:07.50,00:04:07.50,"AND I WANT TO HEAR YOUR VOICE,"
82,00:04:09.17,00:04:09.17,AND ALL THE EXCITEMENT OF THE ADVENTURE
83,00:04:11.96,00:04:11.96,THAT YOU'VE BEEN DOING.
84,00:04:13.25,00:04:13.25,">> WE'RE PLAYING A GAME FOR A MILLION DOLLARS,"
85,00:04:14.79,00:04:14.79,AND SOMETHING AS SIMPLE AS A SPRINT CELL PHONE
86,00:04:17.62,00:04:17.62,CAN BRING YOU TO TEARS.
87,00:04:19.46,00:04:19.46,>> YOUR MOM IS BEAUTIFUL.
88,00:04:20.62,00:04:20.62,">> OH, MY GOD. THAT'S AWESOME."
89,00:04:22.38,00:04:22.38,>> THAT'S MY MOM NEXT.
90,00:04:23.38,00:04:23.38,>> THAT'S YOUR MOM?
91,00:04:24.54,00:04:24.54,">> YEAH, THAT'S MY MOM."
92,00:04:25.83,00:04:25.83,">> HI, SASH."
93,00:04:26.83,00:04:26.83,HOW ARE YOU?
94,00:04:27.92,00:04:27.92,I'M SO HAPPY I HAVE THIS CHANCE
95,00:04:29.79,00:04:29.79,TO BE ABLE TO TELL YOU HOW MUCH I MISS YOU.
96,00:04:31.46,00:04:31.46,YOU JUST HAVE CONTINUALLY BEEN IN MY THOUGHTS AND IN MY HEART.
97,00:04:35.25,00:04:35.25,>> IT WAS VERY INTERESTING TO SEE HOW EVERYONE REACTED
