,begin,end,subtitles_text
0,00:00:00.10,00:00:00.10,
1,00:00:01.20,00:00:01.20,Jeff: PREVIOUSLY ON
2,00:00:01.90,00:00:01.90,"""SURVIVOR"": ON DAY 19, THE TWO"
3,00:00:03.20,00:00:03.20,TRIBES MERGED.
4,00:00:05.83,00:00:05.83,DROP YOUR BUFFS.
5,00:00:06.50,00:00:06.50,YES!
6,00:00:07.73,00:00:07.73,Jeff: AND OZZY RETURNED
7,00:00:09.33,00:00:09.33,FROM REDEMPTION ISLAND AND WAS
8,00:00:10.10,00:00:10.10,BACK IN THE GAME.
9,00:00:10.60,00:00:10.60,I'M ALIVE.
10,00:00:11.97,00:00:11.97,BUT AT THIS POINT IT'S A
11,00:00:14.50,00:00:14.50,DEAD-LOCKED 6-6 VOTE.
12,00:00:15.77,00:00:15.77,Jeff: TO GET INFORMATION TO
13,00:00:16.77,00:00:16.77,"BREAK THE TIE, COCHRAN PROMISED"
14,00:00:18.93,00:00:18.93,TO SPY ON THE OLD UPOLU.
15,00:00:20.23,00:00:20.23,NOW IT'S TIME FOR ME TO WORK
16,00:00:22.63,00:00:22.63,"MY MAGIC, BECOME THE DOUBLE"
17,00:00:26.30,00:00:26.30,"AGENT, INFILTRATE UPOLU."
18,00:00:28.83,00:00:28.83,Jeff: BUT COACH SEDUCED HIM
19,00:00:30.63,00:00:30.63,INTO JUMPING SHIP.
20,00:00:31.93,00:00:31.93,WHERE AM I SLEEPING TONIGHT?
21,00:00:33.57,00:00:33.57,RIGHT BETWEEN ME AND EDNA.
22,00:00:35.97,00:00:35.97,Jeff: AT THE IMMUNITY
23,00:00:37.20,00:00:37.20,CHALLENGE THERE WERE TWO
24,00:00:38.20,00:00:38.20,WINNERS.
25,00:00:38.93,00:00:38.93,DAWN AND OZZY SAFE AT TONIGHT'S
26,00:00:40.70,00:00:40.70,TRIBAL COUNCIL.
27,00:00:41.70,00:00:41.70,AT TRIBAL COUNCIL--
28,00:00:42.20,00:00:42.20,IT'S FOR WHITNEY.
29,00:00:43.73,00:00:43.73,Jeff: OZZY GAVE HIS
30,00:00:45.27,00:00:45.27,IMMUNITY IDOL TO WHITNEY.
31,00:00:47.33,00:00:47.33,FIRST VOTE.
32,00:00:48.07,00:00:48.07,BUT WHITNEY DIDN'T RECEIVE ANY
33,00:00:50.33,00:00:50.33,VOTES.
34,00:00:50.97,00:00:50.97,WE ARE TIED.
35,00:00:52.20,00:00:52.20,WE WILL REVOTE.
36,00:00:53.73,00:00:53.73,ON THE REVOTE COCHRAN BLINDED
37,00:00:57.93,00:00:57.93,SIDES HIS OLD ALLIANCE.
38,00:01:00.10,00:01:00.10,SENDING KEITH TO REDEMPTION
39,00:01:01.83,00:01:01.83,ISLAND.
40,00:01:02.50,00:01:02.50,"KEITH, THE TRIBE HAS SPOKEN."
41,00:01:03.23,00:01:03.23,NOW THE FORMER UPOLU TRIBE PLUS
42,00:01:05.27,00:01:05.27,COCHRAN HAS TAKEN OVER THE GAME.
43,00:01:06.57,00:01:06.57,"THAT WAS, WITHOUT QUESTION, THE"
44,00:01:08.40,00:01:08.40,BIGGEST MOVE IN THE GAME THUS
45,00:01:09.97,00:01:09.97,FAR AND THIS GAME IS FAR FROM
46,00:01:12.20,00:01:12.20,OVER.
47,00:01:22.23,00:01:22.23,OVER.
48,00:01:38.33,00:01:38.33,"WHAT'S UP, MAN?"
49,00:01:41.20,00:01:41.20,"IT HAD NOTHING TO DO WITH,"
50,00:01:42.83,00:01:42.83,"LIKE, GETTING BACK AT YOU OR"
51,00:01:44.13,00:01:44.13,HURTING ANYBODY.
52,00:01:44.83,00:01:44.83,"IT WAS-- I DIDN'T-- YOU KNOW,"
53,00:01:48.03,00:01:48.03,I'VE BEEN OBSESSED WITH THIS FOR
54,00:01:49.90,00:01:49.90,11 YEARS.
55,00:01:51.00,00:01:51.00,TO HAVE MY FATE DECIDED BY
56,00:01:53.00,00:01:53.00,PICKING A STONE OUT OF A BAG.
57,00:01:54.57,00:01:54.57,"COCHRAN, YOU TOTALLY SCREWED"
58,00:01:56.43,00:01:56.43,ME OVER.
59,00:01:57.17,00:01:57.17,"AND, ALSO,-- I'M JUST TRYING TO"
60,00:02:00.33,00:02:00.33,TALK TO HIM ALONE.
61,00:02:02.20,00:02:02.20,I'D RATHER--
62,00:02:03.63,00:02:03.63,THAT'S ALL RIGHT.
63,00:02:04.47,00:02:04.47,I'LL TELL HIM.
64,00:02:05.57,00:02:05.57,I JUST WANT TO MAKE SURE
65,00:02:08.47,00:02:08.47,NOBODY'S BEING AGGRESSIVE WITH
66,00:02:10.20,00:02:10.20,HIM OR ANYTHING LIKE THAT.
67,00:02:11.07,00:02:11.07,COME ON.
68,00:02:11.80,00:02:11.80,I'M NOT GOING TO BE AGGRESSIVE.
69,00:02:12.63,00:02:12.63,I KNOW--
70,00:02:13.57,00:02:13.57,OZZY-- OZZY-- OZZY--
71,00:02:15.77,00:02:15.77,IT'S JUST ME AND HIM.
