,begin,end,subtitles_text
1,00:00:00.10,00:00:00.10,
2,00:00:01.33,00:00:01.33,Jeff: PREVIOUSLY ON
3,00:00:01.67,00:00:01.67,SURVIVOR.
4,00:00:02.27,00:00:02.27,ON DAY 17 UPOLU AND THE
5,00:00:06.27,00:00:06.27,SAVAII TRIBE WERE DEAD EVEN.
6,00:00:07.87,00:00:07.87,SIX EACH.
7,00:00:08.53,00:00:08.53,UPOLU WINS.
8,00:00:10.00,00:00:10.00,SAVAII LOSES THE CHALLENGE
9,00:00:13.40,00:00:13.40,AND BLAMES COCHRAN.
10,00:00:14.57,00:00:14.57,WITH THE MERGE LOONLING OZZY
11,00:00:17.00,00:00:17.00,PROPOSES A RISKY PLAN.
12,00:00:17.57,00:00:17.57,I WOULD BE WILLING TO
13,00:00:18.90,00:00:18.90,"SACRIFICE MYSELF, GO TO"
14,00:00:20.67,00:00:20.67,REDEMPTION.
15,00:00:21.37,00:00:21.37,BEAT KRISTINE AND GET BACK IN
16,00:00:22.37,00:00:22.37,THE GAME AND GIVE OUR TRIBE AN
17,00:00:23.90,00:00:23.90,EDGE.
18,00:00:24.50,00:00:24.50,THE TRIBAL COUNCIL.
19,00:00:25.60,00:00:25.60,I HAD A DREAM AND I SAW MY
20,00:00:28.37,00:00:28.37,CHANCE AT MY OWN REDEMPTION.
21,00:00:29.40,00:00:29.40,OZZY ALSO WANTED COCHRAN TO
22,00:00:32.30,00:00:32.30,BE A DOUBLE AGENT.
23,00:00:33.27,00:00:33.27,"I WILL MAKE UP A STORY,"
24,00:00:35.40,00:00:35.40,"COCHRAN IS THE SMART WEASEL, HE"
25,00:00:38.80,00:00:38.80,VOTE HIM OUT AND WHIPS OUT THE
26,00:00:42.03,00:00:42.03,"IDOL, GOOD-BYE, OZZY."
27,00:00:42.87,00:00:42.87,AND GAVE OZZY HIS IMMUNITY
28,00:00:46.90,00:00:46.90,IDOL.
29,00:00:47.60,00:00:47.60,"IN THE END, SAVAII WENT ALONG"
30,00:00:49.67,00:00:49.67,WITH THE PLAN.
31,00:00:50.33,00:00:50.33,"OZZY, THE TRIBE HAS SPOKEN."
32,00:00:51.97,00:00:51.97,"NOW THE QUESTIONS ARE, CAN"
33,00:00:53.93,00:00:53.93,OZZY WIN AT REDEMPTION ISLAND?
34,00:00:55.70,00:00:55.70,I AM OUT OF HERE?
35,00:00:57.40,00:00:57.40,WILL THERE BE A MERGE AND
36,00:00:59.67,00:00:59.67,CAN COCHRAN BE A MASTER SPY?
37,00:01:13.27,00:01:13.27,THE WEIRDEST MERGE IN SURVIVOR HISTORY.
38,00:01:13.90,00:01:13.90,WHAT WHAT A DIFFERENCE THE
39,00:01:16.27,00:01:16.27,DAY MAKES.
40,00:01:16.97,00:01:16.97,A DAY AGO I THOUGHT I WAS
41,00:01:19.27,00:01:19.27,"GOING TO REDEMPTION ISLAND,"
42,00:01:20.53,00:01:20.53,WHERE I WOULD HUMILIATE MYSELF
43,00:01:22.63,00:01:22.63,AND GO HOME.
44,00:01:23.27,00:01:23.27,OZZY CAME FROM THE HEAVENS
45,00:01:25.43,00:01:25.43,AND GAVE THIS MIRACULOUS PLAN
46,00:01:27.33,00:01:27.33,WHERE HE WOULD SACRIFICE HIMSELF
47,00:01:29.77,00:01:29.77,"ON THE BASIS OF THE TRIBE, BASED"
48,00:01:31.63,00:01:31.63,ON THE MERGE THAT WILL TAKE
49,00:01:32.90,00:01:32.90,PLACE AND THE GAMBLE YOUR YOU
50,00:01:36.13,00:01:36.13,PROVE YOURSELF IN AN EXTREMELY
51,00:01:37.40,00:01:37.40,STRONG PLAYER AT REDEMPTION
52,00:01:38.77,00:01:38.77,ISLAND.
53,00:01:39.47,00:01:39.47,IF EVERYTHING CONNECTS IN THE
54,00:01:40.27,00:01:40.27,WAY WE HOPE IT WILL THIS IS
55,00:01:41.47,00:01:41.47,GOING TO GO DOWN IN HISTORY AS
56,00:01:42.73,00:01:42.73,ONE OF THE SINGLE BIGGEST AND
57,00:01:44.10,00:01:44.10,GREATEST MOVES IN SURVIVOR
58,00:01:45.63,00:01:45.63,HISTORY.
59,00:01:51.27,00:01:51.27,WHAT IS OUR BEST OPTION TO
60,00:01:52.67,00:01:52.67,STAY IN THE GAME?
61,00:01:56.93,00:01:56.93,I WAS WILLING TO GO.
62,00:01:59.80,00:01:59.80,YOU CAN EASILY SAY YOU ARE
63,00:02:01.57,00:02:01.57,"WILLING TO GO, BUT TO ACTUALLY"
64,00:02:02.77,00:02:02.77,"DO IT, STEP UP AND TAKE CONTROL,"
65,00:02:05.70,00:02:05.70,THAT IS DIFFERENT.
66,00:02:08.27,00:02:08.27,"THE WAY I LIVE MY LIFE, I"
67,00:02:11.43,00:02:11.43,DON'T LIVE IT FOR SOMEBODY ELSE.
68,00:02:12.70,00:02:12.70,JUST STEP UP AND PROVE TO THE
69,00:02:14.47,00:02:14.47,WORLD WHAT YOU CAN DO.
70,00:02:15.80,00:02:15.80,WHAT CAN I DO IN TERMS OF OUR
71,00:02:18.60,00:02:18.60,PLAN IS.
72,00:02:19.17,00:02:19.17,I PRESUME IF I GO TO THE
73,00:02:21.43,00:02:21.43,OTHER SIDE THEY WILL ASK WHAT
74,00:02:23.47,00:02:23.47,BOND EXISTS BETWEEN ALL OF YOU.
75,00:02:24.80,00:02:24.80,"YOU SAY WHAT YOU WANT, MAN."
76,00:02:26.77,00:02:26.77,YOU JUST HAVE TO --
77,00:02:27.70,00:02:27.70,I JUST DON'T UNDERSTAND WHAT
78,00:02:29.97,00:02:29.97,YOU DON'T WANT ME TO SAY.
79,00:02:31.00,00:02:31.00,ANOTHER BIG PART OF THE PLAN
80,00:02:32.53,00:02:32.53,IS THAT I BECOME THE SORT OF
81,00:02:34.73,00:02:34.73,DOUBLE AGENT WHO WILL BE ABLE TO
82,00:02:36.27,00:02:36.27,FIGURE OUT WHO THE UPOLU
83,00:02:41.27,00:02:41.27,TRIBE PLANS TO VOTE OUT
84,00:02:42.50,00:02:42.50,IN THE EVENT OF A MERGE.
85,00:02:43.80,00:02:43.80,EVERYBODY IN THIS GAME IS
86,00:02:45.43,00:02:45.43,"CAPABLE OF BEING A DOUBLE AGENT,"
87,00:02:47.53,00:02:47.53,"IF ANYBODY, IT IS ME."
88,00:02:48.40,00:02:48.40,I HAVE ALREADY BEEN
89,00:02:51.40,00:02:51.40,PRETENDING LIKE I LIKE THE
90,00:02:52.30,00:02:52.30,"PEOPLE IN MY TRIBE AN 18-DAY, I"
91,00:02:54.50,00:02:54.50,THINK I DESERVE AN ACADEMY AWARD
92,00:02:56.33,00:02:56.33,FOR THAT PERFORMANCE.
93,00:02:57.90,00:02:57.90,I WILL PLAY WHATEVER PART I
94,00:02:59.73,00:02:59.73,NEED TO PLAY.
95,00:03:02.10,00:03:02.10,I BET YOU NEVER THOUGHT THAT
96,00:03:04.47,00:03:04.47,WAS GOING TO HAPPEN.
97,00:03:05.17,00:03:05.17,NO.
98,00:03:06.97,00:03:06.97,THAT IS SWEET.
99,00:03:09.27,00:03:09.27,THAT'S A GOOD ONE.
100,00:03:10.07,00:03:10.07,"RIGHT NOW, MY PHILOSOPHY, TO"
101,00:03:14.40,00:03:14.40,TAKE FROM AL PACINO.
102,00:03:16.27,00:03:16.27,FIRST YOU GET THE EGO MANIA
103,00:03:18.90,00:03:18.90,PLAYER VOTED OUT AND THEN YOU
104,00:03:20.17,00:03:20.17,GET HIS IDOL AND THEN YOU GET
105,00:03:22.13,00:03:22.13,THE MILLION DOLLARS.
106,00:03:27.03,00:03:27.03,Captioning brought to you by
107,00:03:27.67,00:03:27.67,"Survivor Productions, CBS,"
108,00:03:46.50,00:03:46.50,"HELLO, HELLO."
109,00:03:48.80,00:03:48.80,DID I WAKE YOU UP?
110,00:03:50.43,00:03:50.43,WHO IS IT?
111,00:03:51.17,00:03:51.17,THIS IS OZZY.
112,00:03:53.40,00:03:53.40,HI.
113,00:03:55.27,00:03:55.27,NICE TO MEET YOU.
114,00:03:58.70,00:03:58.70,UNDER BETTER CIRCUMSTANCES.
115,00:04:00.67,00:04:00.67,WHAT HAPPENED?
116,00:04:01.87,00:04:01.87,"OH, MAN."
117,00:04:05.33,00:04:05.33,IDOL.
118,00:04:06.67,00:04:06.67,WHAT?
119,00:04:06.97,00:04:06.97,YEAH.
120,00:04:07.90,00:04:07.90,WHO HAD IT?
121,00:04:09.43,00:04:09.43,GUESS.
122,00:04:12.70,00:04:12.70,COCHRAN.
123,00:04:14.10,00:04:14.10,YES.
124,00:04:14.67,00:04:14.67,HOW DID YOU KNOW THAT?
125,00:04:15.53,00:04:15.53,"WELL, FROM LISTENING TO"
126,00:04:18.40,00:04:18.40,PEOPLE.
127,00:04:18.67,00:04:18.67,OH!
128,00:04:19.93,00:04:19.93,THE LITTLE WEASEL.
129,00:04:21.20,00:04:21.20,I CAME INTO REDEMPTION AND I
130,00:04:23.67,00:04:23.67,PUT ON MY ACTOR SUIT.
131,00:04:24.90,00:04:24.90,AND ALL VOTED COCHRAN AND HE
132,00:04:27.20,00:04:27.20,PULLED OUT THE IDOL.
133,00:04:27.87,00:04:27.87,AND HE DIDN'T TELL ANYBODY?
134,00:04:29.23,00:04:29.23,NO.
135,00:04:29.80,00:04:29.80,I THINK SHE BOUGHT IT.
136,00:04:30.93,00:04:30.93,I THINK THAT SHE TOOK IT
137,00:04:33.30,00:04:33.30,"HOOK, LINE AND SINKER."
138,00:04:36.20,00:04:36.20,"I GET TAKEN OUT, I DIDN'T"
139,00:04:39.10,00:04:39.10,PLAY THE IDOL THIS TIME AND --
140,00:04:42.20,00:04:42.20,LIKE WHAT IS IT WITH YOU
141,00:04:44.67,00:04:44.67,LAWYERS? ARE YOU KIDDING ME?
142,00:04:47.47,00:04:47.47,THIS IS PART OF THE PLAN.
143,00:04:49.87,00:04:49.87,FIRST STEP IS GETTING MYSELF
144,00:04:51.23,00:04:51.23,VOTED OUT.
145,00:04:51.97,00:04:51.97,"THE SECOND STEP, GETTING HER TO"
146,00:04:54.27,00:04:54.27,"BELIEVE THAT, THIRD STEP,"
147,00:04:56.70,00:04:56.70,BEATING HER AND GIVING THE OTHER
148,00:04:58.90,00:04:58.90,TRIBE FALSE INFORMATION.
149,00:04:59.67,00:04:59.67,THE MOVE IS PROBABLY EITHER
150,00:05:01.67,00:05:01.67,THE STUPIDEST THING I COULD HAVE
151,00:05:03.33,00:05:03.33,"DONE OR THE CRAZIEST, BALLSIEST"
152,00:05:05.73,00:05:05.73,THING I PROBABLY COULD EVER HAVE
153,00:05:07.17,00:05:07.17,THOUGHT OF DOING.
154,00:05:17.20,00:05:17.20,THOUGHT OF DOING.
155,00:05:28.27,00:05:28.27,Jeff: NOW BRING IN THE
156,00:05:29.53,00:05:29.53,COMPETITORS FOR TODAY'S DUAL.
157,00:05:32.23,00:05:32.23,"KRISTINE, THE BATTLE AGAINST"
158,00:05:33.53,00:05:33.53,OZZY.
159,00:05:34.27,00:05:34.27,VOTED OUT AT THE LAST TRIBAL
160,00:05:36.93,00:05:36.93,COUNCIL.
161,00:05:45.73,00:05:45.73,Jeff: WELCOME TO REDEMPTION
162,00:05:47.40,00:05:47.40,"ISLAND ARENA, BOTH TRIBES ARE"
163,00:05:48.97,00:05:48.97,HERE TO WITNESS TODAY'S DUAL.
164,00:05:52.17,00:05:52.17,"OZZY, ARE YOU SURPRISED TO FIND"
165,00:05:54.13,00:05:54.13,YOURSELF ON REDEMPTION ISLAND?
166,00:05:56.40,00:05:56.40,"I MEAN, I GAVE PRETTY MUCH"
167,00:05:58.87,00:05:58.87,"EVERYTHING TO MY TRIBE, AND THEN"
168,00:06:00.67,00:06:00.67,WE LOSE ONE CHALLENGE BECAUSE
169,00:06:02.43,00:06:02.43,"SOMEBODY CAN'T OPERATE A CLIP,"
170,00:06:04.07,00:06:04.07,AND THAT ENDS UP BEING THE
171,00:06:06.40,00:06:06.40,PERSON THAT SENDS ME HERE.
172,00:06:08.80,00:06:08.80,"PLAYS THE IDOL, YOU DON'T EVEN"
173,00:06:11.07,00:06:11.07,-- I KNOW SOMEONE ELSE PROBABLY
174,00:06:13.10,00:06:13.10,"KNEW THAT YOU HAD IT, AS FAR AS"
175,00:06:14.57,00:06:14.57,"I AM CONCERNED, TRIBE"
176,00:06:16.67,00:06:16.67,"BOUNDARIES, I MEAN, AT THE"
177,00:06:18.80,00:06:18.80,"MERGE, THEY DON'T EXIST ANYMORE,"
178,00:06:20.30,00:06:20.30,IT IS ALL ONE FOR ONE AND
179,00:06:22.03,00:06:22.03,WHOEVER STICKS TOGETHER FROM
180,00:06:23.57,00:06:23.57,THIS POINT ON MAKES IT THE
181,00:06:24.97,00:06:24.97,FURTHEST IN THE GAME.
182,00:06:26.50,00:06:26.50,BUT I THRIVE UNDER THE PRESSURE
183,00:06:28.03,00:06:28.03,TO COME BACK IN THE GAME FOR
184,00:06:30.23,00:06:30.23,"REVENGE, BASICALLY."
185,00:06:33.13,00:06:33.13,ALL RIGHT.
186,00:06:33.83,00:06:33.83,ARE YOU GUYS READY TO GET TO
187,00:06:35.77,00:06:35.77,TODAY'S DUAL?
188,00:06:36.20,00:06:36.20,YEAH.
189,00:06:36.90,00:06:36.90,FOR TODAY'S DUAL YOU WILL USE
190,00:06:39.07,00:06:39.07,STICKS AND ROPES TO MAKE A LONG
191,00:06:41.27,00:06:41.27,POLE.
192,00:06:41.83,00:06:41.83,YOU WILL USE THE POLE TO
193,00:06:43.97,00:06:43.97,RETRIEVE THREE KEYS.
194,00:06:45.40,00:06:45.40,THE THREE KEYS OPEN THREE LOCKS.
195,00:06:48.13,00:06:48.13,THE FIRST PERSON TO SET THROUGH
196,00:06:51.03,00:06:51.03,THEIR DOOR WINS THIS DUAL.
197,00:06:52.80,00:06:52.80,THE LOSER IS OUT OF THE GAUGE
198,00:06:55.43,00:06:55.43,FOR GOOD.
199,00:06:56.27,00:06:56.27,THERE IS ONE SIGNIFICANT
200,00:06:58.07,00:06:58.07,DIFFERENCE WITH TODAY'S DUAL.
201,00:06:59.70,00:06:59.70,THE WINNER OF THIS DUAL DOES NOT
202,00:07:01.47,00:07:01.47,GO BACK TO REDEMPTION ISLAND.
203,00:07:03.30,00:07:03.30,THEY COME BACK INTO THE GAME.
204,00:07:06.80,00:07:06.80,"HUGE SEX, ONE SHOT."
205,00:07:11.30,00:07:11.30,THIS IS IT.
