,begin,end,subtitles_text
0,00:00:00.00,00:00:00.00,
1,00:00:01.50,00:00:01.50,"PREVIOUSLY ON ""SURVIVOR."""
2,00:00:04.40,00:00:04.40,Jeff: IMMUNE TEAM FOR 19DAYSTWO SIDES UPOLU AND SAVAII
3,00:00:10.50,00:00:10.50,TRADED VICTORIES IN ONE OF THE
4,00:00:12.00,00:00:12.00,CLOSEST BATTLES EVER WHEN THEY
5,00:00:14.73,00:00:14.73,MERGED IT WAS STILL.
6,00:00:15.73,00:00:15.73,IT'S SIX ON SIX.
7,00:00:17.00,00:00:17.00,EVERYBODY IS LOOKING FOR AN IN.
8,00:00:20.13,00:00:20.13,Jeff: BUT AFTER THE FIRSTTRIBALCOUNCIL COCHRAN BETRAYED
9,00:00:25.23,00:00:25.23,HIS OWN TRIBE GIVING OLD UPOLUA
10,00:00:30.83,00:00:30.83,NUMBERS ADVANTAGE.
11,00:00:32.03,00:00:32.03,HE THREW THE WHOLE TRIBE
12,00:00:34.13,00:00:34.13,UNDER THE BUS.
13,00:00:35.83,00:00:35.83,YOU DISGUST ME.
14,00:00:38.03,00:00:38.03,"Jeff: JIM, FACINGTONIGHT'STRIBAL COUNCIL -- WHENOZZIE"
15,00:00:41.60,00:00:41.60,FAILED TO WIN IMMUNITY THEY
16,00:00:44.73,00:00:44.73,JUMPED TO VOTE HIM OUT.
17,00:00:46.50,00:00:46.50,OZZIE ONCE AGAIN.
18,00:00:50.73,00:00:50.73,Jeff: SENDING HIM TOREDEMPTIONISLAND.
19,00:00:52.60,00:00:52.60,I'M GOING TO TREAT THEM
20,00:00:54.23,00:00:54.23,REALLY NICE THEN SEND THEM
21,00:00:56.27,00:00:56.27,PACKING.
22,00:00:56.80,00:00:56.80,Jeff: AT THE NEXT IMMUNITYCHALLENGE WHITNEY FROM THE
23,00:01:00.93,00:01:00.93,OLD SAVAII HUNG ON FOR THE WIN.
24,00:01:03.40,00:01:03.40,SHE'S SAFE AT TONIGHT'S TRIBAL
25,00:01:05.00,00:01:05.00,COUNCIL.
26,00:01:06.13,00:01:06.13,Jeff: BACK AT CAMP PREVIOUSLYGOING AGAINST HIS
27,00:01:09.33,00:01:09.33,ALLIANCE AND TARGETING EDNA
28,00:01:10.83,00:01:10.83,ALBERT AGAIN TRIED TO TAKE
29,00:01:12.30,00:01:12.30,CONTROL BY TARGETING JOHN.
30,00:01:15.17,00:01:15.17,I'M THINKING HE'S GOING.
31,00:01:16.20,00:01:16.20,ALBERT IS GETTING NERVOUS.
32,00:01:18.33,00:01:18.33,HE'S THINKING A LOT RIGHT NOW.
33,00:01:20.87,00:01:20.87,BUT IN TRIBAL COUNCIL
34,00:01:23.77,00:01:23.77,ALBERT'S PLAN WAS REJECTED BY
35,00:01:25.00,00:01:25.00,COACH AND THE OLD UPOLU TRIBE.
36,00:01:26.63,00:01:26.63,"JIM, TRIBE HAS SPOKEN."
37,00:01:28.33,00:01:28.33,JIM WAS SENT TO REDEMPTION
38,00:01:30.80,00:01:30.80,ISLAND.
39,00:01:31.03,00:01:31.03,NOW WITH SEVEN REMAINING IN THE
40,00:01:33.07,00:01:33.07,"UPOLU ALLIANCE THE QUESTION IS,"
41,00:01:35.27,00:01:35.27,WILL ANYONE SEIZE THE
42,00:01:36.83,00:01:36.83,OPPORTUNITY TO TEAM UP WITHDAWN
43,00:01:38.33,00:01:38.33,AND WHITNEY AND TURN THE GAME
44,00:01:39.60,00:01:39.60,UPSIDE DOWN.
45,00:02:09.27,00:02:09.27,WHITNEY WON IMMUNE TIE
