,begin,end,subtitles_text
0,00:00:00.12,00:00:00.12,
1,00:00:02.46,00:00:02.46,>> PREVIOUSLY ON SURVIVOR.
2,00:00:06.25,00:00:06.25,">> SO FAR, MATT HAS BEEN THE"
3,00:00:07.67,00:00:07.67,ONLY PERSON TO FIND REDEMPTION
4,00:00:09.21,00:00:09.21,AT REDEMPTION ISLAND.
5,00:00:10.75,00:00:10.75,>> MATT STAYS ALIVE.
6,00:00:12.29,00:00:12.29,>> HE HAS WON ALL THREE DUELS.
7,00:00:14.17,00:00:14.17,>> GRAB YOUR STUFFAND AWAIT YOUR NEXT OPPONENT.
8,00:00:16.29,00:00:16.29,>> AT MATT'S OLD TRIBE PHILLIPIS DRIVING EVERYONE CRAZY.
9,00:00:20.04,00:00:20.04,>> IT'S SERIOUSLYHURTING MY EYES.
10,00:00:22.17,00:00:22.17,>> SO ROB ACTUALLY CONSIDEREDKEEPING HIM AROUND FOR A WHILE.
11,00:00:25.42,00:00:25.42,">> AS LONG AS PHILLIP ISAGGRAVATING EVERYBODY SO MUCH,"
12,00:00:27.83,00:00:27.83,IT TAKES ALLOF THE HEAT OFF OF ME.
13,00:00:30.12,00:00:30.12,MAYBE HE NEEDS TO STAY.
14,00:00:34.46,00:00:34.46,>> SINCE THROWING A CHALLENGETO GET RID OF RUSSELL --
15,00:00:36.71,00:00:36.71,>> THIS IS MY LAST TIMEPLAYING THIS GAME.
16,00:00:38.25,00:00:38.25,>> THE ZAPATERA LOOKS LIKE THEYLOST THEIR MOJO
17,00:00:41.08,00:00:41.08,AND WERE BICKERINGAMONG THEMSELVES.
18,00:00:42.88,00:00:42.88,>> DAVID UNDER PRESSUREIS REALLY STRESSFUL.
19,00:00:45.67,00:00:45.67,>> DON'T EVEN GO THEREWITH THAT.
20,00:00:47.38,00:00:47.38,I DON'T FREAK OUT.
21,00:00:48.88,00:00:48.88,>> AND EVEN THOUGH SARITA ISWEARING THIN ON HER TRIBE MATES
22,00:00:51.42,00:00:51.42,THE BIGGER TARGETSWERE KRISTA AND STEPHANIE.
23,00:00:54.21,00:00:54.21,>> THERE IS NOTHINGWE CAN DO ABOUT IT.
24,00:00:56.04,00:00:56.04,">> AT TRIBAL COUNCIL, KRISTENAND STEPHANIE VOTED FOR STEVE"
25,00:00:59.08,00:00:59.08,BUT EVERYBODY ELSE VOTED KRISTA.
26,00:01:01.46,00:01:01.46,">> KRISTA, THE TRIBE HAS SPOKEN."
27,00:01:05.12,00:01:05.12,>> Jeff: NOW STEPHANIE HAS TO
28,00:01:07.25,00:01:07.25,SCRAMBLE TO AVOID BEING THE NEXT
29,00:01:08.96,00:01:08.96,PERSON SENT TO REDEMPTIONISLAND.
30,00:01:19.29,00:01:19.29,>> MATT?
31,00:01:20.75,00:01:20.75,>> WHO IS IT?
32,00:01:22.08,00:01:22.08,>> IT'S KRISTA.
33,00:01:24.08,00:01:24.08,ARE YOU DRY UNDER THERE?
34,00:01:26.12,00:01:26.12,">> YEAH, FOR SURE."
35,00:01:27.33,00:01:27.33,">> ALL RIGHT, WELL,I'M DEFINITELY"
36,00:01:28.42,00:01:28.42,COMING UNDER THERE WITH YOU.
37,00:01:30.04,00:01:30.04,"I WAS EXCITED, I SAW HIM INTHE DUAL AND HE HAS SUCH A"
38,00:01:33.88,00:01:33.88,"POSITIVE ATTITUDE, JUSTREFRESHING, I GUESS YOU COULD"
39,00:01:37.88,00:01:37.88,"SAY, EVEN WITH, WITHIN THE FIRSTFIVE MINUTES I FEEL HE HAS SO"
40,00:01:42.00,00:01:42.00,MUCH MORE SUBSTANCE THAN THEPEOPLE I HAVE BEEN ON THE TRIBE
41,00:01:45.00,00:01:45.00,FOR THE LAST 14 DAYS.
42,00:01:47.21,00:01:47.21,YOU PRAY A LOT?
43,00:01:49.29,00:01:49.29,">> YEAH, YEAH."
44,00:01:50.50,00:01:50.50,I HAVE BEEN -- WHENEVER I CAN.
45,00:01:53.08,00:01:53.08,I REALLY FEEL LIKEGOD PUT ME HERE.
46,00:01:56.12,00:01:56.12,">> ME, TOO."
47,00:01:58.71,00:01:58.71,I JUST WANTED YOU TO KNOW
48,00:02:00.38,00:02:00.38,THAT I AM GOING TO GIVE YOUA RUN FOR YOUR MONEY.
49,00:02:03.21,00:02:03.21,">> OH, TRUST ME, I KNOW YOU ARE."
50,00:02:05.29,00:02:05.29,">> KRISTA CAME IN TONIGHT, I WASPRETTY EXCITED TO SEE HER AT"
51,00:02:09.42,00:02:09.42,"FIRST, BUT I QUICKLY REALIZEDTHAT SHE IS A FIRECRACKER"
52,00:02:12.54,00:02:12.54,AND SHE IS HERE FOR BUSINESS.
53,00:02:14.38,00:02:14.38,">> YOU ARE NOT SNEAKING UNDERTHE RADAR, BLONDIE."
54,00:02:16.92,00:02:16.92,">> NEITHER ARE YOU, BLONDIE."
55,00:02:19.29,00:02:19.29,>> HEY!
56,00:02:39.12,00:02:39.12,>> TOO BAD.
57,00:02:40.88,00:02:40.88,YOU MUST HAVE A LOTOF FAITH IN PEOPLE.
58,00:02:43.75,00:02:43.75,TRIBAL LAST NIGHT GOT ALITTLE UGLY BUT IN THE END
59,00:02:47.38,00:02:47.38,"KRISTA WAS OUR VOTE,AND TO MY SURPRISE,"
60,00:02:51.08,00:02:51.08,KRISTA AND STEPHANIEBOTH VOTED FOR ME.
61,00:02:54.42,00:02:54.42,THAT WAS KIND OFA COLD SLAP OF REALITY.
62,00:03:01.88,00:03:01.88,>> PLAYING A TEAM --
63,00:03:06.54,00:03:06.54,>> IT HAS NOTHING TO DOWITH YOU PER SE.
64,00:03:08.96,00:03:08.96,IT IS ABOUT KEEPING THE TEAMWITH THE STRONGEST COMPETITORS.
65,00:03:13.33,00:03:13.33,I KNOW YOU ARE DIGGING DEEP BUTIT MIGHT NOT BE THERE TO GIVE.
66,00:03:20.29,00:03:20.29,>> I WAS TRYING TO BE DELICATE.
67,00:03:22.25,00:03:22.25,"I AM GOING TO, YOU KNOW, NOT BE"
68,00:03:25.46,00:03:25.46,TOO CRAZY ABOUT BASHING PEOPLE.
69,00:03:28.38,00:03:28.38,>> I DON'T WANT TO GET SENT TOREDEMPTION ISLAND AND RIGHT NOW
70,00:03:31.00,00:03:31.00,"I AM AT THE BOTTOM, AS MUCH AS IHATE SUCKING IT UP WITH PEOPLE"
71,00:03:34.17,00:03:34.17,WHO ARE COMPLETE -- I WILL DO IT
72,00:03:37.38,00:03:37.38,BECAUSE I WANT TO GETFURTHER IN THE GAME.
73,00:03:40.00,00:03:40.00,>> I'M SORRY YOU ARE PERSONALLYOFFENDED THAT I VOTED FOR YOU.
74,00:03:43.92,00:03:43.92,>> IT IS CRAZY.
75,00:03:45.50,00:03:45.50,"WHERE I COME FROM, 13 YEARS INTHE NFL AND IT IS A GUT CHECK I"
76,00:03:48.50,00:03:48.50,"AM DEFINITELY GOING TO HAVETO DIG DEEPER, BUT HER VOTE"
77,00:03:52.21,00:03:52.21,"AGAINST ME LAST NIGHT,I CONSIDER IT STUPID."
78,00:03:55.33,00:03:55.33,>> I THINK IT WAS ANOTHERPOOR MOVE YOU HAVE MADE.
79,00:03:58.58,00:03:58.58,>> IT'S OKAY.
80,00:03:59.71,00:03:59.71,>> IN ALLIANCES.
81,00:04:00.71,00:04:00.71,>> IT'S OKAY.
