,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00, >> PROBST: Previously on
2,00:00:03.50,00:00:03.50,Survivor: >> Erinn's with us.
3,00:00:06.21,00:00:06.21,"She just feels like none of them care about her, so why should"
4,00:00:08.38,00:00:08.38,she care about them? >> PROBST: The Jalapao Three
5,00:00:10.50,00:00:10.50,"pulled in Erinn and took control of the game, but Coach still"
6,00:00:15.08,00:00:15.08,wanted to call the shots. >> Okay.
7,00:00:18.25,00:00:18.25,">> PROBST: However, not everyone was on board."
8,00:00:22.42,00:00:22.42,>> Hmm-mm. >> PROBST: Despite Taj and
9,00:00:24.54,00:00:24.54,Erinn's rogue votes... >> I couldn't vote for Sierra.
10,00:00:27.25,00:00:27.25,">> PROBST: ...Coach got his way. Sierra, the tribe has spoken."
11,00:00:32.21,00:00:32.21,Six are left. Who will be voted out tonight?
12,00:00:41.54,00:00:41.54,">> Well, final six, guys. Congratulations."
13,00:00:45.67,00:00:45.67,>> That's not a small accomplishment.
14,00:00:48.21,00:00:48.21,>> I am so tired. >> I'm glad the drama's gone.
15,00:00:51.88,00:00:51.88,>> Amen. I just hope we can get some
16,00:00:55.08,00:00:55.08,sleep tonight. >> Erinn and Taj took the
17,00:00:58.12,00:00:58.12,cowardly way out and voted for two people who didn't deserve
18,00:01:00.67,00:01:00.67,to be voted for: Stephen and Debbie.
19,00:01:02.38,00:01:02.38,It was preposterous. Erinn and Taj need to be cut
20,00:01:04.50,00:01:04.50,off at the kneecaps. I'm pissed at them for writing
21,00:01:07.04,00:01:07.04,your name down and for writing Stephen's name down tonight.
22,00:01:09.92,00:01:09.92,That was ridiculous. >> You've got to let it go.
23,00:01:12.42,00:01:12.42,>> This is the time for the warrior alliance.
24,00:01:15.58,00:01:15.58,There's a reason why we have a name.
25,00:01:18.25,00:01:18.25,"People that don't play this game even half as honestly as me,"
26,00:01:22.17,00:01:22.17,"even half as bold as me, like we saw tonight, pisses me off."
27,00:01:27.71,00:01:27.71,I have two words for you. Taj and Erinn.
28,00:01:30.21,00:01:30.21,You know what? We're going to run them through
29,00:01:31.71,00:01:31.71,with a sword the next two votes. And I'm thinking Taj has to go
30,00:01:34.42,00:01:34.42,next. >> You got to let it go or it's
31,00:01:36.21,00:01:36.21,going to drive you nuts. >> What a bunch of freaking
32,00:01:37.96,00:01:37.96,cowards. I'm so pissed at them.
33,00:01:39.33,00:01:39.33,">> All right, I'm going to go back in there 'cause I don't"
34,00:01:41.08,00:01:41.08,want them to think we're out here.
35,00:01:42.12,00:01:42.12,"All right, I'll see you tomorrow."
36,00:01:43.33,00:01:43.33,>> I just wanted to tell you that I was backing you up on the
37,00:01:45.17,00:01:45.17,fact that they were cowardly lions.
38,00:01:49.46,00:01:49.46,">> Coach does not let things go. without a complete, utter"
39,00:01:54.25,00:01:54.25,dialogue as to why. It gets so old.
40,00:02:00.25,00:02:00.25,He called me over to talk. He's really upset.
41,00:02:02.58,00:02:02.58,"I said, ""I know, but it's over."" You know?"
42,00:02:11.25,00:02:11.25,>> I don't care about the million dollars.
