,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00,
2,00:00:02.07,00:00:02.07,  JEFF PROBST:   16 Americans forced  to abandon ship
3,00:00:05.57,00:00:05.57, in the middle  of the South China Sea.
4,00:00:09.37,00:00:09.37," Marooned for 39 days,  they must work together"
5,00:00:13.30,00:00:13.30,"  to build shelter, find food  and survive the island,"
6,00:00:17.43,00:00:17.43," but ultimately,  it is everyone for themselves."
7,00:00:20.40,00:00:20.40," Every third night, they will     hike deep into the jungle"
8,00:00:23.67,00:00:23.67, to take part   in the Tribal Council
9,00:00:26.40,00:00:26.40,  where they must vote one   of their own off the island.
10,00:00:30.43,00:00:30.43,"  In the end,   only one will remain"
11,00:00:32.67,00:00:32.67,  and will leave the island     with $1 million in cash.
12,00:00:39.50,00:00:39.50, Last week on Survivor:
13,00:00:41.67,00:00:41.67,  Conflict within the tribes   continued to emerge.
14,00:00:44.37,00:00:44.37,  You can only take so much preaching.
15,00:00:46.53,00:00:46.53, Dirk's about driving me  wild with that.
16,00:00:48.47,00:00:48.47,"When Christ came, He opened the door to every human being."
17,00:00:51.60,00:00:51.60,   We've all sort of  come to the conclusion
18,00:00:52.87,00:00:52.87, that Rudy really needs    to get out
19,00:00:54.30,00:00:54.30, of here-- he just criticizes   whatever we're doing.
20,00:00:56.60,00:00:56.60,"Come into the kitchen, ""Morning,    Rudy, how are you doing?"""
21,00:00:59.13,00:00:59.13,"""You're wasting  your time out there."""
22,00:01:01.00,00:01:01.00, JEFF:   And hunger set in.
23,00:01:01.00,00:01:01.00,   The oomph is a little gone.
24,00:01:03.83,00:01:03.83,I think that not eating   is a factor.
25,00:01:05.83,00:01:05.83,  ( laughs ):  We want food.
26,00:01:07.63,00:01:07.63, JEFF:   Tagi Tribe gained advantage  by winning a reward challenge.
27,00:01:11.40,00:01:11.40,   I wanted that mask and snorkel from day one
28,00:01:14.70,00:01:14.70, to go get fish.
29,00:01:16.87,00:01:16.87,We got fish.
30,00:01:18.30,00:01:18.30,No way. No way!
31,00:01:19.67,00:01:19.67,( shrieking )
32,00:01:19.67,00:01:19.67,Watch the spear.
33,00:01:21.87,00:01:21.87, JEFF:    Pagong was forced    to look elsewhere for food.
34,00:01:24.73,00:01:24.73, JENNA:    I'm so ready to eat rat.
35,00:01:26.47,00:01:26.47," I want to gut 'em, bone 'em..."
36,00:01:27.70,00:01:27.70, JOEL: Surf 'n' turf. Minnows and rat.
37,00:01:30.33,00:01:30.33, GREG:    Rats aren't bad.
38,00:01:31.33,00:01:31.33, Rats are rats.
39,00:01:33.00,00:01:33.00,Questions of edibility only have   to do with your perceptions.
40,00:01:35.53,00:01:35.53,RAMONA: Please pass the rat.
41,00:01:40.83,00:01:40.83," JEFF:  But Pagong rebounded by winning the immunity challenge,"
42,00:01:44.17,00:01:44.17, and Tagi Tribe was sent back to Tribal Council in the middle
43,00:01:47.40,00:01:47.40, of a tropical storm.
44,00:01:49.17,00:01:49.17,STACEY:  I thought Rudy would be
45,00:01:51.03,00:01:51.03,"   the next one off,   but it could be me."
46,00:01:52.80,00:01:52.80," RUDY:  I'm going to vote Stacey out,  'cause I don't like her"
47,00:01:56.23,00:01:56.23,   and I never will.
48,00:01:57.60,00:01:57.60,"JEFF: Stacey. That's four votes, Stacey."
49,00:01:59.40,00:01:59.40,It's time for you to go.
50,00:02:01.90,00:02:01.90, 13 are left.
51,00:02:03.87,00:02:03.87," Who will be voted off    this week,"
52,00:02:05.83,00:02:05.83, and who will continue    to survive?
53,00:03:00.97,00:03:00.97,  Captioning sponsored by CBS and SURVIVOR PRODUCTIONS
54,00:03:05.83,00:03:05.83,  ( thunder rumbling )
55,00:03:31.60,00:03:31.60,I'm not a happy camper.
56,00:03:33.57,00:03:33.57,"GERVASE:  It's cold, man."
57,00:03:35.20,00:03:35.20," It got cold and rained a lot,"
58,00:03:37.27,00:03:37.27,"  and everybody got, I mean..."
59,00:03:38.97,00:03:38.97,everybody was just wet.
60,00:03:42.70,00:03:42.70,"RAMONA:   It was long, wet and cold."
61,00:03:45.63,00:03:45.63, It was the worst night
62,00:03:49.63,00:03:49.63,I've ever slept.
63,00:03:53.67,00:03:53.67, GREG:    And worse trouble
64,00:03:55.30,00:03:55.30, was the bugs--    the bugs love it.
65,00:03:57.10,00:03:57.10," Once that rain comes,  it's sand flea heaven."
66,00:03:59.73,00:03:59.73,   GRETCHEN:  I have spent six years
67,00:04:02.67,00:04:02.67,  at the Air Force     survival school.
68,00:04:04.97,00:04:04.97,"  You know, we learned how    to make fires and shelters."
69,00:04:08.23,00:04:08.23,   Come on...
70,00:04:09.87,00:04:09.87,"  When we got here,"
71,00:04:11.17,00:04:11.17," we argued over   where the shelter should be,"
72,00:04:13.47,00:04:13.47,"   and everything I've always  been taught, you know,"
73,00:04:16.17,00:04:16.17,"  you put it up off the beach,"
74,00:04:17.77,00:04:17.77," you get canopy cover,"
75,00:04:19.27,00:04:19.27,"  which is your first layer  of protection,"
76,00:04:21.40,00:04:21.40," but we made this huge shelter,     which was not comfortable"
77,00:04:24.33,00:04:24.33, and it's not practical.
78,00:04:25.93,00:04:25.93,"  It's a rain forest,"
79,00:04:27.27,00:04:27.27,"so it was going to pour   one of these times,"
80,00:04:28.97,00:04:28.97," and it poured,  and we got soaking wet,"
81,00:04:30.43,00:04:30.43,"  and I just thought, ""This is ridiculous,"" you know."
82,00:04:32.50,00:04:32.50,"  And also,  the gear is everywhere."
83,00:04:33.87,00:04:33.87, Our rice bucket's down there; the shovel's down there;
84,00:04:35.90,00:04:35.90,"we don't know, you know, where the parangs are in the morning,"
85,00:04:38.63,00:04:38.63,and... it's got to stop.
86,00:04:41.00,00:04:41.00,"   What's the reason    for that, though?"
87,00:04:42.73,00:04:42.73,It's not up-tide-- look.
88,00:04:45.07,00:04:45.07,The shovel is over there 'cause we just dug...
89,00:04:46.83,00:04:46.83,"I know, but you're done digging, so the shovel..."
90,00:04:48.73,00:04:48.73,We don't know if it's done yet.
91,00:04:50.83,00:04:50.83,   GRETCHEN:  I think I am a little    frustrated with Joel today
92,00:04:52.70,00:04:52.70,"  because Joel wants   to take over,"
93,00:04:54.00,00:04:54.00,"and that's fine,  but Joel doesn't know about..."
94,00:04:56.23,00:04:56.23,"where we're going to be  the most comfortable,"
95,00:04:58.57,00:04:58.57,"   and so, you know,   after last night, I thought,"
96,00:05:00.77,00:05:00.77,"""Well, I just can't let   this go on anymore."""
97,00:05:02.83,00:05:02.83," You want to vote me off, fine,   but we got to organize this."
98,00:05:05.47,00:05:05.47," I don't want to sleep  in that anymore, okay?"
99,00:05:08.13,00:05:08.13,You can sleep on the beach if you want to.
100,00:05:10.00,00:05:10.00,I don't want to sleep on the beach anymore.
101,00:05:11.63,00:05:11.63," I don't want to be antisocial,   but I'm going in the woods."
102,00:05:15.00,00:05:15.00,Why don't we just go? Why don't we just start?
103,00:05:22.27,00:05:22.27,We get to move-- it's so exciting
104,00:05:23.93,00:05:23.93,when you get to move to a new place.
105,00:05:25.47,00:05:25.47,"Oh, man, it's hot."
106,00:05:38.30,00:05:38.30,"   GRETCHEN:    If this were, right now,   each man for himself,"
107,00:05:40.53,00:05:40.53,  Greg would be the victor.
108,00:05:42.00,00:05:42.00, He's relaxed.
109,00:05:43.40,00:05:43.40,He's not fighting this.
110,00:05:44.67,00:05:44.67,It's not like a battle for him.
111,00:05:46.57,00:05:46.57,"Greg's a character, man."
112,00:05:47.97,00:05:47.97,   Hold on one second. Yeah?
113,00:05:49.53,00:05:49.53,   Greg talks into a coconut    and thinks it's a phone.
114,00:05:52.37,00:05:52.37, This guy wants    to do an interview
115,00:05:53.70,00:05:53.70,   for four or five minutes.
116,00:05:55.27,00:05:55.27, GREG: The naturephone is really a way
117,00:05:57.77,00:05:57.77,"  that I kind of keep in touch with the greater, um..."
118,00:05:59.93,00:05:59.93,  the greater spirit out here.
119,00:06:02.27,00:06:02.27,"All right, listen, well,   uh, yeah, just hold my calls"
120,00:06:05.20,00:06:05.20,"  if, uh, anybody's in this..."
121,00:06:06.70,00:06:06.70, You get reception everywhere.
122,00:06:08.93,00:06:08.93,  You're always incommunicado
123,00:06:11.10,00:06:11.10,"with everything  and anyone, and, uh..."
124,00:06:13.10,00:06:13.10," you know, it's light,  it's quick, it's easy,"
125,00:06:15.33,00:06:15.33,and it's relatively inexpensive.
126,00:06:17.30,00:06:17.30,Do you have a fitting for bamboo?
127,00:06:19.27,00:06:19.27,Okay.
128,00:06:20.33,00:06:20.33,"Yeah, yeah, as quickly as possible."
129,00:06:22.93,00:06:22.93,   GRETCHEN:  Greg knows what he's doing--    he kind of
130,00:06:25.17,00:06:25.17," manipulates the group,   and I think"
131,00:06:26.63,00:06:26.63,   a lot of people don't even  realize it's going on.
132,00:06:28.13,00:06:28.13,"I think most of the people don't   even realize it's going on,"
133,00:06:30.57,00:06:30.57,"  but in his own way,   Greg's the leader."
134,00:06:32.73,00:06:32.73,"Okay. Yeah, yeah."
135,00:06:33.93,00:06:33.93,"Two min... Okay, bye."
136,00:06:35.27,00:06:35.27,Sorry about that.
137,00:06:36.50,00:06:36.50,Hit Greg in the head.
138,00:06:46.80,00:06:46.80," SEAN:   Sue, she just always keeps    working, working, working."
139,00:06:49.83,00:06:49.83,"  You know, it just drives everybody crazy."
140,00:06:51.70,00:06:51.70," I mean, the guys were talking    about that today."
141,00:06:53.60,00:06:53.60,   I wish she would slow down for a little bit and just relax.
142,00:06:56.27,00:06:56.27, SUSAN:    We're getting by   on coconut and rice.
143,00:06:59.53,00:06:59.53,"  You know,  whatever we can gather,"
144,00:07:01.13,00:07:01.13,  and we're still not done   looking for tapioca or nuts.
145,00:07:03.57,00:07:03.57,Tapioca.
146,00:07:05.10,00:07:05.10,   Tapioca's supposed    to have red lines.
147,00:07:06.67,00:07:06.67,Got to find the tapioca.
148,00:07:08.27,00:07:08.27," SEAN:   I had this vision,"
149,00:07:09.77,00:07:09.77," and, uh, I thought I'd   build myself a bowling alley"
150,00:07:12.50,00:07:12.50,   right about here.
151,00:07:14.10,00:07:14.10,"  That's what I'm doing here,  slaving away."
152,00:07:16.40,00:07:16.40,  ( Susan grunts with effort )
153,00:07:21.50,00:07:21.50, This little...
154,00:07:22.93,00:07:22.93," Aw, this is all woody."
155,00:07:24.93,00:07:24.93,"  What I think I might do is,"
156,00:07:26.20,00:07:26.20,  I might take  some of those coconuts
157,00:07:27.50,00:07:27.50,  over there--  that are lined up like that--
158,00:07:29.60,00:07:29.60,I might take that bamboo    over there
159,00:07:30.93,00:07:30.93," and make, like, a little shelf"
160,00:07:32.60,00:07:32.60,  where you can have the extra   balls hanging out up there?
161,00:07:34.93,00:07:34.93,"No, that's a stalk."
162,00:07:38.37,00:07:38.37,"Oh, is that... that's those big nuts."
163,00:07:41.80,00:07:41.80,   Sean's telling me looking   for nuts is a waste of time.
164,00:07:44.63,00:07:44.63, But at least you know   you can find a nut.
165,00:07:46.67,00:07:46.67, Sean sits there for five hours  and builds his bowling alley.
166,00:07:49.77,00:07:49.77,  He could've been    all getting nuts or looking
167,00:07:52.50,00:07:52.50,  for tapioca during the day.
168,00:07:54.10,00:07:54.10,  I'm tired of feeding people that don't do anything.
169,00:07:56.17,00:07:56.17," If we lose tomorrow,   I'm voting Sean off."
170,00:07:58.27,00:07:58.27, My parents would be so proud.
171,00:08:05.20,00:08:05.20," Throughout their time  on the island,"
172,00:08:07.30,00:08:07.30,the tribes will compete    in a series of challenges.
173,00:08:10.13,00:08:10.13,They'll receive messages
174,00:08:11.70,00:08:11.70,notifying them of these    competitions at tree mail.
175,00:08:16.40,00:08:16.40, Today's mail    informs both tribes
176,00:08:18.13,00:08:18.13,  about their next     reward challenge
177,00:08:19.87,00:08:19.87,"  called ""Distress Signal."""
178,00:08:21.73,00:08:21.73,"Hey, you guys!"
179,00:08:23.77,00:08:23.77, JEFF:  They'll build an S.O.S.   on their respective beaches.
180,00:08:27.03,00:08:27.03, A plane flying overhead
181,00:08:28.57,00:08:28.57,  will determine whose signal   is the most creative
182,00:08:31.23,00:08:31.23,  and parachute in     a crate full of supplies.
183,00:08:33.40,00:08:33.40,  Both tribes   have been instructed
184,00:08:35.47,00:08:35.47,  to send a representative
185,00:08:37.57,00:08:37.57, to see the creature comforts     they'll be competing for.
186,00:08:39.83,00:08:39.83,We've got a nice luxury going on-- whoa!
187,00:08:42.60,00:08:42.60," JEFF:  Things like hammocks,    towels and pillows."
188,00:08:46.60,00:08:46.60,"  Oh, my God!"
189,00:08:48.33,00:08:48.33, JEFF:   But Jenna and Dirk    have each requested
190,00:08:50.43,00:08:50.43,  one additional item     be placed into the crate.
191,00:08:52.90,00:08:52.90," We want a spice rack,"
192,00:08:54.03,00:08:54.03,"including salt, pepper, garlic, soy sauce..."
193,00:08:56.53,00:08:56.53,Then you would have a full-out competition for that spice rack.
194,00:08:59.77,00:08:59.77,  What would make it   worthwhile for you?
195,00:09:01.43,00:09:01.43,We need a flay knife.
196,00:09:02.50,00:09:02.50,JEFF: Here's the deal-- two clues
197,00:09:04.40,00:09:04.40,for tomorrow's challenge.
198,00:09:05.77,00:09:05.77,"Do me a favor, though."
199,00:09:06.93,00:09:06.93,Don't open them till you get back to camp.
200,00:09:08.90,00:09:08.90,I'll do what I can about the reward.
201,00:09:10.40,00:09:10.40,Nice talking to you.
202,00:09:10.40,00:09:10.40,Right on.
203,00:09:11.63,00:09:11.63,Nice talking to you guys.
204,00:09:11.63,00:09:11.63,All right!
205,00:09:13.30,00:09:13.30,Thanks for the nap.
206,00:09:13.30,00:09:13.30,All right.
207,00:09:14.30,00:09:14.30,A spice rack is the best.
208,00:09:15.63,00:09:15.63,Good for you.
209,00:09:16.83,00:09:16.83,I wouldn't have thought of that one.
210,00:09:23.17,00:09:23.17,COLLEEN: What happened?
211,00:09:24.17,00:09:24.17,What did we get?
212,00:09:25.67,00:09:25.67,  We got this.
213,00:09:26.67,00:09:26.67,COLLEEN: What is it?
214,00:09:28.33,00:09:28.33,"Okay, okay, okay."
215,00:09:30.00,00:09:30.00," ""A store you all know   has decided to show"
216,00:09:31.93,00:09:31.93," ""some support  to the survivors here."
217,00:09:33.73,00:09:33.73,"  ""The noise you hear humming    is a plane that is coming"
218,00:09:36.53,00:09:36.53,"   ""to drop a crate    filled with gear."
219,00:09:37.93,00:09:37.93,"""Soft pillows of down, hammocks off-ground,"
220,00:09:39.90,00:09:39.90,"""a bar of soap to wash up some,"
221,00:09:41.60,00:09:41.60,"""a crisp white towel, so you won't feel so..."
222,00:09:43.77,00:09:43.77,Towel!
223,00:09:44.77,00:09:44.77,( laughing )
224,00:09:46.10,00:09:46.10,"""...some toilet paper to wipe off your bum."
225,00:09:48.03,00:09:48.03," ""The gift is only won    as you work under the sun."
226,00:09:51.37,00:09:51.37,"Remember, this challenge  matches wit."""
227,00:09:54.07,00:09:54.07,"Oh, you guys, we so have this."
228,00:09:56.63,00:09:56.63," Can I tell you something else,    what the prize is?"
229,00:09:58.83,00:09:58.83,"  They added,  because I finagled..."
230,00:10:00.03,00:10:00.03,A spice rack.
231,00:10:01.03,00:10:01.03,"JENNA: Oh, yeah, baby."
232,00:10:02.73,00:10:02.73,  ( cheering )
233,00:10:02.73,00:10:02.73,"Tomorrow morning,"
234,00:10:04.40,00:10:04.40,   a plane flies over   two hours after the sunrise.
235,00:10:07.07,00:10:07.07,And it has to be on our beach--
236,00:10:09.03,00:10:09.03," anything-- a symbol, a word,  you could spell out anything."
237,00:10:12.63,00:10:12.63,"""Naked."""
238,00:10:13.77,00:10:13.77,I know what goes best.
239,00:10:14.83,00:10:14.83,Something really good.
240,00:10:16.07,00:10:16.07,One quick bonfire.
241,00:10:17.07,00:10:17.07,"No, hell, no."
242,00:10:18.20,00:10:18.20,We got to do something bigger and better!
243,00:10:20.47,00:10:20.47,"They do one big bonfire, one big bonfire..."
244,00:10:22.50,00:10:22.50,Yawn.
245,00:10:23.57,00:10:23.57,You do the fire but...
246,00:10:24.57,00:10:24.57,   We got to sell it!
247,00:10:26.13,00:10:26.13,   This is like advertising;    we're selling this spot.
248,00:10:28.20,00:10:28.20,Simple but... impact.
249,00:10:31.63,00:10:31.63," GREG: What's creative, though,"
250,00:10:33.33,00:10:33.33,   and exciting to    see from up high?
251,00:10:34.43,00:10:34.43,"  Sex, naked people..."
252,00:10:36.20,00:10:36.20,"We're trapped on    a desert island, you know?"
253,00:10:38.30,00:10:38.30,  We're horny.
254,00:10:39.70,00:10:39.70,  ( laughing )
255,00:10:46.80,00:10:46.80,There's also going to be  a spice rack in there
256,00:10:49.30,00:10:49.30,"and one phat, filthy, stainless steel flay knife."
257,00:10:54.43,00:10:54.43,"Yeah, something we need."
258,00:10:55.87,00:10:55.87,"All right? So, we need, we've got one chance."
259,00:10:58.13,00:10:58.13,We've got to do this right.
260,00:11:00.60,00:11:00.60,Ideas?
261,00:11:02.23,00:11:02.23," RUDY:  Tomorrow, right?  It's gonna be daylight."
262,00:11:03.50,00:11:03.50,   We'll make a    lot of smoke.
263,00:11:04.50,00:11:04.50,"Smoke, a lot of wet wood."
264,00:11:06.73,00:11:06.73,KELLY: We should bring it over by the fire.
265,00:11:08.47,00:11:08.47,Have the fire blazing to all hell.
266,00:11:09.90,00:11:09.90,It's not about size; it's not about fire.
267,00:11:12.10,00:11:12.10,"  Well, fire is going to help."
268,00:11:13.90,00:11:13.90, SEAN:  There's a little bit   of conflict of ideas
269,00:11:15.53,00:11:15.53," between everybody right now,  uh, regarding our next event."
270,00:11:19.50,00:11:19.50,SUSAN: Are you against that?
271,00:11:20.97,00:11:20.97,"  Nobody's against it, but we want to figure..."
272,00:11:22.43,00:11:22.43,"SUSAN: Yeah, but two hours..."
273,00:11:24.30,00:11:24.30,RICHARD:    There was conflict there   between Dirk and Sue
274,00:11:26.60,00:11:26.60,"when she was trying to get going    and Dirk was saying, ""No,"""
275,00:11:30.07,00:11:30.07,and she made fun of his swagger.
276,00:11:32.23,00:11:32.23,"Let's have a clear plan,  then let's go to work,"
277,00:11:34.73,00:11:34.73,   you know what I'm saying?
278,00:11:36.30,00:11:36.30,Okay.
279,00:11:36.30,00:11:36.30,"Thank you, Sue."
280,00:11:37.87,00:11:37.87,The ideas I didn't like   were just some of the things
281,00:11:40.00,00:11:40.00,  that maybe were a little bit tasteless or...
282,00:11:41.83,00:11:41.83,"you know, and don't have  much class, you know?"
283,00:11:43.67,00:11:43.67,"  I believe that class kind of shows itself, and things like..."
284,00:11:46.03,00:11:46.03,Condoms.
285,00:11:47.03,00:11:47.03,If we had enough condoms
286,00:11:48.13,00:11:48.13,"and they were different-colored,"
287,00:11:49.70,00:11:49.70,that would be so funny.
288,00:11:51.30,00:11:51.30,"  I don't know if that    has much class, you know."
289,00:11:52.67,00:11:52.67,You guys could put the little orange thingies on your wieners.
290,00:11:55.40,00:11:55.40,   That's not very creative.
291,00:11:56.90,00:11:56.90,  That's just looking    in a bathroom stall wall.
292,00:11:58.77,00:11:58.77,RICHARD: We can also use
293,00:12:01.27,00:12:01.27,those white Styrofoam floats
294,00:12:02.53,00:12:02.53,and create a big arrow in the water
295,00:12:04.10,00:12:04.10,"that's, you know, pointed right toward the beach."
296,00:12:06.23,00:12:06.23,That's an idea; that's an idea.
297,00:12:08.37,00:12:08.37, I don't think  we can do it together
298,00:12:09.87,00:12:09.87,  without the things floating   all discombobulated.
299,00:12:12.07,00:12:12.07,"   Yay, Mr. Positive.    All right."
300,00:12:13.97,00:12:13.97,RICHARD:    An idea comes up and you     can see on people's faces
301,00:12:16.53,00:12:16.53,"when Sean is negative about it,"
302,00:12:18.37,00:12:18.37,and then they'll just harp on it  and make it...
303,00:12:21.27,00:12:21.27,   want it even more.
304,00:12:23.13,00:12:23.13,SEAN: I just think that we need
305,00:12:24.23,00:12:24.23,to do something simple but extravagant.
306,00:12:25.80,00:12:25.80, Like one thing   that we all work on.
307,00:12:27.57,00:12:27.57," You know, similar to, like...   like the Rose Bowl."
308,00:12:30.17,00:12:30.17," SEAN:    I just wish people would,   you know, see things my way,"
309,00:12:33.17,00:12:33.17,"  in terms of,   I think that what they want"
310,00:12:34.70,00:12:34.70,"is something really spectacular,"
311,00:12:36.40,00:12:36.40, and I think that we could work    through the night and build
312,00:12:38.23,00:12:38.23, something really spectacular
313,00:12:39.77,00:12:39.77, that would ensure us   getting that crate.
314,00:12:41.33,00:12:41.33,"What's happening in my head is,   ""Here's the conflict."
315,00:12:43.30,00:12:43.30,"  ""Here comes the dynamics that suck."
316,00:12:44.97,00:12:44.97,"   ""Here come the people that   just shout and don't listen."
317,00:12:47.73,00:12:47.73,"   Here comes the negativity,    and here comes the crap."""
318,00:12:50.03,00:12:50.03,You talk about doing a float
319,00:12:52.77,00:12:52.77,  or something that...
320,00:12:52.77,00:12:52.77,"Not a float, a project."
321,00:12:54.83,00:12:54.83,"   I know, a project."
322,00:12:54.83,00:12:54.83,"It could be a big ""X."""
323,00:12:56.83,00:12:56.83,"You know, we build a tremendous ""X"""
324,00:12:58.10,00:12:58.10,in the sand and stand it up.
325,00:13:00.10,00:13:00.10,Did you think I was done with my sentence?
326,00:13:02.03,00:13:02.03,"Well, I know what the resolution to the conflict"
327,00:13:05.20,00:13:05.20," that exists right now    would be at home,"
328,00:13:07.47,00:13:07.47,   but I'm actually planning  something different from that
329,00:13:10.67,00:13:10.67," that might benefit me,    and it's a little sneaky."
330,00:13:13.40,00:13:13.40, ( chuckling )
331,00:13:14.83,00:13:14.83, I think     I'm going to handle this
332,00:13:16.50,00:13:16.50, by beginning   to develop alliances
333,00:13:19.23,00:13:19.23, with some folks
334,00:13:21.00,00:13:21.00, to ensure that I move  into the next round.
335,00:13:32.17,00:13:32.17,   That means we need to clean up that beach.
336,00:13:40.57,00:13:40.57, JENNA:  I don't think Ramona's    pulling her weight.
337,00:13:42.83,00:13:42.83,"I think that she really thought  she could handle this,"
338,00:13:44.97,00:13:44.97, and now she's finding    that I don't think she...
339,00:13:47.00,00:13:47.00,she can as much as she thought.
340,00:13:49.37,00:13:49.37,  Ugh.
341,00:13:50.90,00:13:50.90," Yesterday was bad, bad night."
342,00:13:53.70,00:13:53.70, The only thing    Ramona can be is herself.
343,00:13:56.47,00:13:56.47,   I'm a mama's girl.
344,00:13:58.67,00:13:58.67,"   Well, I'm mama's    only child, so..."
345,00:14:02.07,00:14:02.07, She has great gifts to offer.
346,00:14:04.40,00:14:04.40,   Maybe she will be able to.
347,00:14:06.37,00:14:06.37,Maybe she won't.
348,00:14:07.63,00:14:07.63,"But I can't do any more  than I can do,"
