,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00, >> JEFF PROBST: Previously on
2,00:00:03.83,00:00:03.83,Survivor: Drop your buffs.
3,00:00:06.25,00:00:06.25,It is now time to integrate. The four-tribe ethnic
4,00:00:09.25,00:00:09.25,division... You are the new Aitu tribe.
5,00:00:11.71,00:00:11.71,You are the new Raro tribe. ...dissolved into a melting
6,00:00:15.29,00:00:15.29,"pot. Two new tribes, a whole new"
7,00:00:17.25,00:00:17.25,game. At the new Raro tribe...
8,00:00:22.25,00:00:22.25,>> There are so many men on this tribe now.
9,00:00:24.25,00:00:24.25,"Seems like we got all the, like, really big, buff guys."
10,00:00:26.71,00:00:26.71,"Your pants are falling off, Nate."
11,00:00:29.62,00:00:29.62,I'm absolutely going to flirt with him.
12,00:00:31.58,00:00:31.58,It's what I do best. >> PROBST: At the new Aitu...
13,00:00:34.42,00:00:34.42,">> I trust Yul, I trust Candice."
14,00:00:36.38,00:00:36.38,>> I totally agree. >> PROBST: ...new plans were
15,00:00:38.12,00:00:38.12,laid. >> Becky came right to me.
16,00:00:39.83,00:00:39.83,"She said, "" Yul and I would like to get together with you"
17,00:00:41.88,00:00:41.88,"and Candice."" I said, ""I believe that I have"
18,00:00:43.42,00:00:43.42,"Flicka."" Stay with me and Candice and"
19,00:00:45.25,00:00:45.25,we'll take these other two and the five of us will go to the
20,00:00:47.54,00:00:47.54,merge. >> PROBST: And Yul solidified
21,00:00:49.38,00:00:49.38,his bond with Becky. >> I found the idol.
22,00:00:51.46,00:00:51.46,>> It's so awesome. >> It's a huge advantage to
23,00:00:53.62,00:00:53.62,have someone that you absolutely trust.
24,00:00:55.88,00:00:55.88,">> Oh, I'm so excited! >> Give it all you got, go!"
25,00:00:59.17,00:00:59.17,>> PROBST: During the immunity challenge...
26,00:01:01.08,00:01:01.08,Yul going try to fight them off as long as he can.
27,00:01:03.67,00:01:03.67,...Aitu was outmatched by the brawn of the new Raro tribe.
28,00:01:07.00,00:01:07.00,Raro wins immunity. Raro sent Candice to Exile
29,00:01:11.12,00:01:11.12,"Island, saving her from tribal council and jeopardizing the"
30,00:01:15.38,00:01:15.38,Aitu alliance. >> PROBST: Suddenly Becky was on
31,00:01:21.25,00:01:21.25,the chopping block. >> Jonathan...
32,00:01:27.54,00:01:27.54,">> I thought Flicka was me, so we've got a serious problem"
33,00:01:30.21,00:01:30.21,here. >> We have to let Becky go.
34,00:01:32.38,00:01:32.38,"She's a princess out here. >> She's not, like, weak, she's"
35,00:01:34.58,00:01:34.58,strong. >> PROBST: Yul and Jonathan
36,00:01:36.75,00:01:36.75,scrambled to save Becky. >> If five of us vote for
37,00:01:39.04,00:01:39.04,"Cecilia and three of you vote for Becky, then all of a sudden"
38,00:01:42.12,00:01:42.12,you're on the outside. Trying to convince Flicka and
39,00:01:45.25,00:01:45.25,Cao Boi to vote with us is the key.
40,00:01:48.00,00:01:48.00,"If not, then, all bets are off and it's going to be a whole"
41,00:01:51.92,00:01:51.92,different kettle of fish. >> PROBST: At tribal council it
42,00:01:55.67,00:01:55.67,"came down to Becky or Cecilia. In the end, it was Ozzy's"
43,00:01:59.17,00:01:59.17,former tribemate who was voted out.
44,00:02:01.67,00:02:01.67,"Cecilia, the tribe has spoken. 17 are left."
45,00:02:05.62,00:02:05.62,Who will be voted out tonight? >> At tribal council tonight it
46,00:02:42.17,00:02:42.17,came very close. I received three votes and
47,00:02:44.25,00:02:44.25,Cecilia received five. The alliance that I feel pretty
48,00:02:47.25,00:02:47.25,"comfortable with and pretty confident is Yul for sure,"
49,00:02:51.00,00:02:51.00,"Candice is right now on Exile Island, she's still in the"
50,00:02:54.04,00:02:54.04,"alliance, and Jonathan said that he would stay in the"
51,00:02:56.17,00:02:56.17,"alliance, too. >> No, no."
52,00:03:02.08,00:03:02.08,>> Coconut. >> I don't like hermit crabs.
53,00:03:04.42,00:03:04.42,I feel like I'm on the outside. To lose the only member of my
54,00:03:06.29,00:03:06.29,"former tribe, the person that helped me lay the foundations"
55,00:03:09.88,00:03:09.88,of everything that these people are going to enjoy makes me
56,00:03:12.25,00:03:12.25,feel like crap. If they want to vote me out
57,00:03:20.75,00:03:20.75,they should do it soon so I don't have to keep catching
58,00:03:23.04,00:03:23.04,food for them. I just don't feel like playing
59,00:03:25.17,00:03:25.17,along any more. (theme song playing)
60,00:03:35.21,00:03:35.21, Captioning sponsored by  CBS PARAMOUNT NETWORK
61,00:03:36.58,00:03:36.58, TELEVISION >> Is that Candice?
62,00:04:52.08,00:04:52.08,>> Candice. Look at her waving like Miss
63,00:04:54.04,00:04:54.04,America. (laughter)
64,00:04:56.04,00:04:56.04,">> Candice! >> Hey, guys."
65,00:04:58.42,00:04:58.42,>> How was it? >> No idol.
66,00:05:01.00,00:05:01.00,">> Oh, man. >> I think probably because I'm"
67,00:05:05.17,00:05:05.17,"the youngest, or whatever. >> You think they did it, like,"
68,00:05:12.25,00:05:12.25,"as a bad thing? >> I don't know, you guys are"
69,00:05:23.04,00:05:23.04,asking good questions because I haven't even thought about any
70,00:05:25.38,00:05:25.38,of this. I didn't have time.
71,00:05:27.46,00:05:27.46,I think probably Adam and Parvati told their tribe to
72,00:05:30.21,00:05:30.21,send me to exile. But I don't want the rest of
73,00:05:33.08,00:05:33.08,"the team to think that I have some special, you know, get out"
74,00:05:36.75,00:05:36.75,of jail free card from the other team.
75,00:05:39.04,00:05:39.04,"And everybody's like, ""Yeah, what do you think, what do you"
76,00:05:41.08,00:05:41.08,"think?"" And I said, ""Well, I don't"
77,00:05:42.62,00:05:42.62,"know, I hadn't thought about that."""
78,00:05:44.46,00:05:44.46,"You know, just played dumb. >> Oh, I didn't even think"
79,00:05:50.12,00:05:50.12,about that. My mind is...
80,00:06:08.25,00:06:08.25,>> Feels soft already. (laughter)
81,00:06:16.67,00:06:16.67,>> Like Sunday night football. >> I know.
82,00:06:20.42,00:06:20.42,It was kind of annoying that the guys were just sitting and
83,00:06:23.50,00:06:23.50,just waiting there and drinking all the coconuts they could
84,00:06:26.25,00:06:26.25,"drink and the girls were, you know, working on improving our"
85,00:06:29.08,00:06:29.08,shelter. They're starting to rule the
86,00:06:31.71,00:06:31.71,roost a little bit. I think they're getting very
87,00:06:34.92,00:06:34.92,comfortable with their position in this tribe.
88,00:06:37.21,00:06:37.21,"Because they know that we need them, they're strong."
89,00:06:45.17,00:06:45.17,>> No. >> No way.
90,00:06:47.38,00:06:47.38,>> You think they were? >> I don't know.
91,00:06:49.96,00:06:49.96,">> Even if they all do think, what's that going to do to us?"
92,00:06:54.12,00:06:54.12,"Nothing. You know, we're all fired up on"
93,00:06:57.79,00:06:57.79,how dominant and strong we are as a tribe right now.
94,00:07:00.71,00:07:00.71,"As a group of guys we're way, way stronger than the other"
95,00:07:04.83,00:07:04.83,tribe's group of guys. And I think the testosterone's
96,00:07:08.29,00:07:08.29,flying a little bit and the guys want to stick together.
97,00:07:11.17,00:07:11.17,These girls are going to need manpower for sure.
98,00:07:13.75,00:07:13.75,So the four guy alliance is definitely relaxed.
99,00:07:22.17,00:07:22.17,">> PROBST: Come on in, guys. Raro, getting your first look"
100,00:07:31.29,00:07:31.29,at the new Aitu tribe. Cecilia voted out at the last
101,00:07:34.92,00:07:34.92,"tribal council. All right, today's challenge is"
102,00:07:44.58,00:07:44.58,for reward. Each tribe will select two
103,00:07:48.12,00:07:48.12,tribe members to be attached by belt to a very long rope that
104,00:07:52.08,00:07:52.08,"snakes over, under and around a series of obstacles."
105,00:07:56.58,00:07:56.58,The rest of the tribe will push and pull those two tribe
106,00:08:00.12,00:08:00.12,members through all of the obstacles.
107,00:08:02.83,00:08:02.83,At the end of the rope is a decoder table.
108,00:08:05.17,00:08:05.17,"Once the entire tribe reaches the table, one tribe member will"
