,begin,end,subtitles_text
0,00:00:00.00,00:00:00.00,
1,00:00:01.07,00:00:01.07,- Previously on Survivor...
2,00:00:02.97,00:00:02.97,The members of Moto Maji wereweak and hungry.
3,00:00:05.37,00:00:05.37,- Do we want the mush or do wewant the gruel this morning?
4,00:00:07.87,00:00:07.87,- Lex was on shakyground with his alliance.
5,00:00:10.03,00:00:10.03,"- Lex gave his wordto Brandon,"
6,00:00:11.87,00:00:11.87,"but he gavehis word to us, also."
7,00:00:14.17,00:00:14.17,He kind of went out on his ownand covered his own ass.
8,00:00:16.53,00:00:16.53,"- From here on out,I have a question with Lex."
9,00:00:20.10,00:00:20.10,- But Lex guaranteedhimself
10,00:00:21.33,00:00:21.33,three more days by winningimmunity.
11,00:00:23.67,00:00:23.67,Lex wins immunity.
12,00:00:24.93,00:00:24.93,"- Good job, Lex."
13,00:00:26.57,00:00:26.57,"- Back at camp,Frank spoke his mind"
14,00:00:28.17,00:00:28.17,a little too bluntly.
15,00:00:29.40,00:00:29.40,- These little liberalspecial interest groups
16,00:00:31.30,00:00:31.30,"that the mediagive open market to,"
17,00:00:33.13,00:00:33.13,instead of the averageworking-class American
18,00:00:35.13,00:00:35.13,that founded this country...
19,00:00:36.13,00:00:36.13,"- Okay, enough!All right, enough."
20,00:00:37.47,00:00:37.47,- Today isTribal Council day.
21,00:00:39.17,00:00:39.17,You don't want to reallyruffle any feathers.
22,00:00:41.10,00:00:41.10,"- At Tribal Council,Frank paid for his opinions."
23,00:00:43.67,00:00:43.67,Even Teresavoted against him.
24,00:00:45.80,00:00:45.80,Only six remain.
25,00:00:47.67,00:00:47.67,"Tonight,the stakes grow higher"
26,00:00:49.37,00:00:49.37,as one more is votedout of the tribe.
27,00:00:52.07,00:00:52.07,(singing in native language)
28,00:00:55.53,00:00:55.53,♪♪
29,00:02:07.00,00:02:07.00,- Kill timemaking a bracelet.
30,00:02:08.90,00:02:08.90,- Cool.That has holes in it?
31,00:02:11.60,00:02:11.60,- I made that.That slip was through.
32,00:02:15.93,00:02:15.93,"It was all, like, strategicallykind of placed."
33,00:02:18.27,00:02:18.27,"- I'm surrounded by people Ienjoy, but yet I'm so alone."
34,00:02:21.30,00:02:21.30,"You are so alone, because theyare your friends, but, you know,"
35,00:02:24.77,00:02:24.77,I only met thema month ago.
36,00:02:26.27,00:02:26.27,- As tight as you canon it.
37,00:02:27.83,00:02:27.83,"- You know,I hold back a lot."
38,00:02:29.23,00:02:29.23,"You know, I don't revealeverything about myself."
39,00:02:32.37,00:02:32.37,"Even though I'm surrounded bypeople all the time,"
40,00:02:34.73,00:02:34.73,I still feel so alone.
41,00:02:38.07,00:02:38.07,"- You've got mail.- Oh, a diary."
42,00:02:43.30,00:02:43.30,"- This could be huge, guys.- All right."
43,00:02:46.80,00:02:46.80,"- All right, and it reads,""You think you know them"
44,00:02:53.77,00:02:53.77,"""and that they know you."
45,00:02:58.50,00:02:58.50,"""It's time to find outif that really is true."
46,00:03:04.63,00:03:04.63,"""For the winner, a prizethat takes you away,"
47,00:03:11.77,00:03:11.77,"but that is just the beginningof an unforgettable day."""
48,00:03:18.77,00:03:18.77,- Cool!
49,00:03:20.60,00:03:20.60,"- I think it's a fair guessthat, um,"
50,00:03:22.73,00:03:22.73,"this challenge isearly, because, we..."
51,00:03:24.67,00:03:24.67,whoever wins is going ona trip today.
52,00:03:26.60,00:03:26.60,"- Oh, God."
53,00:03:40.30,00:03:40.30,"- Well, seeing as howyou guys have been away"
54,00:03:42.80,00:03:42.80,"for over a month,I figure you got to be"
55,00:03:45.50,00:03:45.50,missing the loved onesa little bit.
56,00:03:47.50,00:03:47.50,So I called them upand asked them
57,00:03:49.67,00:03:49.67,to put togethera little greeting.
58,00:03:51.07,00:03:51.07,"- Oh, my God.- Which may also help you"
59,00:03:52.73,00:03:52.73,to get to know yourtribe mates a little better.
60,00:03:54.63,00:03:54.63,"Miss Johnson,you're up first."
61,00:03:57.47,00:03:57.47,- We have two pieces of news--good news and bad news.
62,00:04:00.47,00:04:00.47,"The good news is, we're stillgetting married."
63,00:04:01.80,00:04:01.80,The invitationsare going out.
64,00:04:02.83,00:04:02.83,The bad news isthat you are not here
65,00:04:04.43,00:04:04.43,and that we miss youdearly.
66,00:04:05.93,00:04:05.93,"- Hi, Kippy.- I miss you, Mom."
67,00:04:09.73,00:04:09.73,- Hope you are doing okay.
68,00:04:11.47,00:04:11.47,- It's tough surviving aroundhere without you.
69,00:04:13.63,00:04:13.63,"Love you, and we hope above all,you are having a ball."
70,00:04:18.03,00:04:18.03,See you soon.
71,00:04:20.47,00:04:20.47,- Isn't he so cool?Thank you.
72,00:04:23.87,00:04:23.87,- Does something likethat give you the strength
73,00:04:25.73,00:04:25.73,"to go on or make youthink, ""I got to get home""?"
74,00:04:28.10,00:04:28.10,"- I think they arerooting for me so much,"
75,00:04:30.00,00:04:30.00,"and we're so closeto the end now,"
76,00:04:31.73,00:04:31.73,that it does give methe strength to go on.
77,00:04:34.10,00:04:34.10,"- All right, Miss Cooper.- Oh, God."
78,00:04:36.63,00:04:36.63,"- Hi, Teresa,you remember us?"
79,00:04:38.70,00:04:38.70,"We are your familyin Jackson, Georgia."
80,00:04:40.33,00:04:40.33,We miss you.
81,00:04:41.33,00:04:41.33,- I been marking off mycalendar.
82,00:04:43.53,00:04:43.53,Mommy and I arepraying for you.
83,00:04:44.93,00:04:44.93,"I miss you.- I miss you, too, baby."
84,00:04:46.43,00:04:46.43,- I've been marking offmy calendar
85,00:04:48.13,00:04:48.13,and I've been sleepingwith my monkey bed.
86,00:04:51.07,00:04:51.07,And I love you.That's all I wanted to say.
87,00:04:53.67,00:04:53.67,"- Hi, T-Bird!- Hey, Daddy."
88,00:04:56.23,00:04:56.23,"- I love you, honey--do good."
89,00:04:58.27,00:04:58.27,We'll see youwhen you come back.
90,00:04:59.37,00:04:59.37,"We'll be waiting on you.- Bye, T."
91,00:05:01.37,00:05:01.37,"- Bye, Mom!- Bye, Mom!"
92,00:05:02.77,00:05:02.77,"- Bye, babies."
93,00:05:04.30,00:05:04.30,"- It's great, that's great."
94,00:05:06.87,00:05:06.87,- Ethan.- All right.
95,00:05:08.30,00:05:08.30,"- Your turn.- Hi, Ethan, honey."
96,00:05:12.17,00:05:12.17,"We just finishedeating dinner,"
97,00:05:13.70,00:05:13.70,and we are havinga little trouble.
98,00:05:17.17,00:05:17.17,- They're drunk.
99,00:05:19.83,00:05:19.83,- We're sittingon the couch.
100,00:05:24.03,00:05:24.03,- My mom is drunk.
101,00:05:25.37,00:05:25.37,- We like having a one-wayconversation with you
102,00:05:27.47,00:05:27.47,"when youcan't talk back,"
103,00:05:28.83,00:05:28.83,"and we love youand good luck, kid."
104,00:05:32.83,00:05:32.83,"- Oh, that's so cool."
105,00:05:34.70,00:05:34.70,"- Big Tom,you are up, fellow."
106,00:05:37.27,00:05:37.27,- Goat's about to eat us uphere on the golf cart.
107,00:05:40.20,00:05:40.20,We are taking care of them.
108,00:05:41.60,00:05:41.60,"I bet the big guy's beenplaying a little golf,"
109,00:05:45.40,00:05:45.40,chasing a littlebeaver.
110,00:05:46.97,00:05:46.97,"You know, same old stuff.Over and out, big guy."
111,00:05:49.73,00:05:49.73,Kick some ass.
112,00:05:51.67,00:05:51.67,"- Hey, Tom, I sure do miss youaround here."
113,00:05:54.57,00:05:54.57,"Had a lot of time, so I've beenriding this old stud here"
114,00:05:58.77,00:05:58.77,sinceI don't have one at home.
115,00:06:00.83,00:06:00.83,We do miss youand everything is going fine.
116,00:06:02.53,00:06:02.53,We look forwardto having you back.
117,00:06:05.10,00:06:05.10,I love youand we'll see you later.
118,00:06:06.53,00:06:06.53,Bye-bye.
119,00:06:08.87,00:06:08.87,"- See, they don't have any morecontrol over the goats"
120,00:06:11.07,00:06:11.07,than you did.
121,00:06:12.40,00:06:12.40,(laughter)
122,00:06:13.73,00:06:13.73,"- All right, Powers."
123,00:06:16.40,00:06:16.40,- I miss you more every day.
124,00:06:18.37,00:06:18.37,"- Oh, my God."
125,00:06:19.70,00:06:19.70,- Sometimes I just have to callyour voice mail
126,00:06:22.03,00:06:22.03,so I can hear your voice.
127,00:06:24.27,00:06:24.27,"I know that you are fine, and Iknow you are doing real well."
128,00:06:30.07,00:06:30.07,Love you lots.Have fun.
129,00:06:33.03,00:06:33.03,Enjoy.Remember how much I love you.
130,00:06:37.17,00:06:37.17,- Nice.
131,00:06:39.67,00:06:39.67,- You can tellas your mom--
132,00:06:41.67,00:06:41.67,"the reasonit stops and starts,"
