,begin,end,subtitles_text
0,00:00:00.00,00:00:00.00,
1,00:00:01.60,00:00:01.60,JEFF PROBST: Previously on Survivor...
2,00:00:03.20,00:00:03.20, 16 strangers were marooned on Taratao Island
3,00:00:06.70,00:00:06.70, in exotic Thailand.
4,00:00:08.43,00:00:08.43," The two oldest survivors, Jan and Jake,"
5,00:00:11.23,00:00:11.23, were allowed to choose their own tribes.
6,00:00:13.23,00:00:13.23,"JAN: When Jeff said that we were picking the tribes,"
7,00:00:15.67,00:00:15.67,I really did kind of get scared.
8,00:00:17.43,00:00:17.43,"PROBST: Jan chose an older group for her tribe, Chuay Gahn,"
9,00:00:19.97,00:00:19.97, while Jake went with youth and brawn for Sook Jai.
10,00:00:23.23,00:00:23.23,JAKE: I based picking a team on athleticism
11,00:00:25.70,00:00:25.70, and just that gleam in their eye.
12,00:00:27.23,00:00:27.23,PROBST: The Chuay Gahn tribe found
13,00:00:28.87,00:00:28.87, a ready-made shelter on their beach.
14,00:00:30.50,00:00:30.50,We got a natural caveand everything.
15,00:00:32.37,00:00:32.37,PROBST: But their water hole was far from camp
16,00:00:34.93,00:00:34.93, -and difficult to find. -There's no way that we're
17,00:00:36.80,00:00:36.80,supposed to be able tocome up here every couple days
18,00:00:38.67,00:00:38.67,with a big huge gallon jug.
19,00:00:40.23,00:00:40.23,PROBST: The Sook Jai tribe found their water hole nearby.
20,00:00:43.23,00:00:43.23,Yeah!
21,00:00:44.57,00:00:44.57,PROBST: But the tribe butted heads
22,00:00:45.70,00:00:45.70, over their shelter.
23,00:00:47.03,00:00:47.03,ROBB: So many people are going so many directions
24,00:00:48.60,00:00:48.60,and they're notproducing anything.
25,00:00:49.67,00:00:49.67,"PROBST: Back at Chuay Gahn,"
26,00:00:51.27,00:00:51.27, Tanya was feeling sick.
27,00:00:52.60,00:00:52.60,I don't think I drankenough water yesterday.
28,00:00:55.23,00:00:55.23,Go!
29,00:00:56.43,00:00:56.43," At the first immunity challenge,"
30,00:00:57.77,00:00:57.77, the older Chuay Gahn tribe surprised everyone
31,00:00:59.43,00:00:59.43, by taking an early lead.
32,00:01:01.20,00:01:01.20, But Ghandia gave it away
33,00:01:02.97,00:01:02.97, when she struggled with the sliding puzzle.
34,00:01:04.83,00:01:04.83,Hurry up! Hurry up!
35,00:01:06.03,00:01:06.03,Sook Jai wins immunity!
36,00:01:08.60,00:01:08.60," Chuay Gahn went to Tribal Council, where Pastor John"
37,00:01:11.50,00:01:11.50, was the first person voted out of the tribe.
38,00:01:14.10,00:01:14.10,The tribe has spoken.
39,00:01:16.17,00:01:16.17, 15 are left.
40,00:01:17.53,00:01:17.53, Who will be the next to go?
41,00:02:36.80,00:02:36.80,(snoring)
42,00:02:47.37,00:02:47.37,(snoring continues)
43,00:02:54.63,00:02:54.63,(snickering)
44,00:02:55.87,00:02:55.87,What?
45,00:02:56.97,00:02:56.97,(laughing)
46,00:02:59.47,00:02:59.47,You're snoring.
47,00:03:04.07,00:03:04.07,"Oh, Lord, with all that snoring,I didn't get no sleep."
48,00:03:06.80,00:03:06.80,"HELEN: As a tribe, you do sleep in"
49,00:03:08.60,00:03:08.60," very close quarters, and it's hard."
50,00:03:11.80,00:03:11.80," Clay snores. I don't know how a guy that's only, like,"
51,00:03:14.40,00:03:14.40,five-five has that much soundcoming out of his body.
52,00:03:17.33,00:03:17.33," But out here, quite frankly,"
53,00:03:19.27,00:03:19.27," by the time everybody hits the sack,"
54,00:03:21.07,00:03:21.07,we're exhausted.
55,00:03:23.00,00:03:23.00,Ready to roll?
56,00:03:24.30,00:03:24.30,Let's rock and roll.
57,00:03:25.53,00:03:25.53,"One, two, three."
58,00:03:30.33,00:03:30.33,(groaning):Oh.
59,00:03:32.03,00:03:32.03,We're almost there.
60,00:03:33.03,00:03:33.03,(groaning):Oh.
61,00:03:34.47,00:03:34.47,GHANDIA: The boat that we have is a piece of crap.
62,00:03:37.43,00:03:37.43," It fills with sand, it fills with water,"
63,00:03:39.40,00:03:39.40,"we have to tip it over,it's extremely heavy."
64,00:03:41.73,00:03:41.73," With our water source being as far away as it is,"
65,00:03:45.53,00:03:45.53, it just makes the journey to go get water
66,00:03:47.57,00:03:47.57,even more frustrating.
67,00:03:54.27,00:03:54.27,CLAY: Helen and Jan didn't take the map with them;
68,00:03:56.47,00:03:56.47, they thought they could figure it out.
69,00:03:58.40,00:03:58.40, And that's one of Helen's deals.
70,00:03:59.90,00:03:59.90," ""I know where it is,I know how to do it. Let's go."""
71,00:04:01.70,00:04:01.70, When she doesn't.
72,00:04:02.70,00:04:02.70,That's the first thing we asked.
73,00:04:03.73,00:04:03.73,"Well, didn't they take the map?"
74,00:04:04.90,00:04:04.90,We turn aroundand there's the map.
75,00:04:14.30,00:04:14.30,"-Okay, you're going.-Yep."
76,00:04:15.83,00:04:15.83,Take the strap.
77,00:04:17.27,00:04:17.27,"Okay, when you come back,I'll go."
78,00:04:18.93,00:04:18.93,All right.
79,00:04:20.33,00:04:20.33,Gives me a little rest.
80,00:04:42.73,00:04:42.73,(sighs)
81,00:04:44.77,00:04:44.77,"I don't thinkthis is right, Jan."
82,00:04:48.40,00:04:48.40,HELEN: We went beyond the right cove into
83,00:04:51.30,00:04:51.30, the absolute wrong cove.
84,00:04:52.93,00:04:52.93," That was, like,"
85,00:04:54.23,00:04:54.23,"huge, huge mistake."
86,00:04:56.83,00:04:56.83, It looked like it was honeycombed with snake holes.
87,00:05:00.63,00:05:00.63, And Jan
88,00:05:02.00,00:05:02.00,nicely volunteeredto stay with the boat
89,00:05:03.70,00:05:03.70,on all the explorations.
90,00:05:05.20,00:05:05.20,Think maybe it wasthat first alcove we went into?
91,00:05:11.13,00:05:11.13,Yeah.
92,00:05:21.80,00:05:21.80,TED: This is a--
93,00:05:23.63,00:05:23.63,That's par threeor par four right here?
94,00:05:25.97,00:05:25.97,Where's the hole?Right there?
95,00:05:26.97,00:05:26.97,"Oh, it's got to be a par three."
96,00:05:28.43,00:05:28.43,This is a par three?
97,00:05:29.53,00:05:29.53,"-There's the tee box.-Okay, cool."
98,00:05:31.03,00:05:31.03,Ooh! Ooh!
99,00:05:33.53,00:05:33.53,"CLAY: My luxury item is a golf club,"
100,00:05:35.63,00:05:35.63,and we have set up three holes.
101,00:05:37.17,00:05:37.17,"We got a par five,"
102,00:05:38.50,00:05:38.50, we got a par three and a par six.
103,00:05:40.40,00:05:40.40,-Look out for the water!-There's the water hole!
104,00:05:42.90,00:05:42.90,(laughter)
105,00:05:44.77,00:05:44.77,CLAY: And we're in top competition.
106,00:05:46.43,00:05:46.43," They're both ahead of me two shots,"
107,00:05:48.30,00:05:48.30,and I'm the one that broughtthe luxury item here.
108,00:05:50.33,00:05:50.33,Here goes Clay...
109,00:05:53.57,00:05:53.57,"Ooh, nice-- Oh!"
110,00:05:55.43,00:05:55.43,-Oh!-(laughter)
111,00:05:57.53,00:05:57.53,"Oh, baby!"
112,00:05:59.83,00:05:59.83,(laughter)
113,00:06:10.63,00:06:10.63,"HELEN: Stupidly, we kept going in the wrong direction."
114,00:06:14.13,00:06:14.13, We got into a wicked bad current.
115,00:06:16.20,00:06:16.20," And Jan's a nice lady and strong swimmer,"
116,00:06:18.80,00:06:18.80, but she's not as strong as I am upper body.
117,00:06:21.10,00:06:21.10,"So I'm, like, compensatingin the back, and she just--"
118,00:06:23.73,00:06:23.73, She's older than I am.
119,00:06:25.13,00:06:25.13, She definitely-- you can look at her--
120,00:06:26.53,00:06:26.53, she doesn't have as much upper body strength.
121,00:06:28.50,00:06:28.50, So I can't get mad at that; that's just a physical fact.
122,00:06:31.80,00:06:31.80,"This looks like the beach more,"
123,00:06:34.50,00:06:34.50,the one that we swam to.
124,00:06:36.30,00:06:36.30,"HELEN: It was a nightmare. At one point,"
125,00:06:38.30,00:06:38.30, I was about ready-- if I had a pistol
126,00:06:39.77,00:06:39.77," in my pocket, I would have pulled it out,"
127,00:06:41.17,00:06:41.17,"shot her first, shot me second."
128,00:06:44.37,00:06:44.37,That's why I don't carry a gun.
129,00:06:54.77,00:06:54.77,"JAKE: The number one priority has been,"
130,00:06:56.43,00:06:56.43," for four days out here,"
131,00:06:57.73,00:06:57.73,to get usa really nice shelter built.
132,00:07:01.70,00:07:01.70," It's really important because,"
133,00:07:02.93,00:07:02.93," I mean, we're in the monsoon season."
134,00:07:05.10,00:07:05.10,Do you want to guaranteebeing dry?
135,00:07:07.13,00:07:07.13,"When the rain comes,the water hits this,"
136,00:07:10.10,00:07:10.10,it pours it down into the gutter
137,00:07:11.87,00:07:11.87,and the gutter justpours it right off.
138,00:07:13.47,00:07:13.47,"All right, well,let's get cracking."
139,00:07:16.80,00:07:16.80,JAKE: The shelter has become almost
140,00:07:19.10,00:07:19.10, an obsession to the tribe.
141,00:07:21.03,00:07:21.03," But Stephanie and Jed have not worked on the hut very much,"
142,00:07:24.17,00:07:24.17, which has caused problems with
143,00:07:25.53,00:07:25.53,the people who've beenworking on the hut.
144,00:07:28.80,00:07:28.80,It'd be greatif somebody out there
145,00:07:29.90,00:07:29.90,could collect some moreof this rope.
146,00:07:31.93,00:07:31.93,Jed ain't doing anything.
147,00:07:32.93,00:07:32.93,You think he cares?
148,00:07:35.27,00:07:35.27,(chuckles)
149,00:07:36.33,00:07:36.33,"Well, no,I know he doesn't care,"
150,00:07:37.83,00:07:37.83,but that's not the point.
151,00:07:39.37,00:07:39.37,"KEN: If I was in his place, I would want to try"
152,00:07:41.90,00:07:41.90," to help as much as possible,"
153,00:07:43.13,00:07:43.13, knowing that I stood out so much.
154,00:07:44.43,00:07:44.43," It's one thing to be lazy, but to be"
155,00:07:47.50,00:07:47.50,freakin' lazy is another thing.
156,00:07:49.27,00:07:49.27,"You know, you're putting itin everybody's face"
157,00:07:50.80,00:07:50.80,that you're not going to doa damn thing.
158,00:07:52.53,00:07:52.53,What do you want to do today?
159,00:07:54.53,00:07:54.53,"-Build the fort?-I mean, I know"
160,00:07:56.23,00:07:56.23,"shelter's important, but I justcan't get into that right now."
161,00:07:59.97,00:07:59.97,JED: Spending your energy building a shelter
162,00:08:01.97,00:08:01.97, seems kind of frivolous to me.
163,00:08:04.50,00:08:04.50,"I mean, it's the fourth dayand it's not even done."
164,00:08:08.53,00:08:08.53,STEPHANIE: Maybe I'm looking at it all wrong.
165,00:08:10.67,00:08:10.67, Maybe they're looking at it right.
166,00:08:11.77,00:08:11.77,(chuckles)
167,00:08:13.10,00:08:13.10,Maybe we really don't needthe food and water.
168,00:08:16.20,00:08:16.20, I just don't think that theyunderstand what they have to do
169,00:08:19.30,00:08:19.30, to survive in a situation like this.
170,00:08:21.40,00:08:21.40," 'Cause right now, Jed'spretty much taking care of food"
171,00:08:24.53,00:08:24.53, and I've been primarily the water.
172,00:08:26.20,00:08:26.20," So if he took the two of us out of the equation,"
173,00:08:29.33,00:08:29.33,I'm not surehow the other six would do.
174,00:08:31.93,00:08:31.93,"Drink up, man."
175,00:08:33.17,00:08:33.17,"I want you to be healthy, okay?"
176,00:08:34.80,00:08:34.80,ROBB: Jed didn't necessarily
177,00:08:35.87,00:08:35.87," help us at all with the shelter,"
178,00:08:37.33,00:08:37.33," which I was kind of upset about, but he's done"
179,00:08:38.97,00:08:38.97, a lot of work. There's gonna be
180,00:08:40.20,00:08:40.20, little things that are gonna upset me.
181,00:08:41.23,00:08:41.23," And I can't let them all just,"
182,00:08:42.60,00:08:42.60," you know, really get to me."
183,00:08:44.00,00:08:44.00,"'Cause I got a while out here,and I want to remain"
184,00:08:45.93,00:08:45.93,pretty good friendswith everybody.
185,00:08:53.97,00:08:53.97,BRIAN: It's little surprising that they're not back yet
186,00:08:55.83,00:08:55.83,with the water.
187,00:08:56.87,00:08:56.87,Think they're all right?
188,00:08:57.87,00:08:57.87,"I'm hoping they would be,"
189,00:08:59.20,00:08:59.20,"'cause the best I can figure,it'd take you"
190,00:09:01.13,00:09:01.13,"an hour to row there to get it,and then start paddling back."
191,00:09:04.37,00:09:04.37,Three hours at the most.
192,00:09:05.43,00:09:05.43,But we would be-- we should be
193,00:09:06.67,00:09:06.67,"seeing them,and we haven't seen nothing."
194,00:09:17.60,00:09:17.60,Helen?
195,00:09:19.03,00:09:19.03,Are you coming?
196,00:09:23.67,00:09:23.67,"I got it, Jan!"
197,00:09:25.83,00:09:25.83,(sighs)
198,00:09:26.83,00:09:26.83,Thank God.
199,00:09:28.93,00:09:28.93,I won't have to slap youin the face this time.
200,00:09:30.83,00:09:30.83,HELEN: Thank God.
201,00:09:31.93,00:09:31.93, I finally found the water source.
202,00:09:35.13,00:09:35.13," We were here the other day, but it's like what they say"
203,00:09:38.03,00:09:38.03,about being lost in the desert:
204,00:09:39.63,00:09:39.63, it all looks the same after a while.
205,00:09:41.53,00:09:41.53,"We way overshotour destination,"
206,00:09:43.60,00:09:43.60,"we tried every beach,"
207,00:09:46.40,00:09:46.40,"and I don't know,all of a sudden,"
208,00:09:47.90,00:09:47.90,"God just put it in my mind,I guess."
209,00:09:51.00,00:09:51.00,"But, boy, I'm telling you,I am so dehydrated,"
210,00:09:53.23,00:09:53.23,I'm about ready to pass out.
