,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00, >> JEFF PROBST: Previously on
2,00:00:02.50,00:00:02.50,Survivor... >> Yes!
3,00:00:05.12,00:00:05.12,>> PROBST: ...despite winning challenges...
4,00:00:06.54,00:00:06.54,Airai wins! ...the Airai tribe was losing
5,00:00:08.83,00:00:08.83,"players. First, Jonathan."
6,00:00:11.62,00:00:11.62,>> I can't be here one more minute.
7,00:00:13.21,00:00:13.21,">> PROBST: Then Kathy. On Exile Island, Ozzy found the"
8,00:00:16.25,00:00:16.25,hidden immunity idol and replaced it with a fake one as a
9,00:00:20.04,00:00:20.04,"decoy, which was discovered by Jason."
10,00:00:23.33,00:00:23.33,">> There we go, baby. I guess this is the hidden"
11,00:00:26.71,00:00:26.71,"immunity idol. >> PROBST: At Malakal, Ozzy"
12,00:00:29.08,00:00:29.08,practically adopted Erik. >> They're like The Lion King--
13,00:00:32.88,00:00:32.88,"the father, when he was teaching the cub."
14,00:00:35.25,00:00:35.25,">> PROBST: So when his tribe was facing tribal council, he knew"
15,00:00:38.00,00:00:38.00,exactly who he wanted to vote out.
16,00:00:39.88,00:00:39.88,>> I don't think that there's any argument for keeping Tracy.
17,00:00:43.04,00:00:43.04,>> PROBST: But Ami saw a chance to turn against the favorites
18,00:00:45.62,00:00:45.62,and go after Ozzy. >> Sometimes you have to pull
19,00:00:48.21,00:00:48.21,the dirty cards to stay in the game.
20,00:00:50.67,00:00:50.67,">> PROBST: Tracy also went after Ozzy, warning everyone that he's"
21,00:00:53.54,00:00:53.54,not only the tribe leader but the biggest threat.
22,00:00:56.50,00:00:56.50,>> I think I'd be a better tribe member than somebody that's
23,00:00:58.96,00:00:58.96,going to demolish you if you do go to the merge.
24,00:01:01.50,00:01:01.50,">> PROBST: But in the end, Ami sided with the favorites."
25,00:01:04.17,00:01:04.17,"Seventh person voted out of Survivor: Fans vs. Favorites,"
26,00:01:06.08,00:01:06.08,"Tracy. And Tracy was sent home, leaving"
27,00:01:09.17,00:01:09.17,Erik as the only remaining fan on the Malakal tribe.
28,00:01:14.46,00:01:14.46,11 are left. Who will be voted out tonight?
29,00:01:40.04,00:01:40.04,">> Tonight at tribal, Tracy went home."
30,00:01:42.88,00:01:42.88,"I feel lucky to be here still. I feel really, really lucky to"
31,00:01:45.58,00:01:45.58,still be here and have a shot at this game.
32,00:01:48.58,00:01:48.58,"But I am scared to death, because I'm the last fan left,"
33,00:01:53.54,00:01:53.54,and I don't think I see any leeway with these favorites.
34,00:01:57.17,00:01:57.17,"I feel like I'm the next to go, no matter what happens now in"
35,00:02:00.62,00:02:00.62,"the future. >> Here, scratch my back."
36,00:02:19.58,00:02:19.58,>> Tribal council was a little bit of an eye opener.
37,00:02:22.17,00:02:22.17,Tracy described me as the leader.
38,00:02:24.33,00:02:24.33,I really don't think that I'm the leader.
39,00:02:27.29,00:02:27.29,I just think that I've got a lot of good opinions and a lot of
40,00:02:31.17,00:02:31.17,"know-how when it comes to surviving out here, and people"
41,00:02:34.21,00:02:34.21,respect that. Even though I think I'm a
42,00:02:37.21,00:02:37.21,"valuable asset, I'm going to have a giant target on my back."
43,00:02:40.17,00:02:40.17,And that's the kind of situation that I want to avoid.
44,00:02:46.00,00:02:46.00, Captioning sponsored by  CBS PARAMOUNT NETWORK
45,00:02:48.00,00:02:48.00, TELEVISION ( theme song playing )
