,begin,end,subtitles_text
0,00:00:00.00,00:00:00.00,>> JEFF PROBST: Previously on
1,00:00:02.63,00:00:02.63,Survivor:After helping to vote out
2,00:00:05.10,00:00:05.10,"Andrew, Lill was feeling goodabout turning on her former"
3,00:00:07.57,00:00:07.57,Morgan Tribe.>> Usually I have regrets
4,00:00:10.07,00:00:10.07,"stabbing someone in the back.This time, I feel like"
5,00:00:13.53,00:00:13.53,I stood up for myself.>> PROBST: At the reward
6,00:00:15.77,00:00:15.77,challenge...Fire.
7,00:00:17.17,00:00:17.17,...Rupert had the sharpest aim.There it is!
8,00:00:20.03,00:00:20.03,>> Yes!>> PROBST: Rupert wins reward!
9,00:00:22.00,00:00:22.00,But decided to givethe reward away.
10,00:00:24.17,00:00:24.17,>> Burton gave me theimmunity last night.
11,00:00:26.57,00:00:26.57,"I'll give him the breakfast.>> PROBST: Burton, you're"
12,00:00:28.97,00:00:28.97,going to breakfastand you're taking
13,00:00:30.83,00:00:30.83,somebody with you.Burton chose Lill to join him
14,00:00:34.30,00:00:34.30,"for a breakfast feast.>> Oh, my Lord."
15,00:00:36.93,00:00:36.93,>> PROBST: They indulged.>> To the outcasts.
16,00:00:39.83,00:00:39.83,>> To the outcasts.>> PROBST: And Burton hatched a
17,00:00:41.97,00:00:41.97,plan to get rid of Rupert.>> We've got to get
18,00:00:44.13,00:00:44.13,"Rupert off right now.Okay, so you need to"
19,00:00:46.10,00:00:46.10,"make friends with Christa andsay, ""Listen, I'm going along"
20,00:00:48.27,00:00:48.27,"with whatever you guys want."">> Well, see, now, it's starting"
21,00:00:51.43,00:00:51.43,to lie and I'm goingto have a problem with that.
22,00:00:53.87,00:00:53.87,">> PROBST: At the immunitychallenge, Rupert guaranteed"
23,00:00:56.00,00:00:56.00,himself three more daysby defeating all the others.
24,00:01:00.70,00:01:00.70,"And with that,Rupert has immunity."
25,00:01:03.37,00:01:03.37,"( laughing )Back at camp,"
26,00:01:06.97,00:01:06.97,Ryno was feeling vulnerableand tried some last minute
27,00:01:09.50,00:01:09.50,"strategizing.I could get the two girls,"
28,00:01:12.97,00:01:12.97,"and if you could get Lill,you know, we kind of"
29,00:01:15.77,00:01:15.77,control our own destiny.>> PROBST: But at Tribal
30,00:01:18.10,00:01:18.10,Council...Ryan.
31,00:01:20.97,00:01:20.97,"Ryno was voted out.>> I'll be back, guys."
32,00:01:25.13,00:01:25.13,>> PROBST: He became the firstmember of the jury.
33,00:01:27.77,00:01:27.77,Eight are left.Who will be voted out tonight?
34,00:01:33.50,00:01:33.50,Captioning sponsored byCBS PARAMOUNT
35,00:01:35.50,00:01:35.50,NETWORK TELEVISION( thunder rumbling )
36,00:02:43.53,00:02:43.53,( thunder crashing )( snake hissing )
37,00:02:58.43,00:02:58.43,>> Nighttime is my one bad time.If I could go just 39 days
38,00:03:05.10,00:03:05.10,"and never have to sleep,I would make this beautifully."
39,00:03:09.83,00:03:09.83,But nighttime is killing me.( quietly ): Just got to make it
40,00:03:16.43,00:03:16.43,through another day.And another and another
41,00:03:18.60,00:03:18.60,"and another and another...At night out here,"
42,00:03:23.37,00:03:23.37,I start thinking about family.That's when I miss my family.
43,00:03:26.63,00:03:26.63,"( thunder crashing )I tell Laura, my wife,"
44,00:03:32.03,00:03:32.03,"all my woes and sorrows,all my triumphs."
45,00:03:36.67,00:03:36.67,I tell Laura everything.And I want for everyone to see
46,00:03:44.00,00:03:44.00,I am the best damn survivorthat has ever been.
47,00:03:48.50,00:03:48.50,I am it.I know they will.
48,00:03:53.47,00:03:53.47,"Shouldn't think that way,I know."
49,00:03:55.77,00:03:55.77,I know.I know. I know.
50,00:03:57.67,00:03:57.67,I hear you.I hear you.
51,00:04:01.07,00:04:01.07,Take it downto the one or two people
52,00:04:03.47,00:04:03.47,"that I truly,really care about."
53,00:04:05.57,00:04:05.57,I care about Sandraand Christa.
54,00:04:07.70,00:04:07.70,They care about me.It's very hard keeping
55,00:04:12.20,00:04:12.20,mentally aware of everythingthat's going on around here.
56,00:04:15.13,00:04:15.13,I try to guide everythingthat goes on on my island.
57,00:04:21.37,00:04:21.37,I try to directeveryone's actions
58,00:04:24.73,00:04:24.73,while keeping myself groundedand aware of what is going on
59,00:04:28.57,00:04:28.57,"and what I am doing,not settling ever"
60,00:04:31.13,00:04:31.13,for anything but first.And letting everybody here
61,00:04:34.83,00:04:34.83,realize that they are finishingin places of honor.
62,00:04:41.83,00:04:41.83,To build them up to be a winnerand still lose...
63,00:04:48.83,00:04:48.83,that's a hard mental battle.>> Beebee.
64,00:05:08.67,00:05:08.67,">> Thank you, baby.( chuckling )"
65,00:05:11.07,00:05:11.07,>> I know.( kisses )
66,00:05:16.30,00:05:16.30,"Blah, blah.>> Honestly, Rupert and Christa"
67,00:05:18.90,00:05:18.90,"are making me sick with their,""Baby, baby, beebee, beebee,"""
68,00:05:22.83,00:05:22.83,"blah, blah, blah.( Rupert laughing )"
69,00:05:25.73,00:05:25.73,>> I know.>> I've been saying this
70,00:05:28.23,00:05:28.23,in my head and I...I've never... I haven't vocally
71,00:05:30.80,00:05:30.80,"expressed this thought,but I feel, uh, Rupert,"
72,00:05:33.27,00:05:33.27,Christa and Sandrahave gotten to the point of...
73,00:05:35.53,00:05:35.53,"of the old saying,""Absolute power"
74,00:05:37.53,00:05:37.53,"corrupts absolutely.""They are so power-ridden,"
75,00:05:40.97,00:05:40.97,"they know it, that they feelthat they're above the law."
76,00:05:43.53,00:05:43.53,">> Jon and I will be backin about 15, 20 minutes."
77,00:05:48.03,00:05:48.03,>> That's very good.>> Burton and I decided to go
78,00:05:50.63,00:05:50.63,"on a... well, we decidedto talk a little strategy,"
79,00:05:54.10,00:05:54.10,"knowing that the bond betweenChrista, Rupert and Sandra"
80,00:05:58.67,00:05:58.67,pretty much puts usat fourth and fifth.
81,00:06:01.07,00:06:01.07,"Like, to hand-feed menumber four and say, ""Jon,"
82,00:06:03.23,00:06:03.23,"be happy. It's number four.""No. That's not going"
83,00:06:06.30,00:06:06.30,to make me happy.>> We need to be starting
84,00:06:08.83,00:06:08.83,"to chat up with D and T.Just be like, ""Hey, listen."
85,00:06:14.73,00:06:14.73,"You guys know you're going.""If we can knock Rupert off,"
86,00:06:18.23,00:06:18.23,"we can break this triad deal.""If we can take him"
87,00:06:22.73,00:06:22.73,"out now, we need to.>> Mm-hmm."
88,00:06:24.83,00:06:24.83,">> But, we need to...We just need to start"
89,00:06:27.20,00:06:27.20,getting a foundationwith D and T.
90,00:06:30.27,00:06:30.27,">> Once again, Jonny Fairplayfinds himself"
91,00:06:32.43,00:06:32.43,in a great position.He can either go with Plan A:
92,00:06:36.40,00:06:36.40,"Christa, Rupert, Sandra,and Burton, or Plan B:"
93,00:06:39.13,00:06:39.13,"Burton, D, T, and Lill.And, uh, I'm throwing"
94,00:06:44.03,00:06:44.03,"all my eggs in choice ""B.""You know, if the bases are"
95,00:06:47.67,00:06:47.67,"loaded and, you know, you gotthree people saying, ""Hey,"
96,00:06:50.33,00:06:50.33,"bunt""... Screw you, man.This is my chance"
97,00:06:52.50,00:06:52.50,to knock a grand slam.>> Rupert would be scrambling.
98,00:06:55.17,00:06:55.17,"The thing is he will belivid, like, beyond belief."
99,00:06:58.83,00:06:58.83,>> I know.>> The problem is it's more
100,00:07:02.20,00:07:02.20,"risky to flip the alliance nowand to go against Rupert,"
101,00:07:05.73,00:07:05.73,"Chris and Sandra.If I go this other way,"
102,00:07:08.20,00:07:08.20,"I have a much better chance,but if I get caught"
103,00:07:11.00,00:07:11.00,"and the cover is blown,it's not going to be"
104,00:07:13.77,00:07:13.77,a good thing.That's why we've got to start
105,00:07:16.17,00:07:16.17,"talking to those girls,'cause right now,"
106,00:07:17.77,00:07:17.77,"we're about to get screwed, too.I talked to Lill about this"
107,00:07:20.37,00:07:20.37,"and I've talked to Jon about it.So, we didn't know when to tell"
108,00:07:24.93,00:07:24.93,Tijuana and Darrahwhat the plan is to flip
109,00:07:26.97,00:07:26.97,on our original alliance.>> It's empty.
110,00:07:42.40,00:07:42.40,>> Good boy.>> I think I need to go fishing.
111,00:07:55.50,00:07:55.50,">> Good luck, Rupe.>> All right, let's get"
112,00:07:58.67,00:07:58.67,that big-ass shark today.Big-ass shark steaks.
113,00:08:03.67,00:08:03.67,I have to go out and get fish.I would love it if I was
114,00:08:07.87,00:08:07.87,a mean-ass son of a bitchand just went out
115,00:08:10.40,00:08:10.40,"and got fish for myself.But, so, what do you do?"
116,00:08:14.17,00:08:14.17,You go out and get fish.>> Days can't pass by fast
117,00:08:19.77,00:08:19.77,"enough, you know?>> They're gone."
118,00:08:26.33,00:08:26.33,>> Burton and I found ourselveswith an opportunity--
119,00:08:29.17,00:08:29.17,everyone else therewith Rupert fishing
120,00:08:31.17,00:08:31.17,and Sandra and Christagoing to get lemons.
121,00:08:33.47,00:08:33.47,"I looked at Burton,Burton looked at me."
122,00:08:35.37,00:08:35.37,"He was like,""You think now's the time?"""
123,00:08:37.50,00:08:37.50,"I was like, ""Absolutely."">> A shark appears,"
124,00:08:52.40,00:08:52.40,"and I'm like, ""Ah, I want him.I want him, bad."""
125,00:08:56.83,00:08:56.83,"But, the only wayI'm taking that shot"
126,00:08:59.27,00:08:59.27,"is if I can getdirectly over him,"
127,00:09:01.90,00:09:01.90,hit him straight downin the head
128,00:09:04.10,00:09:04.10,"and hold that spear into him.Because, if not, he's going"
129,00:09:07.33,00:09:07.33,"to be gone with my spear.>> The alliance between Rupert,"
130,00:09:19.33,00:09:19.33,Sandra and Christa...the two of us...
131,00:09:21.07,00:09:21.07,>> It's unbreakable.>> The two of us are
132,00:09:22.90,00:09:22.90,on the outside.>> Right.
133,00:09:24.73,00:09:24.73,">> Because, Rupert's threatenedthreatened by me, they all--"
134,00:09:27.00,00:09:27.00,every single one has told methey want him out
135,00:09:29.37,00:09:29.37,"the second there's a chance.Bottom line is, if those"
136,00:09:31.53,00:09:31.53,"three are in at the end,no one else will be."
137,00:09:33.83,00:09:33.83,"Because, Rupert will winevery immunity."
138,00:09:36.53,00:09:36.53,">> And, you know what,I'd rather have one, two..."
139,00:09:38.83,00:09:38.83,"well, four, five, four,three, whatever."
140,00:09:40.87,00:09:40.87,">> Me, too.>> I would love to have this..."
141,00:09:43.17,00:09:43.17,versus that.>> Here's the key.
142,00:09:45.73,00:09:45.73,"Here's the key.Number one, Rupert goes first."
143,00:09:47.87,00:09:47.87,"If he doesn't win immunity,we go after Christa."
144,00:09:50.03,00:09:50.03,"No one can breathe aword, if we're all..."
145,00:09:52.17,00:09:52.17,Oh...Here it is. Here it is.
146,00:09:54.40,00:09:54.40,>> I have an important...I have one important...
147,00:09:56.27,00:09:56.27,"When they come to us and say,""Okay, Darrah's next."""
148,00:09:58.53,00:09:58.53,">> If they think that I'm goingto be the next one to go,"
149,00:10:00.83,00:10:00.83,"I'll just play it off like,""Yeah, I know I am."""
150,00:10:02.83,00:10:02.83,">> ""There's nothingI can do about it."""
151,00:10:04.57,00:10:04.57,">> Yeah. Okay.>> Okay, just remember,"
152,00:10:06.43,00:10:06.43,we have-- the five of us--have to stick together until
153,00:10:08.60,00:10:08.60,"all three of those are gone.>> Look, we know it, that's it."
154,00:10:10.97,00:10:10.97,"There's no more talking aboutit, 'cause someone"
155,00:10:12.83,00:10:12.83,could overhear.( Jon speaks indistinctly )
156,00:10:14.90,00:10:14.90,">> Yeah, you're goingto be here..."
157,00:10:16.93,00:10:16.93,>> You're going to be herefor...
158,00:10:18.87,00:10:18.87,"Gimme, gimme, gimmegimme.>> We tell them,"
159,00:10:21.03,00:10:21.03,Rupert's going home.Their eyes 
160,00:10:23.67,00:10:23.67,are about as big as the sun.They can't believe it.
161,00:10:27.50,00:10:27.50,"They're like, ""Oh, my God!Thank you guys so much!"
162,00:10:29.57,00:10:29.57,"Thank you so much!""So, the game's about to take"
163,00:10:32.13,00:10:32.13,"a serious, serious change.>> All right, let's get"
164,00:10:34.20,00:10:34.20,"some... do some work.>> I was down in the dumps,"
165,00:10:36.60,00:10:36.60,"thinking that I was goingto go home, but all of"
166,00:10:39.07,00:10:39.07,"a sudden, that changed.And now, I'm just..."
167,00:10:41.27,00:10:41.27,I'm ready to stay.>> I almost had a four-foot
168,00:10:47.53,00:10:47.53,"gray reef shark.My God, I sure did want"
169,00:10:51.83,00:10:51.83,that shark.I love being the baddest hunter
170,00:10:54.77,00:10:54.77,"out there.I never give up,"
171,00:10:57.50,00:10:57.50,"I never surrender,I never admit defeat."
172,00:11:09.50,00:11:09.50,>> We got sea mail.>> We got sea mail?
173,00:11:13.10,00:11:13.10,>> Yup.>> Read that puppy.
174,00:11:15.17,00:11:15.17,"Let me see that boat.""Morgan, Drake and Balboa,"
175,00:11:20.60,00:11:20.60,"""in their shadowsyou'll compete,"
176,00:11:22.90,00:11:22.90,"""not for gold or silver,but a reward just as sweet."
177,00:11:26.90,00:11:26.90,"""From poop deckto crow's nest, just"
178,00:11:28.97,00:11:28.97,"as fast as you please,""be the best swabbie you can be"
179,00:11:32.07,00:11:32.07,"for the adventures on the sea."">> So, we're going to probably"
180,00:11:34.60,00:11:34.60,be climbing somethingfrom bottom to top.
181,00:11:36.67,00:11:36.67,">> Yeah.>> We got tree mail,"
182,00:11:39.20,00:11:39.20,"and the clue says,you're going to be following in"
183,00:11:41.97,00:11:41.97,the shadows of ancient pirates.I think I've got a pretty good
184,00:11:45.17,00:11:45.17,shot at it if it's somethingthat has to do with speed.
185,00:11:47.77,00:11:47.77,"If I do win, just to keep theimpression that our alliance"
186,00:11:50.97,00:11:50.97,"was going strong,I'll be giving my reward"
187,00:11:53.40,00:11:53.40,"to Rupert, because he gave mehis last time."
188,00:11:57.07,00:11:57.07,"Well, you got one comingback your direction."
189,00:11:58.83,00:11:58.83,( laughing )Soon as I can beat you.
190,00:12:00.80,00:12:00.80,( Rupert laughing )>> The deal between Burton and
191,00:12:03.47,00:12:03.47,"I, after I had given him mybacon, my breakfast,"
192,00:12:06.47,00:12:06.47,"my wonderful breakfast...he said he owed me,"
193,00:12:11.60,00:12:11.60,and he would pay me back withthe next challenge he wins.
194,00:12:15.27,00:12:15.27,Burton promised me.It's fine.
195,00:12:17.57,00:12:17.57,It keeps unity between he and I.It's a deal.
196,00:12:20.27,00:12:20.27,"It keeps unity in our group.>> PROBST: Come on, guys."
197,00:12:31.47,00:12:31.47,"Let's get to it.For today's reward challenge,"
198,00:12:34.67,00:12:34.67,you'll take partin an obstacle course
199,00:12:36.87,00:12:36.87,that will move you alongan old pirate shipwreck.
200,00:12:39.50,00:12:39.50,You'll be runningin teams of two.
201,00:12:41.67,00:12:41.67,"On my go, both members of a teamwill scurry up the fishnet"
202,00:12:45.40,00:12:45.40,to the first platform.When both tribe members
203,00:12:48.07,00:12:48.07,"are on the platform,you'll race up the cargo net,"
204,00:12:50.73,00:12:50.73,"retrieve a bell, and ring it.You come down,"
205,00:12:53.30,00:12:53.30,"your partner goes up,and also rings the bell."
206,00:12:55.90,00:12:55.90,"Using a grappling hook,you'll then grab a rope"
207,00:12:58.40,00:12:58.40,and swing acrossto the second platform.
208,00:13:00.57,00:13:00.57,Make your way upto the crow's nest
209,00:13:02.43,00:13:02.43,where you'll untie a seriesof knots
210,00:13:05.00,00:13:05.00,and release a second bell.Both members must ring the bell.
211,00:13:07.97,00:13:07.97,You then slide down the sailto the last platform.
212,00:13:11.37,00:13:11.37,"At the last platform,you'll release a sandbag"
213,00:13:13.57,00:13:13.57,with a bell striker on it.Only one person needs
214,00:13:16.00,00:13:16.00,to ring the last bell.Winning pair moves
215,00:13:18.47,00:13:18.47,into the finals.Want to know
216,00:13:20.97,00:13:20.97,what you're playing for?>> Yeah.
217,00:13:23.70,00:13:23.70,>> PROBST: Today's rewardis an adventure day.
218,00:13:25.93,00:13:25.93,"You'll go deep-sea fishing.Anything that you catch,"
219,00:13:28.80,00:13:28.80,you keep.And you'll do it all
220,00:13:31.17,00:13:31.17,aboard this ship.>> Oh!
221,00:13:34.23,00:13:34.23,>> PROBST: Catamaran.It'll be yours for the
222,00:13:36.33,00:13:36.33,afternoon.Any afternoon on a catamaran
223,00:13:38.57,00:13:38.57,needs one thing--pizza and beer.
224,00:13:42.07,00:13:42.07,>> Oh!That's what it's all about.
225,00:13:44.40,00:13:44.40,">> See, now, that's worth it.>> Oh, man."
226,00:13:49.27,00:13:49.27,>> PROBST: We're gonna draw forteams.
227,00:13:54.27,00:13:54.27,>> Oh.>> PROBST: Burton and Lill once
