,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00,
2,00:00:01.73,00:00:01.73,Jeff: PREVIOUSLY ON
3,00:00:02.37,00:00:02.37,"""SURVIVOR."""
4,00:00:04.63,00:00:04.63,AFTER A ROUGH START FOR THE
5,00:00:06.87,00:00:06.87,WOMEN'S TRIBE... WOMEN WIN THEIR
6,00:00:08.57,00:00:08.57,THIRD STRAIGHT CHALLENGE!
7,00:00:10.57,00:00:10.57,MOMENTUM HAD FINALLY SWUNG THEIR
8,00:00:12.80,00:00:12.80,WAY.
9,00:00:13.37,00:00:13.37,"BACK AT CAMP, LEIF LEAKED"
10,00:00:15.00,00:00:15.00,INFORMATION TO THE ENEMY
11,00:00:17.10,00:00:17.10,ALLIANCE.
12,00:00:17.53,00:00:17.53,WHEN.
13,00:00:17.93,00:00:17.93,WHEN COLTON SAID TO VOTE TO
14,00:00:19.40,00:00:19.40,"YOU, I DIDN'T REALLY WANT THAT,"
15,00:00:20.83,00:00:20.83,YOU KNOW?
16,00:00:21.43,00:00:21.43,Jeff: AND QUICKLY FOUND HIS
17,00:00:22.63,00:00:22.63,"NAME ON COLTON'S HIT LIST,"
18,00:00:24.77,00:00:24.77,ALONGSIDE BILL.
19,00:00:25.07,00:00:25.07,I TOLD YOU TO PICK A SIDE AND
20,00:00:27.10,00:00:27.10,YOU PICKED THE WRONG SIDE.
21,00:00:28.63,00:00:28.63,Jeff: AT THE IMMUNITY
22,00:00:30.70,00:00:30.70,CHALLENGE...
23,00:00:31.00,00:00:31.00,CHEATER!
24,00:00:31.87,00:00:31.87,CHEATER!
25,00:00:32.13,00:00:32.13,KISS MY ASS.
26,00:00:34.50,00:00:34.50,Jeff: ... THE WOMEN
27,00:00:35.37,00:00:35.37,SUFFERED A DEVASTATING LOSS.
28,00:00:39.77,00:00:39.77,MEN WIN IMMUNITY!
29,00:00:42.07,00:00:42.07,BUT IT WAS THE MEN'S TRIBE WHO
30,00:00:44.07,00:00:44.07,LOST THEIR MIND.
31,00:00:44.67,00:00:44.67,LISTEN YOU LITTLE STUCK-UP
32,00:00:46.57,00:00:46.57,"BRAT, I'M TELLING YOU..."
33,00:00:48.43,00:00:48.43,WHAT ARE YOU GOING TO DO?
34,00:00:50.10,00:00:50.10,WHAT ARE YOU GOING TO DO?
35,00:00:52.60,00:00:52.60,I WANT HIM GONE.
36,00:00:54.17,00:00:54.17,Jeff: COLTON WANTED TO GET
37,00:00:55.63,00:00:55.63,RID OF BILL.
38,00:00:56.50,00:00:56.50,WE CAN GIVE THE GIRLS
39,00:00:58.23,00:00:58.23,IMMUNITY AND GO TO TRIBAL
40,00:00:59.47,00:00:59.47,COUNCIL AND VOTE OUT BILL.
41,00:01:00.60,00:01:00.60,I'M LIKE WHAT IN THE WORLD IS
42,00:01:02.47,00:01:02.47,GOING ON?
43,00:01:04.43,00:01:04.43,I'M COMPLETELY BUM-PUZZLED RIGHT
44,00:01:06.43,00:01:06.43,NOW.
45,00:01:06.87,00:01:06.87,I DON'T KNOW WHAT TO MAKE OF
46,00:01:07.63,00:01:07.63,THIS.
47,00:01:08.03,00:01:08.03,"Jeff: EVERYONE GAVE IN, NOT"
48,00:01:09.53,00:01:09.53,WANTING TO GO AGAINST THE
49,00:01:11.03,00:01:11.03,MAJORITY.
50,00:01:11.30,00:01:11.30,AT TRIBAL COUNCIL COLTON
51,00:01:12.80,00:01:12.80,CONTINUED HIS ATTACK ON BILL.
52,00:01:14.00,00:01:14.00,HE'S A STRUGGLING STANDUP
53,00:01:16.23,00:01:16.23,COMIC.
54,00:01:16.53,00:01:16.53,"LIKE, GET A REAL JOB."
55,00:01:18.27,00:01:18.27,"ME BEING POOR, THAT'S JUST MY"
56,00:01:20.43,00:01:20.43,LIFE.
57,00:01:20.87,00:01:20.87,I DON'T KNOW HOW TO SUGAR COAT
58,00:01:21.70,00:01:21.70,IT.
59,00:01:22.17,00:01:22.17,I DON'T ASSOCIATE WITH PEOPLE
60,00:01:23.27,00:01:23.27,LIKE THAT IN THE REAL WORLD AND
61,00:01:24.63,00:01:24.63,I'M SURE AS HELL NOT GOING TO
62,00:01:26.80,00:01:26.80,ASSOCIATE WITH PEOPLE LIKE THAT
63,00:01:27.73,00:01:27.73,OUT HERE.
64,00:01:28.33,00:01:28.33,"Jeff: IN THE END, COLTON"
65,00:01:31.83,00:01:31.83,GOT HIS WAY.
66,00:01:32.67,00:01:32.67,FOURTH PERSON VOTED OUT OF
67,00:01:33.87,00:01:33.87,"""SURVIVOR: ONE WORLD,"" BILL."
68,00:01:34.63,00:01:34.63,AND NOW THE MEN AND WOMEN ARE
69,00:01:36.03,00:01:36.03,EVEN AT SEVEN AND IT'S ANYONE'S
70,00:01:38.23,00:01:38.23,GAME.
71,00:01:38.50,00:01:38.50,14 ARE LEFT.
72,00:01:39.10,00:01:39.10,WHO WILL BE VOTED OUT TONIGHT.
73,00:01:58.03,00:01:58.03,IT FEELS LIKE IT TODAY.
74,00:01:59.63,00:01:59.63,YOU GUYS ARE HUNKERED DOWN
75,00:02:02.00,00:02:02.00,"TOGETHER, MAN."
76,00:02:03.47,00:02:03.47,"TROY, WHOSE IDEA WAS IT TO"
77,00:02:04.90,00:02:04.90,GIVE UP THE IDOL?
78,00:02:06.27,00:02:06.27,GIVE THE IDOL BACK?
79,00:02:09.80,00:02:09.80,COLTON'S.
80,00:02:10.23,00:02:10.23,BUT YOU KNOW IN SOME GUYS HEADS
81,00:02:12.67,00:02:12.67,THEY WERE GOING HOME.
82,00:02:13.70,00:02:13.70,I DIDN'T WANT TO AGREE WITH IT
83,00:02:15.57,00:02:15.57,BUT IT'S A GROUP THING SO I
84,00:02:16.83,00:02:16.83,DON'T KNOW.
85,00:02:17.10,00:02:17.10,WE REALLY SHOULD HAVE SIX
86,00:02:19.00,00:02:19.00,PEOPLE ON THIS TRIBE BUT WE HAVE
87,00:02:21.07,00:02:21.07,SEVEN.
88,00:02:21.50,00:02:21.50,THE GUYS ARE MUCH MORE OF A MESS
89,00:02:23.30,00:02:23.30,"THAN WHAT WE THOUGHT, YOU KNOW?"
90,00:02:25.40,00:02:25.40,BUT I'M NOT GOING TO QUESTION
91,00:02:26.77,00:02:26.77,THEIR NONSENSE OVER THERE.
92,00:02:27.87,00:02:27.87,I'M HAPPY WE HAVE SEVEN AND THE
93,00:02:28.90,00:02:28.90,GIRLS ARE STICKING TOGETHER ON
94,00:02:30.07,00:02:30.07,THIS ONE.
95,00:02:31.23,00:02:31.23,IF WE'RE GOING TO STICK AS A
96,00:02:33.73,00:02:33.73,"TRIBE OF ALL GIRLS, WE NEED TO"
97,00:02:35.57,00:02:35.57,BE SEVEN GOING IN STRONG.
98,00:02:36.67,00:02:36.67,WE HAVE TO STICK TOGETHER
99,00:02:37.87,00:02:37.87,BECAUSE WE DON'T KNOW WHAT THE
100,00:02:40.50,00:02:40.50,HECK THESE GUYS ARE THINKING.
101,00:02:42.20,00:02:42.20,"IT'S LIKE... I MEAN, IT'S CRAZY"
102,00:02:44.03,00:02:44.03,STUFF THAT'S HAPPENING OVER
103,00:02:45.33,00:02:45.33,THERE.
104,00:02:45.50,00:02:45.50,YES.
105,00:02:45.93,00:02:45.93,WE NEED TO WIN IT.
106,00:02:47.03,00:02:47.03,YEAH.
107,00:02:47.53,00:02:47.53,THE GUYS MESSED UP BIG TIME.
108,00:02:49.50,00:02:49.50,I'M EXCITED.
109,00:02:50.43,00:02:50.43,I REALLY WANT TO WIN.
110,00:02:51.63,00:02:51.63,IF WE COME IN STRONG SEVEN
111,00:02:53.40,00:02:53.40,WE'RE GOING TO BLOW THEM AWAY.
112,00:02:55.10,00:02:55.10,WE'RE GOING TO BEAT THEM TODAY
113,00:02:56.63,00:02:56.63,IN OUR CHALLENGE.
114,00:02:57.40,00:02:57.40,THEY ARE SO DUMB.
115,00:02:58.77,00:02:58.77,THEY HANDED US A MILLION
116,00:03:01.63,00:03:01.63,DOLLARS.
117,00:03:24.63,00:03:24.63,"Jeff: COME ON IN, GUYS!"
118,00:03:31.77,00:03:31.77,GUYS READY TO GET TO TODAY'S
119,00:03:33.47,00:03:33.47,REWARD CHALLENGE?
120,00:03:34.13,00:03:34.13,"YES, SIR."
121,00:03:34.83,00:03:34.83,"Jeff: ALL RIGHT, BEFORE WE"
122,00:03:35.83,00:03:35.83,"GET TO THE CHALLENGE, YOU CAN"
123,00:03:37.20,00:03:37.20,"DROP YOUR BUFFS, BECAUSE WE ARE"
124,00:03:39.93,00:03:39.93,SWITCHING TRIBES.
125,00:03:42.63,00:03:42.63,NO WAY!
126,00:03:43.77,00:03:43.77,"OH, MY GOD!"
127,00:03:45.33,00:03:45.33,Jeff: TAKE THEM OFF AND
128,00:03:46.47,00:03:46.47,DROP THEM AT YOUR FEET.
129,00:03:48.47,00:03:48.47,"OH, BOY."
130,00:03:51.43,00:03:51.43,I DON'T EVEN KNOW HOW TO TAKE
131,00:03:52.97,00:03:52.97,THIS THING OFF.
132,00:03:54.77,00:03:54.77,HERE WE GO.
133,00:03:55.67,00:03:55.67,Jeff: HERE'S HOW IT'S GOING
134,00:03:57.07,00:03:57.07,TO WORK.
135,00:03:57.57,00:03:57.57,IT WILL BE A RANDOM SWITCH.
136,00:04:00.40,00:04:00.40,YOU'RE EACH GOING TO DRAW AN
137,00:04:01.87,00:04:01.87,EGG.
138,00:04:02.33,00:04:02.33,"WHEN I TELL YOU TO, YOU'LL SMASH"
139,00:04:04.13,00:04:04.13,IT AGAINST YOUR BODY.
140,00:04:05.60,00:04:05.60,TAKEN A EGG.
141,00:04:06.27,00:04:06.27,DON'T DO ANYTHING WITH IT YET.
142,00:04:09.00,00:04:09.00,WHATEVER COLOR COMES OUT WILL
143,00:04:11.87,00:04:11.87,DETERMINE WHAT TRIBE YOU ARE ON.
144,00:04:15.23,00:04:15.23,CAN WE EAT THIS THING?
145,00:04:16.93,00:04:16.93,Jeff: I'M GOING TO COUNT
146,00:04:18.13,00:04:18.13,YOU DOWN.
147,00:04:18.67,00:04:18.67,"HERE WE GO, THREE, TWO, ONE,"
148,00:04:24.77,00:04:24.77,SMASH.
149,00:04:25.03,00:04:25.03,OH!
150,00:04:28.60,00:04:28.60,"Jeff: IF YOU ARE BLUE, YOU"
151,00:04:29.70,00:04:29.70,ARE A SALANI MEMBER.
152,00:04:31.43,00:04:31.43,TAKE A SPOT ON THE BLUE MAT.
153,00:04:33.70,00:04:33.70,"IF YOU ARE ORANGE, YOU ARE A"
154,00:04:35.70,00:04:35.70,MANONO MEMBER.
155,00:04:36.47,00:04:36.47,TAKE A SPOT ON THE ORANGE MAT.
156,00:04:38.87,00:04:38.87,"HELLO, GENTLEMEN."
157,00:04:40.43,00:04:40.43,LADIES.
158,00:04:41.07,00:04:41.07,HEY!
159,00:04:45.73,00:04:45.73,"Jeff: KIM, DID YOUR TRIBE"
160,00:04:47.23,00:04:47.23,JUST GET BETTER OR WORSE?
161,00:04:48.60,00:04:48.60,THIS COULD HAVEN'T GONE
162,00:04:49.97,00:04:49.97,BETTER FOR US.
163,00:04:50.57,00:04:50.57,THEY HAVE ALL THE MUSCLE.
164,00:04:54.87,00:04:54.87,(LAUGHTER).
165,00:04:55.10,00:04:55.10,"Jeff: ALL RIGHT, MICHAEL,"
166,00:04:56.47,00:04:56.47,"SABRINA, KAT, JAY, KIM, CHELSEA,"
167,00:05:01.57,00:05:01.57,"TROYZAN, YOU ARE THE NEW SALANI"
168,00:05:04.27,00:05:04.27,TRIBE.
169,00:05:04.57,00:05:04.57,(CHEERS AND APPLAUSE)
170,00:05:04.93,00:05:04.93,"TARZAN, COLTON, CHRISTINA,"
171,00:05:07.13,00:05:07.13,"ALICIA, MONICA, LEIF AND JONAS,"
172,00:05:09.13,00:05:09.13,YOU ARE THE NEW MANONO TRIBE.
173,00:05:12.33,00:05:12.33,MEN AND WOMEN ARE NO MORE.
174,00:05:14.60,00:05:14.60,"MANONO ON THREE, ONE, TWO,"
175,00:05:17.23,00:05:17.23,"THREE, MANONO!"
176,00:05:18.03,00:05:18.03,WE GOT IT.
177,00:05:19.10,00:05:19.10,WE GOT THIS.
178,00:05:19.70,00:05:19.70,WE GOT THIS.
179,00:05:20.70,00:05:20.70,Jeff: YOU GUYS READY TO GET
180,00:05:22.23,00:05:22.23,TO YOUR FIRST REWARD CHALLENGE
181,00:05:23.77,00:05:23.77,AS NEW TRIBES?
182,00:05:26.03,00:05:26.03,(APPLAUSE)
183,00:05:26.43,00:05:26.43,"FOR TODAY'S CHALLENGE, YOU WILL"
184,00:05:28.70,00:05:28.70,WORK TOGETHER.
185,00:05:29.43,00:05:29.43,TEAMS OF FOUR WILL CARRY A LARGE
186,00:05:30.73,00:05:30.73,BUCKET TO A WATER TOWER WHERE
187,00:05:32.17,00:05:32.17,YOU WILL FILL IT.
188,00:05:33.43,00:05:33.43,ON YOUR WAY BACK YOU WILL WORK
189,00:05:35.23,00:05:35.23,TOGETHER TO PLUG THE HOLES THAT
190,00:05:36.87,00:05:36.87,ARE LEAKING OUT ALL THE WATER
191,00:05:39.43,00:05:39.43,YOU JUST COLLECTED.
192,00:05:40.47,00:05:40.47,WHEN YOU GET TO YOUR FINISHED
193,00:05:42.43,00:05:42.43,"PLATFORM, YOU'LL DUMP THE WATER"
194,00:05:43.43,00:05:43.43,IN THE CONTAINER AND HEAD BACK
195,00:05:45.10,00:05:45.10,OUT.
196,00:05:45.47,00:05:45.47,FIRST TRIBE TO FILL THEIR
